Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
3555036	Mission	BP Filed	24-Oct-12	8		ERECT 5-STORY, TYPE 3, 8 DWELLING UNITS BUILDING.	Residential	RTO	221	0								201210242702		24-Oct-12	55-X	RTO-Mission	24-Oct-12	Resident	0	8	0							"1785 15th St
(37.766288000000003, -122.423784)"
3557062	Market Octavia	BP Filed	19-Aug-08	13	The proposed project (revised per Dept) involves renovation of the existing 3-story fire-damaged rectory structure and construction of a 4-story 19,083 gsf residential building containing 13 dwelling units and 16 off-street parking spaces. M-O Plan Area. 	ERECT A FOUR STORY THIRTEEN UNIT RESIDENTIAL BLDG	Residential	RTO	231	0		0					2008.0992	200311180506	15-Jan-09	18-Nov-03	40-X	RTO	18-Nov-03	Resident	-1	13	-8463	-8463	0		0		0	"200 Dolores St
(37.766191999999997, -122.426658)"
3560001	Market Octavia	BP ISSUED	14-Mar-12	22	The proposed project would demolish the existing 3,000 sq. ft. restaurant and construct a new six story over garage builidng consisting of 20 residential units, 5,000 sq. ft. of retail, and 15 parking spaces. The building would be approximately 30,000 sq.	TO DEMOLISH 1 STORY RESTAURANT.	Neighborhood Commercial	UPR MARKET NCT	565	5000	0	0	0	0	5000	0	2006.1409	200810023278	07-Nov-08	02-Oct-08	40-X/60/65-X	UPR MARKET NCT	02-Oct-08	Mixres	-1	22	2000	0	0	0	0	2000	0	"2210 Market St
(37.765723000000001, -122.43143600000001)"
5524045	Bernal Heights	BP Filed	06-Mar-08	2		ADD ONE ADDITIONAL UNIT ON 1ST FLOOR AND BASEMENT. NO EXTERIOR EXPANSION	Residential	RH-2	454	0								200803066478		06-Mar-08	40-X	RH-2	06-Mar-08	Resident	0	1	0							"3301 Folsom St
(37.745061999999997, -122.413265)"
5525018	Bernal Heights	BP Filed	05-May-08	1	Variance for parking requirement and proposed structure in rear yard.	ERECT A NEW 3 STORY RESIDENTIAL UNITS WITH GARAGE	Residential	RH-2	454	0							2007.1168	200805051348	11-Oct-07	05-May-08	40-X	RH-2	11-Oct-07	Resident	-1	1	0							"98 Norwich St
(37.745246000000002, -122.411804)"
5327038	BVHP Area A,B	BP ISSUED	29-Mar-11	2		ERECT 2 DWELLING UNITS OF 4 STORIES.	Residential	RH-2	406	0	0	0	0	0	0	0		200507137493		13-Jul-05	40-X	RH-2	13-Jul-05	Resident	-1	2	0	0	0	0	0	0	0	"1665 Palou Av
(37.734544999999997, -122.39222599999999)"
5334017	BVHP Area A,B	PL Approved	11-Sep-08	1	"Conditional use for substandard lot width. Transfering 6"" from lot 016 to new lot 017. New construction on lot 017."		Residential	RH-1	408	0							2007.1142		04-Jan-08		40-X	RH-1	04-Jan-08	Resident	-1	1	0							"2158 Revere Av
(37.737703000000003, -122.40053)"
5336047	Other S Bayshore	PL Filed	20-Apr-09	2	"Construction of two new single-family residences on two vacant lots.
"		Residential	RH-1	398	0							2009.0313		20-Apr-09		40-X	RH-1	20-Apr-09	Resident	0	2	0							"1915 Quesada Av
(37.735816999999997, -122.39612)"
5336048	Other S Bayshore	BP Filed	17-Jan-07	1		TO ERECT 1 DWELLING UNIT WITH 3 STORY NEW BUILDING	Residential	RH-1	398	0	0	0	0	0	0	0		200701171881		17-Jan-07	40-X	RH-1	17-Jan-07	Resident	0	1	0	0	0	0	0	0	0	"1911 Quesada Av
(37.735792000000004, -122.39607599999999)"
5355010	Other S Bayshore	CONSTRUCTION	12-Dec-12	1		TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT	Residential	RH-1	76	0								200808139097		13-Aug-08	40-X	RH-1	13-Aug-08	Resident	-1	1	0							"38 Flora St
(37.732056999999998, -122.394453)"
5379029	Other S Bayshore	CONSTRUCTION	27-Jul-12	1		CONSTRUCTION OF THREE STORY SINGLE FAMILY DWELLING ON VACANT LOT.	Residential	RH-1	408	0								200712049630		04-Dec-07	40-X	RH-1	04-Dec-07	Resident	-1	1	0							"55 Waterville St
(37.735287999999997, -122.402582)"
5405023	Other S Bayshore	BP APPROVED	09-Jun-09	1		Construct a two story single family dwelling	Residential	RH-1	399	0								200710105002		10-Oct-07	40-X	RH-1	10-Oct-07	Resident	-1	1	0							"157 Apollo St
(37.730761999999999, -122.39866499999999)"
5419005	BVHP Area A,B	CONSTRUCTION	08-Apr-10	0	V FOR OFF-STREET PARKING: NO PARKING PROPOSED FOR THE CONSTRUCTION OF NEW CHURCH	ERECT A 2 STORY CHURCH CENTER.	Industrial	M-1	897	7500	0	7500	0	0	0	0	2001.1089	200302288512	15-Nov-01	28-Feb-03	40-X	M-1	15-Nov-01	CIE	-1	-1	7500	7500	0	0	0	0	0	"1636 Armstrong Av
(37.726618000000002, -122.392636)"
5431A001	BVHP Area A,B	BP Filed	07-Nov-12	121	The proposed project would construct buildings #3 and #4 as a modification to the previously approved project (case # 2003.0672CE). Building #3 will construct 150 market rate residential units with 141 at-grade parking spaces. Building #4 would construct 	ERECT 4-STORY, TYPE 5, 121 DWELLING UNITS BUILDING.	Industrial	M-1	906	0							2012.0045	201211073775		07-Nov-12	65-J	M-1	07-Nov-12	Resident	-1	121	13000				13000			"5800 03rd St
(37.725430000000003, -122.39448299999999)"
5450020	South Central, Other	BP Filed	21-Aug-08	2		VERTICAL AND HORIZONTAL EXTENSIONS OF THE EXISTING BUILDING. WORK INCLUDES RAISING THE EXISTING BUIL	Mixed Use	NC-2	57	6375	4250	0	0	0	2125	0		200808219735		21-Aug-08	40-X	NC-2	21-Aug-08	Mixres	0	1	6375	0	0	4250	0	2125	0	"2775 San Bruno Av
(37.726841, -122.403104)"
5457030	South Central, Other	CONSTRUCTION	21-Dec-11	2	THIRD FLOOR VERTICAL ALTERATION TO RELOCAT GROUND FLOOR DWELLING UNIT TO THIRD FLOOR AND CONVERT GROUND FLOOR TO COMMERCIAL USE.	3RD FLOOR ADDITION FOR DWELLING UNIT RELOCATION. ESTABLISH GROUND FLOOR COMMERCIAL SPACE. GROUND FLO	Mixed Use	NC-2	57	1523					1523		2007.1034	200705181706	07-Sep-07	18-May-07	40-X	NC-2	18-May-07	Mixres	-1	0	1523					1523		"2809 San Bruno Av
(37.726275999999999, -122.40286999999999)"
0596031	Northeast	BP Filed	20-Jul-09	3	Vertical addition/alteration of 1 residential unit to an existing 2-unit residential building.	Conversion of three level duplex to new four level residential triplex. Deliniation of 5-car spaces 	Neighborhood Commercial	PACIFIC	345	0							2009.0908	200907203013	28-Sep-09	20-Jul-09	40-X	PACIFIC	20-Jul-09	Resident	0	1	0							"1533 Pacific Av
(37.794887000000003, -122.42052)"
0694005	Downtown	BP Filed	20-Apr-12		"Demolition of the exisitng Cathedral Hill hotel and office building and construction of a 15 story, 265-foot tall hospital on the entire block bounded by Franklin Street, Post STreet, Van Ness Avenue, and Geary Blvd.

Demolition of 7 existing properties a"	TO DEMOLISH 2 STORY RETAIL BUILDING.	Mixed Use	RC-4	699	1243002	277873	900200	0	50182	14747	0	2009.0885	201204208807	10-Jun-10	20-Apr-12	130-V	RC-4	10-Jun-10	Mixed	0		702067	900200	0	19831	50182	-55493	-212653	"1100 Van Ness Ave
(37.785753, -122.421333)"
2657004	Central	CONSTRUCTION	05-Oct-12	1		To erect a new single family dwelling	Residential	RH-2	199	0							2009.1124	200907142604	22-Mar-10	14-Jul-09	40-X	RH-2	14-Jul-09	Resident	-1	1	0							"134 Ord St
(37.761576099999999, -122.44013270000001)"
3576001	Mission	PL Filed	21-Sep-09	29	Demolition of a one-story commercial building and construction of a mixed-use building comprising 29 residential units, 14 residential parking spaces, a ground-floor commercial space. 		Mixed Use	Mission Street	205	2643					2643		2009.088		21-Sep-09		65-B	Mission St NCT	21-Sep-09	Mixres	0	29	-4987					-4987		"2100 Mission St
(37.763227999999998, -122.41979499999999)"
3610032	Mission	PL Filed	14-Aug-09	2	Preservation and resotration of the exterior of the existing home. Excavate basement into full basement use and construct second unit at the rear of the lot.		Residential	RTO	176	0							2009.0757		11-Mar-10		55-X	RTO-Mission	11-Mar-10	Resident	0	1	0							"500 Capp St
(37.758561999999998, -122.41818600000001)"
1069045	Richmond	BP Filed	02-Jun-11	7	Rear yard variance	CONVERSION OF TWO EXISTING OFFICE INTO TWO RESIDENTIAL APARTMENT UNIT, UNIT #1 1,499 SQ FT, UNIT #2 	Mixed Use	NC-3	687	0							2011.083	201106027305	02-Aug-11	02-Jun-11	40-X	NC-3	02-Jun-11	Resident	-1	2	0							"2882 - 2890 Geary Blvd
(37.782293299999999, -122.4499653)"
1152006	Western Addition	PL Approved	15-May-12	6	To add a 6th dwelling unit without off-street parking and to construct three (3) dormers to the northwest corner of the existing legal noncomplying dwelling that contains five dwelling-units.		Residential	RH-3	278	0							2011.0588		07-Jun-11		40-X	RH-3	07-Jun-11	Resident	-1	1	0							"929 Broderick St
(37.778866000000001, -122.440652)"
1523046B	Richmond	BP Filed	10-Mar-11	2	The proposal is to add one residential dwelling unit to the existing mixed-use building (2 commercial & 1 residential) and waive parking pursuant to Planning Code Section 161(j).	VERTICAL & HORIZONTAL EXTENSIONS TO CONVERT 2 STORIES MIXED USE BLDG. ( 1 RESIDENTIAL & 2 COMMERCIAL	Mixed Use	NC-3	282	2267	2267						2011.039	201103101798	19-Apr-11	10-Mar-11	40-X	NC-3	10-Mar-11	Mixres	0	1	1160			1160				"5727 Geary Bl
(37.780183399999999, -122.4809796)"
2802006	Central	CONSTRUCTION	13-Nov-12	1	Exposure and rea yard variances for the addition of a second dwelling unit in a detached structure at the front of the property	ERECT TYPE 5, 3 STORIES, 1 DWELLING UNIT W/ 1 BASEMENT NEW BUILDING.	Residential	RH-2	159	0							2011.0665	201107059497	23-Jun-11	05-Jul-11	40-X	RH-2	23-Jun-11	Resident	-1	1	0							"680 Douglass St
(37.752941999999997, -122.438935)"
3588001C	Mission	PL Approved	03-Feb-12	10	add two units to (e) 8 unit building		Residential	RTO	204	0							2011.0527		19-May-11		55-X	RTO-Mission	19-May-11	Resident	-1	2	0							"3527 18th St
(37.761476999999999, -122.422239)"
3962008	Mission	PL Filed	12-Oct-12	75	The proposed project is the demolition of an existing car wash and construction of new 9-story mixed-use building with 75 dwelling unit, and 3,375 sf of ground floor commercial, and 57 off-street residential parking spaces.			UMU	619	3375					3375		2012.0793		12-Oct-12				12-Oct-12	Mixres	0	75	3375					3375		"346 Potrero Avenue
(37.765140000000002, -122.407816)"
3575063	Mission	BP Filed	24-Mar-10	3	Project would require a rezoning from RH-2 to NC-3. Proposed project construct a three-story addition to the existing one building on the project site. The new building would be four-story, 50-feet in height consisting of 1,996 sq. ft. ground floor restau	SITE PERMIT-REMODEL OF (E) 1 STORY STRUCTURE. ALTERED BUILDING WILL CONTAIN 4 STORIES, CONSISTING OF	Residential	RTO	205	1996	0	0	0	0	1996	0	2005.1155	201003248891	15-Dec-05	24-Mar-10	55-X	RTO-Mission	15-Dec-05	Mixres	0	2	1996	0	0	0	0	1996	0	"3249 17th St
(37.763376000000001, -122.418102)"
3580035	Central	PL Approved	24-Nov-09	5	Construction of a new 4-story 3/4 unit residential structure in front of existing structure.		Residential	RM-1	533	0							2008.1171		19-Mar-09		40-X	RM-1	19-Mar-09	Resident	-1	4	0							"265 Dorland St
(37.761952999999998, -122.42981)"
3583082	Central	BP ISSUED	29-Jul-09	2	Addition to existing 2-story, 1,260 sqft single-family residence over commercial. Proposed addition to include 4-story, 5,000 sqft building with 2 residential units over commercial.	REMODEL & VERTICAL/HORIZONTAL ADDITION TO TRANSFORM (E) 2-STORY TO 3-STORY; (ADD ONE UNIT) 2-UNIT RE	Neighborhood Commercial	CASTRO	201	0							2007.1481	200805192371	03-Jul-08	19-May-08	40-X	CASTRO	19-May-08	Resident	-1	1	0							"4035 18th St
(37.760835999999998, -122.433493)"
3584007	Central	BP ISSUED	20-Aug-12	2	To demolish the existing structures on the lot and construct a new 4-story, 2-unit residential building in an RH-3 district.	ERECT  4 STORIES OF 2 SWELLING UNITS.	Residential	RH-3	201	0	0	0	0	0	0	0	2006.04	200505031415	09-Feb-06	03-May-05	40-X	RH-3	03-May-05	Resident	-1	1	0	0	0	0	0	0	0	"530 Sanchez St
(37.760651000000003, -122.430683)"
3591024	Mission	PL Filed	14-Aug-12		Demolition of an existing gas station and construction of a five-story mixed-use building with 22 dwelling units, 7,795 GSF of ground floor retail use, and 49 off street parking spaces.   		Mixed Use	NC-3	537	0	-1966	0	0	0	1966	0	2004.0914		18-Aug-05		55-X	NC-3	18-Aug-05	Vacant	0	29	5829	0	0	0	0	5829	0	"793 South Van Ness Av
(37.760617000000003, -122.416911)"
3594009	Mission	CONSTRUCTION	10-May-12	4	CONVERT EXISTING 3-STORY 2-UNIT RESIDENTIAL BUILDING W/ 2 OFF-STREET PARKING SPACES TO 4-STORY 4-UNIT RESIDENTIAL BUILDING W/ 4 OFF-STREET PARKING SPACES.	VERTICAL AND HORIZONTAL EXTENSION TO CONVERT A 3 STORY 2 UNIT RESIDENTIAL BUILDING INTO A 4 STORY 4 UNTS CONDEMINIUM BLDG WITH INTERNAL REMODELING	Residential	RM-1	188	0	0	0	0	0	0	0	2007.1209	200701292823	16-Oct-07	29-Jan-07	55-X	RM-1	29-Jan-07	Resident	-1	2	0	0	0	0	0	0	0	"2374 Folsom St
(37.759360999999998, -122.414891)"
3594016	Mission	BP APPROVED	21-Oct-10	6	Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.	TO ERECT 4 STORY 6 DWELLING UNITS	Mixed Use	NC-2	188	0	0	0	0	0	0	0	2005.037	200512200747	23-Aug-05	20-Dec-05	45-X	NC-2	23-Aug-05	Resident	-1	6	-4750	0	0	0	-4750	0	0	"3360 20th St
(37.758952000000001, -122.416099)"
3596113	Mission	PL Approved	26-May-11	18	The proposed project is demolition of a 1,800-gsf gas station and construction of a 5-story 50,141-gsf mixed use residential structure with 18 dwelling units, 22 parking spaces, and two ground-floor retail units at the corner of Valencia and 20th Streets 		Neighborhood Commercial	Valencia Street	185	4705	0	0	0	0	4705	0	2004.0891		11-Aug-05		55-X	Valencia St NCT	11-Aug-05	Mixres	-1	18	4705	0	0	0	0	4705	0	"899 Valencia St
(37.758616000000004, -122.421167)"
3601073	Central	BP Filed	13-Aug-08	1	Addition to single-family residence to create an additional unit and three off-street parking spaces.	ERECT 5 STORY SINGLE FAMILY DWELLING. (3 STORY OCCUPANCY & 2 BASEMENTS)	Residential	RH-2	181	0							2007.1264	200808139076	01-Nov-07	13-Aug-08	40-X	RH-2	01-Nov-07	Resident	0	1	0							"3927 19th St
(37.759399000000002, -122.43108599999999)"
3613018B	Mission	BP APPROVED	31-Dec-08	3	Construct  two stories vertical  and  four stories  horizontal addition to the rear of  the existing two-story, single-family house. The  proposal would also add two dwelling units and an underground parking garage.  A rear yard variance is sought for the	ALTERATION OF (E) 1ST AND 2ND FLOORS, CONSTRUCTION OF 3RD & 4TH FLOOR, BASEMENT, ADDING TWO ADDT'L	Residential	RH-3	170	0	0	0	0	0	0	0	2005.1059	200507147539	10-Nov-05	14-Jul-05	40-X	RH-3	14-Jul-05	Resident	-1	2	0	0	0	0	0	0	0	"2986 22nd St
(37.755873000000001, -122.414062)"
3615026	Mission	BP ISSUED	26-Aug-09	0	"The project is to demolish the existing single-story retail building and construct a new building that would be three-stories tall and would contain retail on the ground floor and offices on the second and third floors.
6/15/05 - Environmental Exemption"	ERECT A 3 STORY COMMERCIAL SHOP & OFFICE	Mixed Use	Mission Street	176	4999	4999	0	0	0	0	0	2003.0159	200302218059	07-Aug-03	21-Feb-03	65-B	Mission St NCT	21-Feb-03	MIPS	-1	0	4999	0	0	4999	0	0	0	"2525 Mission St
(37.756560999999998, -122.418695)"
3617008	Mission	BP Filed	27-Dec-10	15	New Construction of 16-du Res Mixed Use bldg, w/25,000-gsf residential, 2,000-gsf retail, and 2,800 full basement storage, totalling 30,480 with one loading space retained.  Demolition of 1970-constrone-story SPORK restaurant bldg and parking, and replace	ERECT 5 STORIES OF 15 DWELLING UNITS, WITH COMMERCIAL,TYPE 5.	Neighborhood Commercial	Valencia Street	165	2000					2000		2007.1457	201012277437	12-Mar-10	27-Dec-10	55-X	Valencia St NCT	12-Mar-10	Mixres	0	15	400					400		"1050 Valencia St
(37.756003, -122.42112400000001)"
3639002	Mission	BP ISSUED	24-Oct-12	20	Demolition and new construction 30-unit residential building over basement level parking	ERECT 4 STORY 20 UNITS APARTMENT BUILDING WITH GARAGE.	Mixed Use	UMU	170	0	0	0	0	0	0	0	2006.0054	201111038222	06-May-10	03-Nov-11	40-X	UMU	06-May-10	Resident	-1	20	-7250	0	0	0	-7250	0	0	"2652 Harrison St
(37.754995999999998, -122.41228)"
3639004A	Mission	CONSTRUCTION	06-Dec-12	3	The project is the demolition of a vacant 11,423-sf industrial building constructed in 1935 and the lot subdivision and construction of two residential buildings to total 43,649-sf and 62 units, in an Eastern Neighborhoods C-M zoning district.  Twelve per	1 STORY ADDITION OVER PART OF (E) 2 STORIES BUILDING NEW RESIDENTIAL AT 2ND & 3RD FLOOR. (3 UNITS) E	Mixed Use	UMU	170	0	0	0	0	0	0	0	2004.0672	201012307638	16-Sep-04	30-Dec-10	40-X	UMU	16-Sep-04	Resident	-1	3	-11423	0	0	0	-11423	0	0	"2660 Harrison St
(37.754893000000003, -122.412271)"
3639028	Mission	PL Approved	22-May-08	5	The project includes minor improvements to a single family dwelling and construction of a new warehouse building with four residential units above.  		Mixed Use	UMU	170	1150				1150			2007.0981		20-Mar-08		40-X	UMU	20-Mar-08	Mixres	-1	4	1150				1150			"953 Treat Av
(37.754947999999999, -122.41303000000001)"
3731003	East SoMa	BP ISSUED	10-Dec-12	76	Vertical addition of 4th floor to existing hotel.	VERTICAL ADDITION AND REVONATION OF A HOTEL. MECH, ELEC,PLUMBING, FIRE SPRINKLER UNDER SEPARATE PERMIT	Neighborhood Commercial	SoMa NCT	627	16425						16425	2009.0089	200806164548	06-Oct-11	16-Jun-08	65-X	SoMa NCT	16-Jun-08	Mixres	-1	37	5445						5445	"226 06th St
(37.779330999999999, -122.406813)"
3704015	Downtown	BP ISSUED	09-Nov-11		"Demolition of 17,000 square feet of commercial (film) use, construction of a 13-story hotel  w/165 tourist hotel rooms, 63,286 sfhotel space and 7,840 sf of retail and public space. Project is 46,126 gsf and building height 103 feet.
gross square footage "	ERECT A 15 STORY 174 GUEST ROOM HOTEL.	Commercial	C-3-G	667	71126	0			0	7840	63286	2008.0197	201105136051	11-Mar-09	13-May-11	160-F	C-3-G	11-Mar-09	Visitor	-1		53514			0	-17612	7840	63286	"942 Mission St
(37.782071999999999, -122.407563)"
3704069	Downtown	CONSTRUCTION	14-Aug-08	100	69 new construction/mixed use (67 RES. AND 2 COMM.)		Commercial	C-3-G	667	5700	0	0	0	0	5700	0	2007.0368	200712211199	17-Nov-04		120-X	C-3-G	17-Nov-04	Mixres	-1	100	-52750	0	0	-58450	0	5700	0	"973 Market St
(37.782643999999998, -122.409745)"
3704071	Downtown	PL Approved	08-Nov-10	0	Section 309 Review Required with one exception (freight loading) request. Conditional Use Authorization request to exceed allowable accessory parking per Section 303, 157 and 158.  Variances requested per Section 102.11 to allow modification of gross floo		Commercial	C-3-G	667	367000	0				367000		2008.0217		22-Feb-08		120-X	C-3-G	22-Feb-08	Retail/Ent	-1	0	237300			-74700		312000		"949 Market Street
(37.782981999999997, -122.40914600000001)"
3706093	Downtown	PL Filed	26-Oct-12	185	The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also in		Commercial	C-3-R	744	174400	0				174400		2008.1084		26-Oct-12		400-I	C-3-R	26-Oct-12	Mixres	0	185	25570			-119330		144900		"706 Mission St
(37.786158999999998, -122.402378)"
3710017	TB Combo	BP ISSUED	05-Sep-12	0	The project site is occupied by a four-story building with approximately 95,000 sq. ft. of office, retail, and acessory uses. The proposed project would demolish the existing building and construct a 28-story, 455' ft high office tower consisting of 503,0	TO ERECT 27 STORIES, OFFICE, RETAIL & PARKING BUILDING.	Commercial	C-3-O	774	510300	503000				7300		2006.1524	201108011461	19-Nov-08	01-Aug-11	550-S	C-3-O	19-Nov-08	MIPS	-1	0	415603			431303	0	-15700	0	"350 Mission St
(37.790809000000003, -122.39637399999999)"
3717019	Downtown	CONSTRUCTION	13-Jun-12	0	Three-story, approximately 67,000 square-foot vertical addition to existing 155,000 square-foot nine-story office building.	PROPOSED VERTICAL ADDITION REMOVING EXTG PENTHOUSE AND CONSTRUCTING 4 NEW STORIES WITH FULL FLOOR PLATES, NEW STRUCTURE WILL BE STEEL MOMENT FRAME AND MECHANICAL WILL BE VARIABLE AIR VOLUME-REPLACE 3 EXTG ELEVATORS	Commercial	C-3-O	780	222000	222000	0	0	0	0	0	2006.0616	200611178045	11-May-06	17-Nov-06	200-S	C-3-O/C-3-O(SD)	11-May-06	MIPS	-1	0	67000	0	0	67000	0	0	0	"120 Howard St
(37.791226000000002, -122.3929)"
3720001	TB Combo	PL Filed	01-Jul-08	0	Transbay Tower project is a 1,200-ft tall, 80-story, 1,880,000-sf office building with 43,000-sf retail in three floors, uppermost connected by retail bridge to proposed Transbay Transit Center City Park, 300-400 parking spaces in subsurface garage access		Public	P	943	1743000	1700000				43000		2008.0789		01-Jul-08		30-X/80-X	P	01-Jul-08	MIPS	0	0	1742950			1700000		42950		"425 Mission St
(37.790166999999997, -122.396833)"
3721122	TB Combo	CONSTRUCTION	26-Nov-12	0	The proposed project would demolish the existing surface parking lot and construct an approx. 293,750 sq. ft. office building, with 2,680 sq. ft. of retail and 50 parking spaces. The building would be approximately 356,400 sq. ft., 27 stories and approxim		Commercial	C-3-O	741	296430	293750	0	0	0	2680	0	2006.1273	200508049463	09-Nov-06	04-Aug-05	550-S	C-3-O	04-Aug-05	MIPS	-1	0	296430	0	0	293750	0	2680	0	"535 Mission St
(37.789000999999999, -122.398343)"
3722079	TB Combo	PL Approved	11-Dec-08	118	Section 309 Review and Request for one exception (freight loading). A variance from Section 155 is also required as the project sponsor proposes a porte cochere at the Natoma Street frontage. The project would convert the existing building from office to 		Commercial	C-3-O	743	5160	0				5160		2007.1337		22-Feb-08		350-S	C-3-O	22-Feb-08	Mixres	-1	118	-84660			-89820		5160		"134-140 New Montgomery St
(37.786889000000002, -122.399975)"
3725101	Downtown	CONSTRUCTION	06-Dec-12	55	New construction of 58 ownership dwelling units, 100% affordable, over ground-floor parking (17 spaces)		Commercial	C-3-S	668	0							2007.1383	200810063512	05-Dec-07		120-F	C-3-S	05-Dec-07	Resident	-1	55	0							"474 Natoma Street
(37.780723999999999, -122.407222)"
3726075	East SoMa	BP Filed	25-Sep-08	10	"Demolish existing 1,875 sqft, 19'-0"" single-story warehouse. Proposed 6,525 sqft, 4-story multi-unit residence with 2 off-street parking spaces."	TO DEMOLISH A VACANT STORAGE	Mixed Use	RED	669	0							2008.0795	200809252699	25-Sep-08	25-Sep-08	45-X	RED	25-Sep-08	Resident	-1	10	-1875	0	0	0	-1875	0	0	"574 Natoma St
(37.778944000000003, -122.40946599999999)"
3726103	Downtown	PL Filed	14-Aug-12	119	A new 8-story residential development consisting of 48 dwelling units, 1 level of below-grade parking with 15 spaces, and 2,795 sf of ground floor retail.		Mixed Use	MUG	623	2795					2795		2012.0673		14-Aug-12		85-X	MUG	14-Aug-12	Mixres	0	119	-29605					2795	-32400	"114 07th Street
(37.778948, -122.410813)"
0997004	Richmond	CONSTRUCTION	13-Aug-12	1		ERECT A  FOUR STORY SINGLE FAMILY DWELLING.	Residential	RM-1	331	0								200911020335		02-Nov-09	40-X	RM-1	02-Nov-09	Resident	-1	1	0							"3310 Clay St
(37.789056899999999, -122.4473823)"
3746001	Rincon Hill	BP Filed	12-Jul-12	669	Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail par	Multiple Permits	Mixed Use	RC-4	765	0	0	0	0	0	0	0	2000.1073	201207124717	11-Jul-02	12-Jul-12	400-W	RC-4	11-Jul-02	Resident	-1	669	0	0	0	0	0	0	0	"201 Folsom St
(37.789186000000001, -122.391823)"
3747320	Rincon Hill	PL Approved	04-Aug-06	432	The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.	ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.	High Density Residential	RH DTR	767	33000	24500	0	0	0	8500	0	2006.0358	200605161774	18-Apr-06	16-May-06	85/400-R	RH DTR	18-Apr-06	Mixres	-1	432	-2256	0	0	24500	-35256	8500	0	"399 Fremont St
(37.787360999999997, -122.39218)"
3747012	Rincon Hill	BP ISSUED	17-Dec-10	69	CU to amend previous approval to rearrange the interior space to create more units.  VZ to reduce the required parking spaces from 70 to 51.  No change to buildig envelope.	PERMIT TO RECOMMENCE WORK ON PERMIT APPLICATIONS 9913300S AND 200507208180S - BUILD 69 UNIT RESIDENT	High Density Residential	RH DTR	767	0	0	0	0	0	0	0	2004.0636	201012086338	08-Jul-04	08-Dec-10	85/250-R	RH DTR	08-Jul-04	Resident	-1	69	0	0	0	0	0	0	0	"325 Fremont St
(37.787692999999997, -122.393033)"
4152016	Mission	CONSTRUCTION	21-Feb-12	2	Demolish existing single-story storage building built in 1922 and construct a 4-story 2-unit building.	ERECT 4 STORIES 2 DWELLING UNITS BLDG.	Residential	RH-2	171	0				0			2008.0015	200709193092	07-Jan-08	19-Sep-07	40-X	RH-2	19-Sep-07	Resident	-1	1	-920				-920			"1076 Hampshire St
(37.754966000000003, -122.407686)"
4154001	Showpl/Potrero	CONSTRUCTION	15-Dec-10	0	Rebuild of SF General Hospital (SFGH) to new requirements, part of IMP: new 419,070-sf acute acre hospital building, 105-ft in height, and reuse of 129,706-sf Building 5, equivalent to existing hospital use capacity, with no proposed parking.		Public	P	189	548776		548776					2007.0603	200901230738	18-Sep-08		105-E	P	18-Sep-08	CIE	-1	0	419070	419070						"1001 Potrero Av
(37.756762000000002, -122.406606)"
4167004	Showpl/Potrero	PL Filed	30-Jun-10	1700	Replace 606 units of public housing with 1,400-1,700 units of mixed-income, mixed-tenure housing, including 1-to1 replacement of public housing. Project will also include neighborhood serving retail, community facilities, parks and open space, and a new s		Residential	RM-2	519	30000	10000				20000		2010.0515		30-Jun-10		40-X	RM-2	30-Jun-10	Mixres	0	1094	30000			10000		20000		"1 Turner Tr
(37.756165000000003, -122.39510199999999)"
4172053	Central Waterfront	BP REINSTATED	03-Nov-09	8		ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML	Mixed Use	NCT-2	521	0	0	0	0	0	0	0	2001.0451	9902819	26-Apr-01	11-Feb-99	40-X	NCT-2	11-Feb-99	Resident	-1	8	0	0	0	0	0	0	0	"1179 Tennessee St
(37.756751000000001, -122.388969)"
3727035	WSoMa	CONSTRUCTION	29-Oct-12	3	Addition to exisitng 2-unit residential building. Proposed 3-unit building.	PROPOSE HORIZONTAL & VERTICAL ADDITION TO (E) TWO UNITS BUILDING TO ACCOMMODTE THREE UNITS AND THREE	Mixed Use	RED	623	0							2009.0514	201104194374	11-Jun-09	19-Apr-11	40-X	RED	11-Jun-09	Resident	-1	1	0							"639 Natoma St
(37.777586999999997, -122.410698)"
