PROJECT_TYPE	BLKLOT	NAMEADDR	alias	BESTDATE	BESTSTAT	Entitlement	UNITS	UNITSNET	PLN_CASENO	PLN_DESC	BP_APPLNO	PROPUSE	BP_DESC	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	RET	MIPS	CIE	MED	PDR	VISIT	NET_GSF	NET_CIE	NET_MED	NET_MIPS	NET_PDR	NET_RET	NET_VISIT	FILEDATE	NEIGHBORHOOD	ZONING_GEN	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	APPLICANT	CONTACT	Geography
Resident	3753089	265 SHIPLEY STREET		08/15/2014	PL FILED	false	9	9	2013.1549	The proposed project would include a lot merger of Lots 089 & 090 and construction of a new 5 story, 9 unit residential building, with 6 off-street parking spaces located in a below-grade garage.				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/15/2014	South of Market	Mixed Use	MUR	MIXED USE-RESIDENTIAL	45-X	Peter  Naughton	Robert  Edmonds	(37.778737, -122.404132)
Resident	3521053A	33 NORFOLK ST		04/17/2014	PL FILED	false	9	9	2014.0008	The project sponsor proposes to merge Lots 053A and 093 and to replace the existing commercial building and parking lot with a 5-story mixed use building.  The project will have 9 residential units and approximately 1,250 s.f. of commercial space. The pr	201310078679	APARTMENTS	ERECT 5-STORY COMMERCIAL & MULTI UNIT RESIDENTIAL	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/17/2014	South of Market	Mixed Use	WMUG	WSOMA MIXED USE-GENERAL	55-X			(37.771070000000002, -122.41386)
Mixres	3576062	645 VALENCIA ST		01/30/2014	PL FILED	false	9	9	2013.1339	The proposed project would construct a new mixed use commercial/residential building and demolition an existing commercial building. The new building would be 55 feet tall with 868 square-feet of ground floor commercial; 5 residential parking spaces; and				0	0	868	868	0	0	0	0	0	-4382	0	0	0	0	-4382	0	01/30/2014	Mission	Neighborhood Commercial	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	45-X	Toby Morris	Edward Morris	(37.762228999999998, -122.421757)
Resident	4008003	580 DE HARO STREET		03/13/2014	PL FILED	false	9	3	2013.1671	The proposed project would include demolition of 6 residential buildings and one office building, subdivide the property lot into 7 lots (3 - 25 x 100 lots and 4 - 25 x 75 lots), and build two 2-unit residential building and 5 single-family residential b				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/13/2014	Potrero Hill	Industrial	PDR-1-G	PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL	40-X	Kevin Dill	Kevin Dill	(37.762448999999997, -122.401336)
Mixres	4108003F	2420 03RD ST		05/08/2014	BP FILED	false	9	9	2013.0673	The proposed project would involve new construction of a 3-story with mezzanine mixed use building with 9 residential units and one commercial unit located at ground level. The project would have no off-street parking and 12 bicycle parking spaces.	201405085278	APARTMENTS	ERECT 3 STORIES , 9 DWELLING UNITS, TYPE 5 BUILDING	0	0	475	475	0	0	0	0	0	475	0	0	0	0	475	0	06/09/2014	Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	45-X	Angus McCarthy		(37.758983999999998, -122.388699)
Resident	1202002B	650 DIVISADERO ST		08/26/2014	PL FILED	false	9	9	2013.1037	Existing 1-story auto repair warehouse building to be partially demolished in which part a 5-story 9-unit residential condominium building to be built.  The remaining portion of the building to be remodeled into 3 independent commercial  2 restaurants an				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/26/2014	Western Addition	Mixed Use	NCD	DIVISADERO STREET NEIGHBORHOOD COMMERCIAL DISTRICT	65-A	Warner Schmalz	Warner Schmalz	(37.775488000000003, -122.43763300000001)
Resident	4591C046	470 INNES AV		01/28/2015	CONSTRUCTION	true	9	9			201202295145	APARTMENTS		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/29/2012	Bayview	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	HP-RA			(37.7299376, -122.372051)
Resident	4591C045	451 HUDSON AV		01/14/2015	CONSTRUCTION	true	9	9			201202295147	APARTMENTS		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/29/2012	Bayview	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	HP-RA			(37.733829999999998, -122.37718099999999)
Resident	0317005	436 OFARRELL ST		08/05/2008	BP FILED	true	9	9	2009.0258	Conversion of nine offices into nine residential units.  One on-site BMR unit will be provided on-site.  All work will occur within the existing building.  Conditional Use Authorization required for reduction of off-street parking requirements in NOMARSU	200808058406	APARTMENTS	CONVERTING OF NINE OFFICES TO NINE RESIDENTIAL UNITS	0	0	0	0	0	0	0	0	0	-9709	0	0	-9709	0	0	0	04/01/2009	Downtown/Civic Center	Mixed Use	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	80-T-130-T			(37.786133399999997, -122.412012)
Resident	4591C068	421 HUDSON AV		01/14/2015	CONSTRUCTION	true	9	9			201202295146	APARTMENTS		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/29/2012	Bayview	Industrial	M-1	LIGHT INDUSTRIAL	HP-RA			(37.731747800000001, -122.3736543)
Resident	0524031	1338 FILBERT ST		01/31/2011	BP ISSUED	true	8	4	2009.0412	Renovation and remodel of exisitng cottages and construct a new 3-story addition at the rear of the lot.	201009271690	2 FAMILY DWELLING		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/15/2009	Russian Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	Andrew Junius		(37.799951, -122.421565)
Resident	3547032	49 JULIAN AV		01/26/2012	PL APPROVED	true	8	8	2005.0233	Construction of five-story eight-unit residential building of approximately 10,583-sf.  Demolition of existing 1962 light industrial warehouse, presently vacant.  No off-street parking existing and eight proposed.				0	0	0	0	0	0	0	0	0	-2914	0	0	0	-2914	0	0	05/26/2005	Mission	Mixed Use	UMU	URBAN MIXED USE	45-X	Tony Kim	Tony Kim	(37.767417000000002, -122.420868)
Resident	7088051	382 RANDOLPH ST		11/28/2011	BP APPROVED	true	8	8	2010.0621		200608290916	APARTMENTS		0	0	915	915	0	0	0	0	0	915	0	0	0	0	915	0	08/29/2006	Ocean View	Mixed Use	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X			(37.714301900000002, -122.46613910000001)
Mixres	3753042	259 CLARA ST		05/16/2013	BP FILED	false	8	8	2013.0106	Demolition of a 24'-tall, two-story industrial building and construction of 45'-tall, five-story mixed-usel building with eight 2-bedroom residences over ground-floor office, and eight parking spaces. Height of building is 45'.	201305167075	APARTMENTS	ERECT 5-STORY, TYPE 5, 1 BASEMENT, 8 UNITS DWELLING BUILDING.	0	0	945	0	945	0	0	0	0	-3055	0	0	945	-4000	0	0		South of Market	Mixed Use	MUR	MIXED USE-RESIDENTIAL	65-X			(37.778448099999999, -122.40358639999999)
Resident	0572013	1458 BROADWAY		05/27/2014	BP FILED	false	8	8			201405276744	APARTMENTS	CONSTRUCT N/6 STORIES RESID'L OCCUP. BLDG CHANGE OF USE & VERTICAL ADDITION TO CONVERT A 2 UNIT ST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Russian Hill	Residential	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	65-A			(37.796210000000002, -122.421029)
Resident	4172053	1179 TENNESSEE ST		12/18/2014	CONSTRUCTION	true	8	8	2001.0451		9902819	APARTMENTS	ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/26/2001	Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	45-X			(37.7559927, -122.3890583)
Mixres	0331001A	231 ELLIS ST		02/28/2013	PL FILED	false	7	4	2009.0343	Interior structural improvements and addition of 4 stories to existing 3-story building. Revised application rec'd 7/25/11: reduced addition to 3 stories, total 77.5' in ht, 14 res units (11,720 sf), and 8,685 sf retail. Revised drawings rec'd 3/7/13: 18				0	0	12460	0	12460	0	0	0	0	0	0	0	0	0	0	0	02/28/2013	Downtown/Civic Center	Mixed Use	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	80-T-130-T	Bruce Jones	Bruce Jones	(37.785198800000003, -122.41015710000001)
Mixres	6473039	5739 MISSION ST		10/09/2014	BP FILED	false	7	5	2014-001103PRJ		201410098562	APARTMENTS	CONSTRUCT (N) 4-STORY, 7-UNIT CONDO.	0	0	672	672	0	0	0	0	0	187	0	0	0	0	187	0	10/09/2014	Crocker Amazon	Mixed Use	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	40-X		BUCKLEY REAL ESTATE INC	(37.709769999999999, -122.449078)
Resident	1055013	726 PRESIDIO AV		11/12/2014	BP FILED	false	7	7			201411121318	APARTMENTS	"TO ERECT 4 STORIES, 1 BASEMENT, 7 UNITS MULTI-FAMILY RESIDENT.
** MAHER: COMPLIANCE WITH ORDINANCE N"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Western Addition	Residential	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X			(37.784992398599996, -122.445930186)
Resident	2393040	2255 TARAVAL ST		08/13/2013	PL FILED	false	7	7	2013.0499	Demolish existing auto service structure.  Erect new 5-story, 7-units residential, 3-units commercial mixed use building with 8 parking spaces.		APARTMENTS		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/13/2013	Parkside	Mixed Use	NCD	TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT	50-X			(37.742153000000002, -122.490455)
Resident	1153020	1823 TURK ST		10/11/2013	BP FILED	false	7	7			201310119178	2 FAMILY DWELLING	ERECT 4-STORY, TYPE V RESIDENTIAL CONDO.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Western Addition	Mixed Use	NCD	DIVISADERO STREET NEIGHBORHOOD COMMERCIAL DISTRICT	40-X			(37.779662000000002, -122.438864)
Resident	0528008	1662-1664 UNION ST.		06/25/2007	BP FILED	true	7	4	2007.0598	Demo of existing; construction of new 7 unit four-story building.	200706255058	1 FAMILY DWELLING	ERECT: 1 4 STORY, 7 UNIT TYPE 5 RESIDENTIAL STRUCTURE.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/19/2007	Marina	Mixed Use	NCD	UNION STREET NEIGHBORHOOD COMMERCIAL	40-X	Anand Gohel	Matt Williams	(37.798317900000001, -122.4266607)
Resident	4044003	2146 3RD ST		01/23/2014	PL FILED	false	7	6	2013.1109	The proposed project would demolish the existing building on the site and construct in its place a residential building approximately 12,000 sf in size and containing 7 residential units, ranging approximately 500 sf to 1,200 sf in size. The proposed bui				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/23/2014	Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	68-X	Mark Holmquist	Mark Holmquist	(37.762466000000003, -122.388881)
Resident	3631017	987 DOLORES ST		05/14/2014	BP REINSTATED	true	7	1			201405064989	1 FAMILY DWELLING	ERECT 2-STORY, TYPE 5, 0 BASEMENT, SINGLE DWELLING UNIT BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mission	Residential	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X			(37.753599000000001, -122.425146)
Mixres	3547027	80 JULIAN AV		10/27/2011	BP ISSUED	true	7	7	2009.1095	Lot line adjustment, demo existing residential building,  New construction of Community Facility having housing ground floor with commercial above.	201011305795	OFFICE	ERECT 4 STORIES, TYPE 5, 7 BEDROOMS OUTPATIENT DENTAL/MEDICAL & CONGREGATE RESIDENCE BUILDING.	0	-1	12900	0	12900	0	0	0	0	12900	0	0	12900	0	0	0	11/30/2009	Mission	Neighborhood Commercial	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	45-X	Cort Gross	Cort Gross	(37.766972000000003, -122.42137)
Resident	1069045	2882 -  2890 GEARY BLVD		02/05/2014	BP ISSUED	true	7	2	2011.0830	Rear yard variance	201106027305	APARTMENTS	CONVERSION OF TWO EXISTING OFFICE INTO TWO RESIDENTIAL APARTMENT UNIT, UNIT #1 1,499 SQ FT, UNIT #2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/02/2011	Presidio Heights	Mixed Use	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	40-X	Lam Chan	Lam Chan	(37.782293299999999, -122.4499653)
Resident	3613053	811 TREAT AV		12/19/2013	PL FILED	false	7	2	2013.1853	Conditional Use Authorization and Variance request to add two additional units for a total of 7 units on the property and a variance to the rear yard requirement for the expansion of the existing garage to create an additional parking space.				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/19/2013	Mission	Public	P	PUBLIC	40-X	San Francisco Developers, LLC	Bahman Ghassemzadeh	(37.757257000000003, -122.413381)
Resident	0856013	126 LAGUNA ST		03/26/2015	PL APPROVED	true	7	2	2014.0965	To add two dwelling units to an existing five-unit multifamily building.  The units will be located within the existing basement, thereby not expanding the overall depth or width of the existing building.  This project proposes a small expansion to the b				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/25/2014	Western Addition	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X	Robert Gilson	Robert Gilson	(37.772092999999998, -122.425135)
Resident	1640051	327 BALBOA ST		02/26/2015	CONSTRUCTION	true	6	4	2011.0209	Add residential units/ CU for parking V for rear yard, exposure and nonconfomplying sturture	201303071701	FOOD/BEVERAGE HNDLNG	REVISION TO PA# 2011-0128-9269-1ST FL-REMOVE 2 BEDROOMS, ADD STUDY & INCREASE GREAT ROOM. ENLARGE (E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/03/2011	Inner Richmond	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X			(37.777213199999998, -122.4624321)
Resident	0150054	1020 BROADWAY		03/24/2014	PL APPROVED	true	6	6	2006.1202	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/03/2007	Russian Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	Steve Kendrick	Brad Brewster	(37.797133100000003, -122.4139845)
Mixres	1402023	3038 CLEMENT ST		10/27/2014	BP ISSUED	true	6	6	2012.0990	To construct 6 unit building over commercial and parking garage. Building height proposed at 40'. Each unit will be 3 bedrooms.	201211093910		DEMOLISH 1 STORY RETAIL BUILDING	0	0	1186	1186	0	0	0	0	0	-416	0	0	0	0	-416	0		Outer Richmond	Mixed Use	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X			(37.781857000000002, -122.4920777)
Resident	2040001	1701 09TH AV		01/08/2013	CONSTRUCTION	true	6	6	2009.0129	Demo existing commercial building, subdivide lot into 3 lots and construct three 2-unit residential buildings.	200904065665	2 FAMILY DWELLING	Multiple Permits	0	0	0	0	0	0	0	0	0	4595	0	0	0	0	4595	0	02/24/2009	Inner Sunset	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.756383, -122.46606199999999)
Mixres	6574013	3178 MISSION ST		10/07/2013	PL APPROVED	true	6	3	2013.1182	Demo of one existing cinder block auto repair building. Expand the ground floor for commercial use; add 3 dwelling units, relocate 1 existing dwelling unit and renovate interior of 2 existing dwelling units.				0	0	3005	3005	0	0	0	0	0	1311	0	0	0	0	1311	0	08/23/2013	Bernal Heights	Mixed Use	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	40-X	Mason Kirby	Mason Kirby	(37.745544000000002, -122.419939)
Resident	3601071	3927 19TH ST		08/13/2008	BP FILED	false	6	3	2014.0243	Add a second residential unit at the front of each of three lots that contain one residence at the rear of each lot. Increase number residences from three to six and increase total residential area from 5,132 sf to 22,678 sf.	200808139077	1 FAMILY DWELLING	ERECT 5 STORY SINGLE FAMILY DWELLING. (3 STORY OCCUPANCY & 2 BASEMENTS.)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/14/2014	Castro/Upper Market	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	Jeff Burris	Jeff Burris	(37.759487, -122.430769)
Resident	3211010A	270 OCEAN AV		01/30/2015	CONSTRUCTION	true	6	6	2007.0125	The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area.	200607186852	APARTMENTS	TO ERECT 4 STORY 6 DWELLING UNITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/31/2007	Outer Mission	Mixed Use	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	David Sternberg	Robert Buchbinder	(37.7232913, -122.442488)
Resident	3727045	618 NATOMA ST		09/13/2014	PL FILED	false	6	1	2014.1409	Variance request to the open space requirement to permit the conversion of storage space to habitable space as part of the creation of a new dwelling unit.				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/13/2014	South of Market	Mixed Use	RED-MX	RESIDENTIAL ENCLAVE-MIXED	40-X	Michael Smith	Javier Solorzano	(37.778098, -122.410286)
Resident	3594016	3360 20TH ST		10/21/2010	BP APPROVED	true	6	6	2005.0370	Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.	200512200747	APARTMENTS	TO ERECT 4 STORY 6 DWELLING UNITS	0	0	0	0	0	0	0	0	0	-4750	0	0	0	-4750	0	0	08/23/2005	Mission	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	45-X			(37.759027000000003, -122.41615299999999)
Resident	3755096	5 HALLAM ST		01/09/2015	BP ISSUED	true	6	6			201305036140	APARTMENTS	TO ERECT 4 STORIES OF 6 FAMILY DWELLINGS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		South of Market	Residential	RED	SOUTH OF MARKET RESIDENTIAL ENCLAVE	40-X			(37.775778500000001, -122.40844920000001)
Mixres	1609021F	700 36TH AV		09/26/2008	BP FILED	false	6	6	2009.0653		200809262781	APARTMENTS	TO ERECT 6 DWELLING UNIT WITH FOUR STORY NEW BLDG.(COMMERCIAL AND RESIDENTIAL)	0	0	2000	2000	0	0	0	0	0	2000	0	0	0	0	2000	0	07/17/2009	Outer Richmond	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X			(37.775539999999999, -122.496011)
Resident	5825007	782-786 ANDOVER ST		11/08/2013	CONSTRUCTION	true	6	6	2006.0825	Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.	200603025880	2 FAMILY DWELLING	TO ERECT 3 STORY S FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/10/2006	Bernal Heights	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	RICK BRUCE		(37.733671000000001, -122.417086)
Resident	3510028	949 NATOMA ST		10/10/2014	BP FILED	false	6	6			201410108646	APARTMENTS	ERECT A FOUR STORY SIX RESIDENTIAL TYPE 5 CONST DWELLING BUILDING. COMPLIANCE W/ ORDINANCENO. 156-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		South of Market		RED-MX	RESIDENTIAL ENCLAVE-MIXED	45-X			(37.773908568499998, -122.415357833)
Resident	1407017	2500 CLEMENT ST		03/05/2013	BP FILED	false	6	4	2013.0205	Removal of two units. The proposed project would provide for continuity of the NCD storefornts & buildings heights, and the elevations will be sculpted to	201303051501	APARTMENTS	Multiple Permits	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/26/2013	Outer Richmond	Mixed Use	NCD	OUTER CLEMENT STREET NEIGHBORHOOD COMMERCIAL	40-X	Gabriel  Ng	Gabriel  Ng	(37.781928999999998, -122.485883)
Resident	1809028	3945 JUDAH ST		12/31/2014	BP FILED	false	6	6			201412314770	APARTMENTS	TO ERECT 4 STORIES, 1 BASEMENT, 6 UNITS RESIDENTIAL WITH COMMERCIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Outer Sunset	Mixed Use	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X			(37.760306158399999, -122.50455909999999)
Mixres	6941063	1415 OCEAN AV		08/29/2008	BP FILED	false	6	6			200808290369	APARTMENTS	ADD THREE STORIES ON TOP OF ONE STORY BLDG. - ADD SIX RESIDENTIAL UNITS ON TOP OF COMMERCIAL RETAIL	0	0	5285	5285	0	0	0	0	0	0	0	0	0	0	0	0		Ocean View	Mixed Use	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	45-X			(37.724066000000001, -122.457572)
Resident	0149010	908 BROADWAY		04/17/2014	PL FILED	false	6	5	2013.1609	To demolish the existing group housing (2 story over basement) and construct a new building to contain 6 new residential condominium units, with 6 ancillary parking spaces (4 story over basement garage).  The intent is to adjust the current lot dimension				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/17/2014	Russian Hill	Residential	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X	Adam McNicol	Adam McNicol	(37.797286999999997, -122.41194900000001)
Resident	6243019	590 LELAND AVE.		04/25/2014	BP FILED	false	5	5	2014.0936	Demolition of church; subdivision into five lots; and construction of five single-family homes (579, 583, & 589 Raymond Ave. and 586 & 590 Leland Ave.).	201404254156	1 FAMILY DWELLING	(583 RAYMOND ST) TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	-8416	-8416	0	0	0	0	0	06/17/2014	Visitacion Valley	Residential	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	Victor  Quan	Victor  Quan	(37.714663999999999, -122.41536499999999)
Resident	3537087	435 DUBOCE AV		08/10/2011	PL APPROVED	true	5	3	2011.0237	Addition of 6th dwelling unit without sufficient exposure	200803207576	APARTMENTS	ADDING 3 RESIDENTIAL DWELLING UNITS TO THE BUILDING. MAINTAINING THE CURRENT COMMERCIAL PERMITTED US	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/10/2011	Castro/Upper Market	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X			(37.769321300000001, -122.42983479999999)
Resident	3985027	1239 17TH ST		11/21/2013	BP FILED	false	5	3			201311212547	APARTMENTS	ADD FOUR RESIDENTIAL UNITS ON TOP OF EXISTING IRON WORK SHOP.CONVERT EXISTING OFFICE TO ANOTHER RESI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	40-X			(37.765228999999998, -122.39623)
Resident	3731102	48 HARRIET ST		06/06/2008	BP FILED	false	4	4			200806063801	APARTMENTS	ERECT A 4 STORIES 4 UNITS RESIDENTIAL DWELLINGS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		South of Market	Residential	RED	SOUTH OF MARKET RESIDENTIAL ENCLAVE	45-X			(37.778626000000003, -122.407056)
Resident	2845005	70 CRESTLINE DR		05/15/2013	BP ISSUED	true	5	5	2012.0859	To subdivide the existing lot into two lots and construct a new four-family dwelling on the proposed vacant lot.	200908255545	APARTMENTS	TO ERECT 4 STORY TYPE 5, 5 DWELLING UNITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/05/2012	Twin Peaks	Residential	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X			(37.7515334, -122.4461587)
Resident	3651018	3822 24TH ST		02/21/2014	BP FILED	false	5	5	2014.1408	DEMOLISH 2 STORIES, SINGLE FAMILY DWELLING AND ERECT 2 STORIES, 1 BASEMENT, 5 UNITS RESIDENTIAL WITH MIXED USE BUILDING.	201402219037	APARTMENTS	TO ERECT 2 STORIES, 1 BASEMENT, 5 UNITS RESIDENTIAL WITH MIXED USE BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/13/2014	Noe Valley	Mixed Use	NCD	24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL	40-X			(37.751533999999999, -122.427711)
Resident	0936020	3215 SCOTT ST		10/24/2014	BP FILED	false	5	2			201410249901	APARTMENTS	CONVERT (E) 2ND FLR OFFICE/COMMERCIAL AREAS @ UNITS 3215B & 3215C TO TWO NEW RESIDENTIAL UNITS. ONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Marina	Mixed Use	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	40-X			(37.799460136100002, -122.441238144)
Mixres	0212031	135 WETMORE ST		06/20/2013	BP REINSTATED	true	5	5			201306038460	APARTMENTS	TO ERECT 5 STORIES OF FIVE DWELLINGS WITH GARAGE	0	0	4000	0	4000	0	0	0	0	2000	0	0	2000	0	0	0		Nob Hill	Residential	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	65-A			(37.794186099999997, -122.4106769)
Resident	1279048	598 BELVEDERE ST		08/18/2009	BP FILED	false	5	4			200908185077	TOURIST HOTEL/MOTEL	COMPLY WITH N.O.V# 200902623 - THIS IS FOR CHANGE OF USE. TO COMPLY WITH CONDITIONS, STIPULATION & S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Haight Ashbury	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.761958, -122.447681)
Resident	3974020	455 POTRERO AV		02/09/2012	PL FILED	false	5	2	2012.0131	Demo existing garage & construct a new residential duplex unit over basement level with 1 car-garage. Install sprinklers in building located in the rear of the lot.				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/09/2012	Mission	Mixed Use	UMU	URBAN MIXED USE	40-X	Edward Morris	Edward Morris	(37.763812899999998, -122.40720330000001)
Resident	0025024	888 NORTH POINT ST		12/16/2014	BP FILED	false	5	5	2014-001729PRJ		201412163783	APARTMENTS	CONTRUCT (N) 4-STORY MIXED-USED BUILDING (COMMERCIAL & RESIDENTIAL)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Russian Hill	Commercial	C-2	COMMUNITY BUSINESS	40-X	Gabriel Ng + Architects, Inc.		(37.805745446800003, -122.421814231)
Resident	3730096	34 LANGTON ST		10/08/2013	BP FILED	false	5	5	2014.0681	Demolition of a 630sf industrial building and construction of a 5-unit 4-story 3,561sf building with 2 parking spaces.	201310088785	APARTMENTS	TO ERECT 4 STORIES, NO BASEMENT, 5 UNITS APARTMENT, TYPE III-A BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/06/2014	South of Market	Mixed Use	WMUG	WSOMA MIXED USE-GENERAL	65-X			(37.777129000000002, -122.409282)
Resident	6506032	4171 24TH ST		10/16/2014	BP FILED	false	5	5			201410169154	APARTMENTS	CONSTRUCT NEW 4 STORIES, 1 BASEMENT, 5 UNITS MULTI-FAMILY RESIDENCE.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Noe Valley	Mixed Use	NCD	24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL	40-X			(37.750963900899997, -122.435538874)
Resident	7113022	270 CAPITOL AV		03/19/2015	CONSTRUCTION	true	4	4			201303041387	2 FAMILY DWELLING	Multiple Permits: TO ERECT 4 STORIES 2 DWELLING UNITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Ocean View	Residential	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X			(37.712674999999997, -122.458854)
