PROJECT_TYPE	BLKLOT	NAMEADDR	ENTITLED	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLE_NET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANT_NET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	YEAR_	QTR	YEAR_QTR	PD	SD	PLANAREA	PDA	Location 1
Mixed	4067012	1512 20TH ST	TRUE	BP ISSUED	11/12/2015 12:00:00 AM	0	0	0	0				2013	Renovation and addition to an existing mixed-use building	REMOVE (E) ROOF. INCREASE HEIGHT OF (E) 2 STORY BLDG & ADD (N) MEZZ. ADD (N0) ROOF DECK @ SINGLE STORY ADDITION) 2 STORY PLUS SINGLE STORY ADDITION@ REAR. REMODEL INTERIOR OF(E)MBLDG. REHABILITATE FRONT FACADE WITH (N) WINDOWS IN (E) OPENING.  REPLACE (E	5834	2561	0	0	0	0	0	0	0	2118	1011	0	0	0	2166	3716	1550	0	0	0	0	0	0	0	0	LLYNCH	Cary Bernstein	Cary Bernstein	415-522-1907	2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.76023113370, -122.39665847000)
Resident	5513011	1513 YORK ST	FALSE	BP FILED	07/09/2014 12:00:00 AM	2	2	0	0				2013	Develop four dwelling units on vacant mid-block parcels (lots 11 and 12) with access from York Street (lot 20). Total of four 4-story, 30'tall buildings and 12 parking spaces (13,000 sf).	ERECT 4-STORY, 1 FAMILY DWELLING UNIT BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SOUTHEAS				2017	Q4	2017_Q4	11 - Bernal Heights	9		Rest of the City	(37.74812528660, -122.40686730600)
Resident	184007	1515 LEAVENWORTH ST	FALSE	BP Filed	11/07/2016 12:00:00 AM	8	1	0	0				2016-014696PRJ	CONVERT ILLEGAL UNIT TO ONE ADU @ REAR (NORTHWEST CORNER). REF #2015-0821-4994 (SOFT STORY APPL), 2016-1107-2165 (UNIT LEGALIZATION) & 2016-1108-2161 (ADU).	CONVERT ILLEGAL UNIT TO ONE ADU @ REAR (NORTHWEST CORNER). REF #2015-0821-4994 (SOFT STORY APPL), 2016-1107-2165 (UNIT LEGALIZATION) & 2016-1108-2161 (ADU).	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ESAMONSK		1515 LEAVENWORTH STREET LLC		2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79506178310, -122.41677840400)
Mixres	6571001	1515 SOUTH VAN NESS AV	TRUE	BP FILED	07/25/2017 12:00:00 AM	157	157	19	19	On-site BMR Project	90% AMI;	Rental	2014	Demolition of existing commercial building and construction of a 160 unit rental apartment home community with 1,440 sf retail within a building measuring 65' along S. Van Ness and stepping down to 55' along Shotwell Street.  Lennar intends to accommodat		5241	-58119	0	0	0	0	0	0	0	0	-31680	0	0	-31680	0	5241	5241	0	0	0	0	0	0	0	0	DVU				2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.74902745450, -122.41499508800)
Resident	1864001N	1518 19TH AV	FALSE	BP FILED	04/30/2015 12:00:00 AM	3	1	0	0				2015-008811PRJ	UNIT LEGALIZATION ORDINANCE 43-14. NEW GFCI OUTLET AT GROUND FLOOR KITCHEN COUNTER.NEW UTILITIES DOOR. NEW T/R OUTLET AT GROUND FLOOR BEDROOM. & LEGALIZED GROUND FLOOR TO COMPLY WITH CODE ENFORCEMTN#200561177.	UNIT LEGALIZATION ORDINANCE 43-14. NEW GFCI OUTLET AT GROUND FLOOR KITCHEN COUNTER.NEW UTILITIES DOOR. NEW T/R OUTLET AT GROUND FLOOR BEDROOM. & LEGALIZED GROUND FLOOR TO COMPLY WITH CODE ENFORCEMTN#200561177.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS		MAO KENNY KIET & TRUONG XUAN NGOC		2017	Q4	2017_Q4	14 - Inner Sunset	7		Rest of the City	(37.75943502710, -122.47645671900)
Resident	666006	1522 BUSH ST	TRUE	BP APPROVED	01/13/2016 12:00:00 AM	3	3	0	0				2016-004290PRJ			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	5 - Western Addition	2	Van Ness Corridor	Downtown-Van Ness-Geary	(37.78866380660, -122.42264116900)
Resident	1876001B	1523 30TH AV	FALSE	BP Filed	11/02/2017 12:00:00 AM	2	1	0	0						LEGALIZE A SECOND DWELLING UNIT ON THE 1ST FLR OF AN (E) SINGLE FAMILY DWELLING PER UNIT LEGALIZATIO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.75881669110, -122.48894239600)
Mixres	665005	1523 FRANKLIN ST	FALSE	BP FILED	07/01/2016 12:00:00 AM	7	7	0	0				2015-015129PRJ	Demolition of an existing one-story over basement commercial building and construct a new mixed us 8-story building consisting of 650 SF of commercial, seven parking spaces, and seven residential units.	CONSTRUCT 8-STORY (N) 7 RESIDENTIAL CONDO OVER COMMERCIAL, WITH 1 BASEMENT.	650	-3550	0	0	0	0	0	0	0	0	-4200	0	0	0	0	650	650	0	0	0	0	0	0	0	0	BBENDIX	Reuben, Junius & Rose, LLP		4155679000	2017	Q4	2017_Q4	5 - Western Addition	2		Downtown-Van Ness-Geary	(37.78858686590, -122.42389833900)
Resident	3196006	1524 OCEAN AV	TRUE	BP REINSTATED	03/30/2015 12:00:00 AM	3	3	0	0				2015-001250PRJ	Vertical & horizontal addition. Project proposes construction of three additional stories for 9 dwelling units on top of existing one-story commercial space. Change of use from retail to mixed use-retail and residential.	3-STORY VERTICAL ADDITION. RELOCATE RESTROOM ON 1ST FL. ADD 3 BATHROOMS, 2 KITCHENS, 4 BEDROOM ON EACH 2ND, 3RD & 4TH FLOOR PER PLAN.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRANNANC	ICE Design	MAXSTONE INVESTMENT LLC	415-994-6219	2017	Q4	2017_Q4	13 - Ingleside	7	Ocean Avenue Corridor Design; Balboa Park	Balboa Park	(37.72465720690, -122.45870690500)
Mixres	667020	1525 PINE ST	FALSE	PL FILED	05/09/2016 12:00:00 AM	15	15	0	0				2015-009955PRJ	Demolition of existing 1 story restaurant; construction of a new 7 story mixed-use commercial and residential building with two commercial spaces at ground floor.		1695	-25	0	0	0	0	0	0	0	0	0	0	0	0	0	1695	-25	0	0	0	0	0	0	0	0		D-Scheme Studio		4152520888	2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.78932106980, -122.42082638900)
Resident	5545019	1525 SHOTWELL ST	TRUE	BP ISSUED	01/31/2017 12:00:00 AM	1	1	0	0						TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				2017	Q4	2017_Q4	11 - Bernal Heights	9		Rest of the City	(37.74473515120, -122.41465452400)
Resident	1867036	1526 22ND AV	FALSE	BP FILED	04/30/2015 12:00:00 AM	2	1	0	0						UNIT LEGALIZATION ORDINANCE 43-14. NEW 20 MIN FIRE DOOR, NEW GFCI OUTLET AT GROUND FLOOR KITCHEN COUNTER. LEGALIZED 2ND FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NKWIATKO				2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.75914994540, -122.47970869300)
Mixed	130025	1526 POWELL ST	TRUE	BP FILED	12/30/2015 12:00:00 AM	0	0	0	0				2016-000388PRJ	SEEKING CONDITIONAL USE TO CONVERT PART OF(E) 9,939 SF METAL SHOP TO A NEW 3,999 MAX FULL SERVICE RESTAURANT (CHANGE OF USE)CONVERT (E) MEZZ TO (N) 2ND FLOOR, NO ADDITIONAL STORY ADDED TO BLDG	SEEKING CONDITIONAL USE TO CONVERT PART OF(E) 9,939 SF METAL SHOP TO A NEW 3,999 MAX FULL SERVICE RESTAURANT (CHANGE OF USE)CONVERT (E) MEZZ TO (N) 2ND FLOOR, NO ADDITIONAL STORY ADDED TO BLDG	9929	0	0	0	0	0	0	0	0	0	0	0	5930	-3999	0	3999	3999	0	0	0	0	0	0	0	0	CGROB	DELUCCHI MECHANICAL INC	DELUCCHI MECHANICAL INC		2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79893768400, -122.41020342500)
Resident	3548021	1528 15TH ST	TRUE	CONSTRUCTION	12/15/2016 12:00:00 AM	5	1	0	0				2015-013010PRJ	Change of use of ground floor vacant retail/commercial space to a residential unit.	"CONVERT (E) GROUND FLOOR COMMERCIAL SPACE INTO (N) DWELLING UNIT W/ 3-BEDROOMS, 2-BATHS, LIVING/DINING & KITCHEN AREA & LAUNDRY; (N) WINDOW OPENINGS & DOOR ACCESS TO STREET.
** MAHER: N/A **"	0	-1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1142	0	0	0	0	0	0	0	0	JDISALVO	Topetcher Architecture, Inc.		4153599997	2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.76696489830, -122.41831657800)
Resident	3983014	153 ARKANSAS ST	TRUE	CONSTRUCTION	10/04/2017 12:00:00 AM	2	2	0	0				2014	Mandatory Discretionary Review for the demolition of a single family dwelling to permit the reconstruction of a two family dwelling.	"TO ERECT 2 STORIES, NO BASEMENT, TYPE VB, 2 FAMILY RESIDENTALS.
** MAHER: N/A **"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CTOWNES				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.76422112330, -122.39831338000)
Resident	1852006	1531 06TH AV	TRUE	BP ISSUED	09/12/2017 12:00:00 AM	2	1	0	0						CREATE ACCESSORY DWELLING UNIT. DIVIDE ENTRY W/ FIRE RATED WALL & (2) ENTRY DOORS. ADD KITCHEN @ LOWER LEVEL FAMILY ROOM.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ALEXANDE				2017	Q4	2017_Q4	14 - Inner Sunset	7		Rest of the City	(37.75995113580, -122.46313568000)
Resident	1660044	1633 CABRILLO ST	FALSE	BP Filed	07/20/2017 12:00:00 AM	2	2	0	0						CONSTRUCT (2) (N) MULTI-FAMILY RESIDENTIAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	1 - Richmond	1		Rest of the City	(37.77455278970, -122.47635723700)
Mixres	3521056	1532 HARRISON ST	TRUE	BP ISSUED	07/28/2017 12:00:00 AM	136	136	22	22	On-site BMR Project	90% AMI;	Rental	2013	The proposed project is proposing two versions of a residential project on the project site at 1532 Harrison Street. The first version would demolish an existing parking lot and construct an approximately 103,544 gsf mixed use project with 119 dwelling u	ERECT A 7 STORIES TYPE 1A 136 RESIDENTIAL UNITS AND COMMERCIAL BUILDING. MAHER EXEMPTED.	1463	1463	0	0	0	0	0	0	0	0	0	0	0	0	0	1463	1463	0	0	0	0	0	0	0	0	RSUCRE				2017	Q4	2017_Q4	8 - Mission	6	Western SoMa (EN)	Eastern Neighborhoods	(37.77048389580, -122.41331634800)
Resident	3511015	1532 HOWARD ST	TRUE	CONSTRUCTION	12/21/2017 12:00:00 AM	15	15	0	0				2013	Demolition of an existing one-story commercial building and the proposed new construction of a six-story residential building with 15 single room occupancy units.	ERECT 6-STORY, NO BASEMENT, TYPE 1, 15 DWELLING UNITS BUILDING. COMPLIANCE W/ ORDINANCE NO. 155-13 NOT REQUIRED.	0	-1599	0	0	0	0	0	0	0	0	0	0	0	0	1599	0	-1599	0	0	0	0	0	0	0	0	RSUCRE	Aidin Massoudi	Aidin Massoudi	922-0200x105	2017	Q4	2017_Q4	8 - Mission	6	Western SoMa (EN)	Eastern Neighborhoods	(37.77281762700, -122.41628426400)
Mixres	3196028	1532 OCEAN AV	TRUE	BP FILED	09/10/2014 12:00:00 AM	9	8	0	0				2015-001171PRJ	VERTICAL ADDITION. 2 STORY BUILDING ADDITION OVER EXISTING 2 STORY APT/RETAIL. ADD 4 BEDROOM, 3 BATHROOMS, 3 KITCHENS ON 3RD FLOOR. ADD 4 BEDROOMS, 3 BATHROOMS, 3 KITCHEN ON 4TH FLOOR.	VERTICAL ADDITION. 2 STORY BUILDING ADDITION OVER EXISTING 2 STORY APT/RETAIL. ADD 4 BEDROOM, 3 BATHROOMS, 3 KITCHENS ON 3RD FLOOR. ADD 4 BEDROOMS, 3 BATHROOMS, 3 KITCHEN ON 4TH FLOOR.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRANNANC		MAXSTONE INVESTMENT LLC		2017	Q4	2017_Q4	13 - Ingleside	7	Ocean Avenue Corridor Design; Balboa Park	Balboa Park	(37.72469704020, -122.45877928100)
Retail/Ent	665004	1533 - 1539 FRANKLIN ST	FALSE	PL FILED	07/21/2015 12:00:00 AM	0	0	0	0				2015-006700PRJ	Conversion of an existing illegal office use to a tourist hotel occupying floors 1-3.		2926	-88930	0	0	0	0	0	0	0	0	-88930	0	0	0	0	2926	0	0	0	0	0	0	0	0	0	CCLARKE	Farella Braun + Martel	Ilene Dick	415-954-4958	2017	Q4	2017_Q4	5 - Western Addition	2		Downtown-Van Ness-Geary	(37.78879712350, -122.42399458900)
Resident	596061	1537 PACIFIC AV	FALSE	BP Filed	10/25/2017 12:00:00 AM	3	1	0	0						ADDITION OF DWELLING UNIT PER ORDINANCE NO. 162-16.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79488718310, -122.42052037500)
Mixres	836001	1540 MARKET ST	FALSE	BP Filed	12/09/2016 12:00:00 AM	300	300	0	0				2009	Demolition of all existing structures on site including a 3-story, 2,750sf commercial building, a 4-story, 48,225sf commercial building, and a surface parking lot with 47 spaces, and new construction of a 304-unit, 40-story residential tower (400 feet ta	ERECT 40 STORIES OF 300 DWELLING UNIT MIX USE TYPE ONE CONTRATION.	3120	-46005	0	0	0	0	0	0	0	0	-48225	0	0	0	0	3120	2220	0	0	0	0	0	0	0	0	TCHANG				2017	Q4	2017_Q4	6 - Buena Vista	5	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	Market & Octavia	(37.77524608920, -122.41953628800)
MIPS	836002	1540 MARKET ST	FALSE	BP FILED	12/09/2016 12:00:00 AM	0	0	0	0				2009	Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial build		17923	-21236	0	0	0	0	0	0	0	15281	-22827	0	0	0	1051	2642	1591	0	0	0	0	0	0	0	0	TCHANG	Richard Johnson	Andrew Junius	415 567 9000	2017	Q4	2017_Q4	6 - Buena Vista	5	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	Market & Octavia	(37.77521495990, -122.41960726200)
Resident	1448038	1545 CLEMENT ST	TRUE	BP ISSUED	09/13/2017 12:00:00 AM	2	2	0	0				2015-018568PRJ	TO DEMOLISH 1 STORY COMMERCIAL BUILDING and construct a 4-story mixed use building with three residential units.	TO ERECT 4 STORIES 3 UNITS OF RESIDENTIAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LAJELLO		BONG ANNE & HENRY W C		2017	Q4	2017_Q4	1 - Richmond	1		Rest of the City	(37.78220934700, -122.47601494500)
Mixres	836007	1546 - 1564 MARKET ST	TRUE	BP ISSUED	11/02/2016 12:00:00 AM	110	110	13	13	On-site BMR Project	90% AMI;	Ownership	2012	Demolition of two existing buildings and the construction of a new 12-story residential tower with 109 dwelling units, 4,560sf of ground floor commercial space, 105 bicycle parking spaces, a car share space, 28 off-street parking spaces, and a landscaped	ERECT 12-STORY, 1 BASEMENT, RESIDENTIAL, RETAIL & PARKING BUILDING. MAHER ORDINANCE APPLIES.	4560	-6782	0	0	0	0	0	0	0	0	-4676	0	0	0	0	4560	-2106	0	0	0	0	0	0	0	0	KGUY				2017	Q4	2017_Q4	6 - Buena Vista	5	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	Market & Octavia	(37.77498042330, -122.42019610800)
PDR	3913005	155 DE HARO ST	TRUE	BP FILED	01/15/2015 12:00:00 AM	0	0	0	0				2013	The project site consists of a 40,741 square foot lot (Assessor's Block 3913, Lot 005) bound by De Haro Street to the west, Carolina and Channel Street to the east, 15th Street to the south, and Berry Street to the north.  Currently the lot contains two	CHANGE OF OCCUPANCY. LATERAL EXPANSION. ADDITION OF MMEZZANINES. PARKING STRIPING & LANDSCAPING.	32330	15405	0	0	0	0	0	0	0	0	0	0	32330	15405	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS	Harvey Hacker	Harvey Hacker	415-957-0579	2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.76837375090, -122.40144206200)
Resident	6605001	1550 DIAMOND ST	FALSE	BP FILED	07/20/2016 12:00:00 AM	2	1	0	0						LEGALIZATION OF (E) INLAW UNIT ON 3RD FLOOR PER S.F ORDINANCES 43-14. COMPLY NOV#201415981 UPGRADE ELECTRICAL SERVICE PANEL TO 200 AMPS, AND PLUMBING WORKS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADINASEE				2017	Q4	2017_Q4	7 - Central	8		Rest of the City	(37.74486657560, -122.43596850700)
Resident	519012	1826 FILBERT ST	TRUE	CONSTRUCTION	12/28/2017 12:00:00 AM	2	1	0	0						ADD NEW 1ST FLOOR UNIT TO INCLUDE 1 BEDROOM, 1 BATHROOM, KITCHEN, DINING CLOSE & LAUNDRY.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	2 - Marina	2		Rest of the City	(37.79901701990, -122.42969345100)
Mixres	836006	1550 MARKET ST	TRUE	PL APPROVED	10/16/2015 12:00:00 AM	109	109	0	0				2012	Demolition of two existing buildings and the construction of a new 12-story residential tower with 109 dwelling units, 4,560sf of ground floor commercial space, 105 bicycle parking spaces, a car share space, 28 off-street parking spaces, and a landscaped		4560	-16928	0	0	0	0	0	0	0	0	-14822	0	0	0	0	4560	-2106	0	0	0	0	0	0	0	0	EWATTY	Christopher Davenport	Christopher Davenport	925-309-2503	2017	Q4	2017_Q4	6 - Buena Vista	5	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	Market & Octavia	(37.77488926720, -122.42008084100)
Resident	665002	1551  FRANKLIN ST	TRUE	BP ISSUED	09/11/2017 12:00:00 AM	5	2	0	0				2016-000663PRJ	ADDITIONAL TWO (2) NEW UNITS PER ORDINANCE 30-15; SEISMIC APPLICATION UNDER SEPARATE PERMIT 201509046210.	ADDITIONAL ONE (1) NEW UNITS PER ORDINANCE 162-16; SEISMIC APPLICATION UNDER SEPARATE PERMIT 201509046210.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ESAMONSK	ALVIN & ANNA HUIE REVOCABLE TRUST	ALVIN & ANNA HUIE REVOCABLE TRUST		2017	Q4	2017_Q4	5 - Western Addition	2		Downtown-Van Ness-Geary	(37.78896526400, -122.42398483100)
Retail/Ent	5545017	1551 SHOTWELL ST	FALSE	BP FILED	12/30/2013 12:00:00 AM	0	0	0	0						TO ERECT 1 STORIES GREEN HOUSE AT SIDE YARD.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				2017	Q4	2017_Q4	11 - Bernal Heights	9		Rest of the City	(37.74459823490, -122.41464132800)
Resident	1891010	1553 45TH AV	FALSE	BP FILED	12/21/2016 12:00:00 AM	2	1	0	0						"SITE PERMIT TO ADD 1 NEW ACCESSORY DWELLING UNIT TO GARAGE SPACE PER ORDINANCE 162-16.
** MAHER: N/A **"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PANTOJAG				2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.75755866760, -122.50498085300)
CIE	1771041	1555 IRVING ST	TRUE	BP APPROVED	01/06/2017 12:00:00 AM	0	0	0	0				2015-006386PRJ	Request for Conditional Use Authorization for a Change of Use from a store to a school for grades 9-12. The proposed work includes interior tenant improvements to the ground floor of 1555 and to both levels of 1601.	CHANGE OF USE FROM BEAUTY SCHOOL TO PRIVATE HIGH SCHOOL(LARGE INST'L USE). 2015-006386CUA & 2015-006386VAR. DEMO (E) INT. WALLS, ADD (N) WALLS, PROVIDE ACC. RESTRMS, 2(N) STAIRS & ELEVATOR. ACC. FRONT DRS. CONSTRUCT (N) ROOF DECK. PROVIDE 6 CLASS-2 BIKE	9416	2718	6698	9416	2718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CCLARKE				2017	Q4	2017_Q4	14 - Inner Sunset	5		Rest of the City	(37.76343159760, -122.47474796400)
Retail/Ent	0546001B	1555 UNION ST	FALSE	PL FILED	12/08/2016 12:00:00 AM	0	0	0	0				2014	Demolish the existing hotel (Pacific Heights Inn), and construct a new 4 story hotel with 100 guest rooms and 2 levels of below grade parking.		42860	21860	0	0	0	0	0	0	0	0	0	0	0	0	21000	42860	21860	0	0	0	0	0	50	100	50	AA CONV				2017	Q4	2017_Q4	2 - Marina	2		Downtown-Van Ness-Geary	(37.79815546720, -122.42484869800)
Resident	1853004E	1559 07TH AV	FALSE	BP Filed	04/18/2017 12:00:00 AM	2	1	0	0						COMPLY W/NOV #201635593 -  LEGALIZE UNAUTHORIZED DWELLING UNIT ON GROUND FLOOR: 1 KITCHEN, 1.5 BATHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	14 - Inner Sunset	7		Rest of the City	(37.75928716990, -122.46416399300)
Resident	6618003	1560 DOLORES ST	TRUE	CONSTRUCTION	12/19/2017 12:00:00 AM	2	1	0	0						HORIZONTAL & VERTICAL ADDITION TO EXISTING SINGLE FAMILY HOME, ONE ADDITION UNIT @ THIRD AND FOUR FLOOR.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GORDON-J				2017	Q4	2017_Q4	7 - Central	8		Mission-San Jose Corridor	(37.74435086780, -122.42481604700)
PDR	4829007	1560 WALLACE AV	TRUE	BP APPROVED	02/28/2014 12:00:00 AM	0	0	0	0						ERECT 1 STORY, TYPE 5, WAREHOUSE BUILDING.	5000	5000	0	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	0	0	0	0	0	0	JMILLER				2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.72732455320, -122.39030485700)
Resident	3108003	1565 PLYMOUTH AV	FALSE	BP Filed	06/02/2017 12:00:00 AM	2	1	0	0						UNIT LEGALIZATION ORDINANCE 43-14. LEGALIZE EXISTING KITCHEN, ONE BED RM & ONE BATH ROOM. ALL WORK A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	13 - Ingleside	7		Rest of the City	(37.73048424490, -122.45749845500)
CIE	1877034	1566 32ND AV	TRUE	BP ISSUED	09/10/2015 12:00:00 AM	0	-1	0	0				2013	Conditional Use Authorization to convert a dwelling unit to a child care facility with over 15 per P.C. Sec. 209.3(f) and a Variance to the parking requirement of P.C. Sec. 151	CHNAGE OF USE FROM R3 TO E, PRESCHOOL/DAYCARE FOR 2-6Y.O. IN CONJUCTION WITH CONDITIONAL USE PERMIT APPLICATION# 2013:124B.	2040	2040	0	2040	2040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JLOOK				2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.75799120810, -122.49037857300)
Resident	5341009B	1566 SHAFTER AV	FALSE	BP Filed	09/26/2017 12:00:00 AM	2	1	0	0						LEGALIZATION OF UNAUTHORIZED (N) UNIT PER ORDINANCE 43-14.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73088536160, -122.38992343900)
Resident	1878002S	1574 33RD AV	TRUE	BP APPROVED	12/13/2017 12:00:00 AM	2	1	0	0						LEGALIZE AS-BUILT KITCHEN TO CREATE 2ND DWELLING UNIT (UNIT B) ON 1ST FLR PER PLAN PER ORDINANCE #43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.75781263580, -122.49144051600)
Resident	5323016B	1583 OAKDALE AV	FALSE	BP FILED	06/14/2016 12:00:00 AM	2	1	0	0				2016-008128PRJ	LEGALIZE 2ND UNIT PER ORDINANCE# 43-14. ABATE NOV# 201575451. ADDRESS COMPLAINT# 201575401.	LEGALIZE 2ND UNIT PER ORDINANCE# 43-14. ABATE NOV# 201575451. ADDRESS COMPLAINT# 201575401.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMPBELL	CURRY DARLENE CURRY	CURRY DARLENE		2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73420711240, -122.39018878500)
Resident	5377070	159 & 161 CHARTER OAK AV	FALSE	PL FILED	03/15/2016 12:00:00 AM	4	4	0	0				2015-009227PRJ	159 and 161 Charter Oak Avenue (5377/070 and 071); Project Review meeting to discuss a merge and subdivide two existing lots for three new single family dwellings.  The purpose of the meeting is to review proposed lot configuration and building massing.	ERECT 3 STORY, NO BASEMENT, SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JBANALES	Gabriel Ng + Architects, Inc.		415-682-8060	2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73521357800, -122.40418306400)
Resident	5377071	159 CHARTER OAK AV	FALSE	BP FILED	08/04/2016 12:00:00 AM	3	3	0	0						ERECT 3 STORY, NO BASEMENT, SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJARDINE				2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73532481190, -122.40425400000)
