APN	Entitlement	BESTSTAT	BESTDATE	NAMEADDR	Alias	PLN_CASENO	BP_APPLNO	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	PLN_DESC	BP_DESC	PLANNER	SPONSOR	SP_CONTACT	SP_CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	SUPE_DISTRICT	Location
APN 4274001	1	CONSTRUCTION	08/25/2015	1302 YORK ST			201310119147	3	1	0	0			$68000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/11/2013		CHANGE OF USE FROM R3 2-UNIT RESIDENTIAL TO R2 3-UNIT RESIDENTIAL. CONVERT 1ST FL (E) LIVING SPACE INTO (N) UNIT #2901 25TH ST.	DHARRIS				Mission	Mission (EN)	Mission	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 9	(37.75111467810, -122.40824997100)
APN 1758046	0	BP FILED	03/25/2015	1308 04TH AV			201503251826	3	1	0	0			$12000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/25/2015		LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT A PERMIT. REFERENCE BPA 2006-04-19-9300.  NEW HIGHT EFFICACY KITCHEN LIGHTING, NEW BEDROOM EGRESS WINDOW, NEW BICYCLE PARKING. UNIT LEGALIZATION ORD 43-14.	NKWIATKO				Inner Sunset		Inner Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 5	(37.76407454010, -122.46065808900)
APN 3985024	1	CONSTRUCTION	06/30/2016	131 MISSOURI ST		2013	201306199977	9	9	0	0			$4033416.00	APARTMENTS	0	-4500	0	0	0	0	0	0	0	-4500	0	0	0	0	06/19/2013	(9 units Residential) - Demolish existing warehouse building. Construct new residential building consisting of nine units over parking	TO ERECT 4 STORIES, NO BASEMENT, 9 UNITS RESIDENTIAL RESIDENCE WITH GARAGE.	BBENDIX	Closed	Closed	Closed	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 10	(37.76467976180, -122.39641291600)
APN 4851017	0	BP FILED	11/27/2012	1313 ARMSTRONG AV			201211274877	0	0	0	0			$135500.00	WAREHOUSE, FURNITURE	1355	1355	0	0	0	0	0	0	1355	1355	0	0	0	0	11/27/2012		TO ERECT ONE STORY PRODUCT PACKAGING BUILDING W/ PARKING.	HARRIS D				Bayview	Bayview Hunters Point	South Bayshore	40-X	PDR-2	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	SUPERVISORIAL DISTRICT 10	(37.72307877410, -122.38752570700)
APN 1286024	1	CONSTRUCTION	06/30/2016	1318 COLE ST			201510210391	2	1	0	0			$325000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/21/2015		BELOW GARAGE ADDITION OF A 1 BEDROOM UNIT BEHIND A PARTIALLY BELOW GRADE (E) GARAGE. ELEC AND PLUMB WORK WILL BE PART OF THE SCOPE. THE PROJECT WILL REMOVE APPROX 438 CUBIC YARDS OF SOIL. SPRINKLER WORK UNDER SEPARATE PERMIT.	ALEXANDE				Haight Ashbury		Buena Vista	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 5	(37.76223233930, -122.44894397800)
APN 4275001A	1	BP APPROVED	01/12/2015	1318 HAMPSHIRE ST			201407312605	2	1	0	0			$269760.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/31/2014		REMODEL INTERIOR OF (E) RESIDENTIAL BUILDING, INCLUDING KITCHENS & BATHS. ADD (1) RESIDENTIAL UNIT WITHIN (E) ENVELOPE AT GROUND LEVEL.	EOROPEZA				Mission	Mission (EN)	Mission	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.75099660580, -122.40734378200)
APN 2652010	1	PL APPROVED	07/10/2014	132 CORBETT AV		2014		2	1	0	0			$700000.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/03/2014	Variance request to create a second dwelling unit within the rear yard requirement.		TCHANG	Closed	Closed	Closed	Castro/Upper Market		Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.76186080580, -122.44127466500)
APN 0499002D	0	PL FILED	01/12/2016	1320 - 1380 LOMBARD ST		2015-001435PRJ		124	18	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/12/2016	"The proposed project will add 16 new studios and 2 one-bedroom units within the existing, underutilized ground floor space of the three-building complex.  The area of alteration is currently used for storage.



The PPA was submitted on 2/5/2015 and the"		ERUSSELL	ENV ON HOLD	ENV ON HOLD	ENV ON HOLD	Russian Hill	Van Ness Corridor	Northeast	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 2	(37.80176300010, -122.42372989400)
APN 1774006	0	BP FILED	09/18/2014	1321 19TH AV			201409186681	2	1	0	0			$35000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/18/2014		REPAIR RELOCATE (E) LAUNDRY FIXTURES TO GARAGE. CONVERT (E) LAUNDRY TO KITCHEN AND CONVERT G/F TO LEGL DWELLING UNIT UNDER ORDINANCE NO.43-14	NKWIATKO				Outer Sunset		Outer Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 4	(37.76306107040, -122.47746598800)
APN 4218036	1	BP ISSUED	03/17/2016	1321 DE HARO ST		2008	200804038738	3	2	0	0			$900000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2008	"Dish existin 1200 sqft residence with no off-street parking and construct 3-unit 3100 sqft with 3 off-street parking spaces.
Rear Yard Variance
"	"ERECT NEW 3-STORY, 2-FAMILY DWELLING UNITS

* This project has been extensively revised to be only a 2-FAMILY RESIDENCE (R3, NOT R2). MJ 3/10/14"	DSANCHEZ	Closed	Closed	Closed	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 10	(37.75313631650, -122.40017151400)
APN 1801040	1	BP ISSUED	05/07/2014	1322 47TH AV			201104113839	2	1	0	0			$79776.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/11/2011		TO COMPLETE WORK AND OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA#2000/11/17/5117. ADDITIONAL DWELLING UNIT WAS PREVISOULY APPROVED ON  PA#2000/11/07/5117. CONVERTING EXISTING BASEMENT LEVEL #1 INTO 2ND UNIT.	APUTRA				Outer Sunset		Outer Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 4	(37.76183646050, -122.50677280500)
APN 6942054	1	CONSTRUCTION	03/15/2016	1325 OCEAN AV			201301087514	2	1	0	0			$600000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/08/2013		EXTEND (E) GROUND & 2ND FLOOR TO THE REAR PER PLAN (REAR ADDITION). (N) 1 STORY VERTICAL ADDITION OVER (E) 2-STORY BUILDING TO ADD 1 (N) RESIDENTIAL UNIT.	TRANNANC				Ocean View	Balboa Park	Ingleside	45-X	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 7	(37.72369602620, -122.45665818200)
APN 0024020	0	BP FILED	05/17/2016	1327 COLUMBUS AV		2015-006614PRJ	201605177611	1	1	0	0			$1100000.00	1 FAMILY DWELLING	1592	-594	0	0	0	0	0	-884	0	0	1592	290	0	0	05/17/2016		"TO CONSTRUCT 4 STORIES, NO BASEMENT, SINGLE RESIDENTIAL & RETAIL COMMERCIAL BUILDING.
** MAHER: N/A **"	APERRY	Application Accepted	Application Accepted	Application Accepted	Russian Hill	Fisherman's Wharf; Northeast Waterfront	Northeast	40-X	C-2	COMMUNITY BUSINESS	SUPERVISORIAL DISTRICT 2	(37.80634753450, -122.41932571900)
APN 4275003	1	CONSTRUCTION	06/29/2016	1330 HAMPSHIRE ST			201504012491	2	1	0	0			$672000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/01/2015		SIDE HORIZONTAL & 2 STORY VERTICAL ADDITION TO TRANSFORM (E) SINGLE FAMILY RESIDENCE TO 2 FAMILY RESIDENCE. RENOVATE (E) UNIT TO EXPAND DOWN FOR MASTER SUITE AREA. FACADE RENOVATION, NEW SHARED ENTRY SPACE & NEW PARKING SPACE.	DISALVOJ				Mission	Mission (EN)	Mission	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.75085708830, -122.40737384200)
APN 4262020A	1	BP FILED	07/13/2015	1331 SAN BRUNO AV		2015-006342PRJ	201507131253	2	1	0	0			$600000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/13/2015		HORIZONTAL & VERTICAL ADDITION. REPLACE FOUNDATION, BRING FRONT & REAR FACADES LEVEL, MORE FRONT STEPS. CHANGE WINDOWS & DOORS. ADD 3RD STORY @ BACK AT THE HOUSE. ADD DECKS IN BACK 2ND STORY & FRONT 3RD STORY. ADD BATHROOM 3RD STORY.	JIMENEZS	Closed	Closed	Closed	Mission	Showplace Square/Potrero Hill (EN)	Mission	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.75267377400, -122.40400842300)
APN 0215023	0	PL FILED	06/30/2016	1331 WASHINGTON ST		2016-004976PRJ		4	1	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/30/2016	Proposed addition of (N) dwelling unit to (E) 3-unit building. Horizontal & vertical expansion. Addition of (N) 4-car garage. Full interior renovation. Current staircase will be rebuilt.						Nob Hill		Northeast	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 3	(37.79386950470, -122.41530254700)
APN 1797006	1	BP ISSUED	05/09/2016	1333 42ND AV			201505085803	3	1	0	0			$16000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/08/2015		(N) KITCHEN ON 1ST FL & CONVERT (E) PLAYROOM TO BEDROOM TO LEGALIZE IN-LAW DWELLING UNIT UNDER ORD #43-14. SPRINKLERS TO NFPA 13 UNDER SEPARATE PERMIT.	NKWIATKO				Outer Sunset		Outer Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 4	(37.76177165540, -122.50205153100)
APN 0697037	0	PL FILED	11/13/2013	1333 GOUGH ST / 1481 POST ST		2005		231	231	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/15/2005	The project is the construction of a 30-story 231-unit residential tower in addition to the existing 14-story residential building on the block, and consolidation of all residential parking for both buildings in a new below-ground parking structure for 4		RCOOPER	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Western Addition	Japantown	Western Addition	240-E	RM-4	RESIDENTIAL- MIXED, HIGH DENSITY	SUPERVISORIAL DISTRICT 5	(37.78573381010, -122.42560544300)
APN 1760009	0	BP FILED	05/06/2015	1335 05TH AV			201505065520	3	1	0	0			$10000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/06/2015		LEGALIZE ADDITION UNIT ON 1ST FL PER PLAN (1-BEDROOM, LIVING ROOM, BATHROOM). UNIT LEGALIZATION PER ORIDINANCE 43-14.	NKWIATKO				Inner Sunset		Inner Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 5	(37.76352069500, -122.46231087200)
APN 3519063	0	BP FILED	06/26/2014	1335 FOLSOM ST		2013	201406269542	65	65	0	0			$6000000.00	APARTMENTS	663	-5037	0	0	0	0	0	0	0	-5700	663	663	0	0	09/10/2013	The proposed project would involve demolition of an existing one-story commercial building (constructed in 1923) and construction of a new seven-story, residential building of approximately 65' in height.  The proposed building shall consist of seven res	TO ERECT 7 STORIES, NO BASEMENT, 67 DWELLING UNITS RESIDENTIAL BUILDING. MAHER COMPLIANCE WITH ORDINANCE 155-13 REQUIRED. INTERIM CONTROLS.	RSUCRE	DRP PENDING	DRP PENDING	DRP PENDING	South of Market	Western SoMa (EN); South of Market	South of Market	65-X	NCT	FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 6	(37.77318439180, -122.41191612300)
APN 0645003	0	PL FILED	07/23/2014	1335 LARKIN ST		2013	201403100361	20	20	0	0			$6350000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/10/2014	Preserve facade of know Historic Resource and construct 5 stories of residential over parking behind Historic facade.	RESERVE EXTERIOR FACADE OF 1 STORY W/ MEZZANINE LEVEL COMMERCIAL GARAGE. NEW CONST WILL RESULT IN A 6 STORY, 65' TALL, APPROX 35,000 GROSS SQFT RESIDENTIAL BLDG WHICH WILL INCLUDE 20 RESIDENTIAL UNITS W/ DECKS, OPEN SPACE, 18 VEHICLE PKG & 10 BICYCLE PKG	LLYNCH	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Nob Hill		Northeast	65-A	NCD	POLK STREET NEIGHBORHOOD COMMERCIAL	SUPERVISORIAL DISTRICT 3	(37.79033011470, -122.41930836400)
APN 0524031	1	BP ISSUED	01/31/2011	1338 FILBERT ST		2009	201009271690	8	4	0	0			$640000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/21/2009	Renovation and remodel of exisitng cottages and construct a new 3-story addition at the rear of the lot.	RENOVATION & REMODEL OF 2 (E) LANDMARK COTTAGES & AN ARTIST'S STUCIO. THIS PERMIT APPLICATION IS TIED TO PA# 2008/10/27/5223 'S'. FOR GARAGE. BLDG A & B FOR THIS PERMIT. (BLDG #1).	TTAM	Closed	Closed	Closed	Russian Hill		Northeast	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 2	(37.80011146190, -122.42150353700)
APN 0480013	0	BP FILED	12/11/2015	1339 FRANCISCO ST			201512114904	3	1	0	0			$50000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/11/2015		LEGALIZE (E) INLAW UNIT @ UNIT ON GROUND FL. UNIT LEGALIZATION PER ORDINANCE 43-14. FIRE SPRINKLER GROUND FLOOR UNDER SEPARATE PERMITS	CLARKECO				Marina		Marina	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 2	(37.80263865560, -122.42718215800)
APN 4274005	0	BP FILED	11/30/2015	1342 YORK ST			201511303726	2	1	0	0			$95000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/30/2015		COMPLY W/ NOV CES 201248561. CONVERT SINGLE FAMILY DWELLING TO 2 UNITS RESIDENTIAL. 2ND FL: MODIFY (E) ROOF @ REAR, ADD (2) SKYLIGHTS; ADD (N) KITCHEN, REMODEL BATH. GROUND FL: INSTALL 1-HOUR RATED SEPARATION BETWEEN (N) UNIT, GROUND FLOOR REAR ADDITION	DISALVOJ				Mission	Mission (EN)	Mission	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 9	(37.75051962260, -122.40824527100)
APN 2402034	0	BP FILED	08/03/2015	1349 TARAVAL ST		2015-010714PRJ	201508033190	3	1	0	0			$200000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/03/2015		HORIZONTAL & VERTICAL EXTENSION TO ENLARGE THE 2 UPPER UNITS & GROUND FLOOR COMMERCIAL AREA AND TO ADD A NEW 4TH FLOOR CONDOMINUMUM UNIT.	GORDON-J	ON HOLD	ON HOLD	ON HOLD	Parkside		Outer Sunset	65-A	NCD	TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT	SUPERVISORIAL DISTRICT 4	(37.74257986060, -122.48075357000)
APN 0346002	0	PL FILED	12/31/2015	135 HYDE ST		2015-015203PRJ		51	51	0	0			$0.00		1060	1060	0	0	0	0	0	0	0	0	1060	1060	0	0	12/31/2015	"CONVERSION OF EXISTING AUTO REPAIR SHOP TO RESIDENTIAL AND COMMERCIAL SPACE AT FIRST FLOOR, CREATION OF BASEMENT SPACE, AND VERTICAL ADDITION OF 6 STORIES CONTAINING EFFICIENCY UNITS.

The PPA was submitted on 11/13/15 and the 90 day deadline is 2/11/1"		VBYRD	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Downtown/Civic Center	Downtown	Downtown	80-X	C-3-G	DOWNTOWN- GENERAL	SUPERVISORIAL DISTRICT 6	(37.78214756930, -122.41596571000)
APN 3794022	1	BP FILED	01/08/2016	135 TOWNSEND ST		2014	201601086717	0	0	0	0			$800000.00	OFFICE	51390	-485	0	0	0	0	49995	49995	0	0	1395	-50480	0	0	08/26/2014	The proposed project would result in the conversion of a current five-story self storage building to a mixed-use building with 960 sqaure-feet of retail, 58 biclycle parking spaces, and 50,710 square-feet of office space.	CHANGE OF USE TO OFFICE OCCUPANCY AND EXTERIOR IMPROVEMENT. WORK INCLUDES INSTALLATION OF NEW G/F STOREFRONT, REH OF THE UPPER FLOOR WINDOWS, A NEW ROOF DECK AND NEW ELEVATOR/STAIRS PENTHOUSE, INTERIOR WORK UNDER PA# 2015/10/16/9929. ** MAHER: N/A **	RSUCRE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	East SoMa (EN)	South of Market	105-F	MUO	MIXED USE-OFFICE	SUPERVISORIAL DISTRICT 6	(37.77980880240, -122.39100191300)
APN 0212031	1	BP ISSUED	11/19/2015	135 WETMORE ST			201306038460	5	5	0	0			$2085383.00	APARTMENTS	4000	2000	0	0	0	0	4000	2000	0	0	0	0	0	0	06/03/2013		"TO ERECT 4 STORIES OVER BASEMENT & FOUR DWELLING UNITS
"	EWATTY				Nob Hill		Northeast	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 3	(37.79419989050, -122.41064823700)
APN 0250008	0	PL FILED	03/01/2016	1372 PINE ST		2016-002770PRJ		30	3	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/01/2016	Addition of three dwelling units to an existing apartment building with 27 existing units.		SJIMENEZ	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Nob Hill		Northeast	65-A	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	SUPERVISORIAL DISTRICT 3	(37.79017462940, -122.41839770300)
APN 4811011	1	BP FILED	07/03/2014	1350 VAN DYKE AV		2015-000959PRJ	201407030434	0	0	0	0			$500000.00	OFFICE	28142	14649	0	0	0	0	0	0	28142	14649	0	0	0	0	07/03/2014	REMODEL TENANT SUITE INCLUDING DEMOLISTION & CONSTRUCTION CONVERT (E) GROUND FLOOR FROM STORAGE TO PARKING GARAGE CONSTRUCT 2ND FLOOR FOR STORAGE, AN CONSTRUCT NEW 3RD FLOOR VERTICAL ADDITON FOR STORAGE AND OFFICE. NEW STAIR & ELEVATOR. MEHER-COMPLIANCE	REMODEL TENANT SUITE INCLUDING DEMOLISTION & CONSTRUCTION CONVERT (E) GROUND FLOOR FROM STORAGE TO PARKING GARAGE CONSTRUCT 2ND FLOOR FOR STORAGE, AN CONSTRUCT NEW 3RD FLOOR VERTICAL ADDITON FOR STORAGE AND OFFICE. NEW STAIR & ELEVATOR. MEHER-COMPLIANCE	JSPEIRS	Closed	Closed	Closed	Bayview	Bayview Hunters Point	South Bayshore	40-X	PDR-2	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	SUPERVISORIAL DISTRICT 10	(37.72663143970, -122.38741730300)
APN 8719002	1	CONSTRUCTION	01/14/2015	1351 03RD ST			201110066246	0	0	0	0			$164000000.00	OFFICE	264000	264000	0	0	0	0	264000	264000	0	0	0	0	0	0	10/06/2011		ERECT 6 STORIES BUILDING OF POLICE HEADQUARTERS, FIRE STATION.	PARCE				South of Market		South of Market	OS	MB-OS	MISSION BAY OPEN SPACE	SUPERVISORIAL DISTRICT 6	(37.77471558290, -122.38878744000)
APN 4788020A	0	BP FILED	12/15/2015	1351 REVERE AV			201512155196	3	1	0	0			$1.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/15/2015		REVISE APPLN #201507010461 LEGALIZE (E) KITCHEN ON THE ROUND FL TO LEGALIZE ILLEGAL UNITS PER PLAN. COMPLY W/ NOV #201553041, #201569651, #201553052 PER ORD 43-14.	SAMONSKY				Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.72884117780, -122.38571764500)
APN 1781033	0	BP FILED	04/22/2015	1354 27TH AV			201504224304	2	1	0	0			$35000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2015		LEGALIZE 1ST FLOOR UNIT PER ZONING PERMITTED. RENOVATION: 1ST FLOOR - ENTRANCE DOOR & KITCHEN RELOCATION.  2ND FLOOR:  FILL LIGHTWELL, ADD FULL BATH. REBUILD REAR STAIR.	TKENNEDY				Outer Sunset		Outer Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 4	(37.76216341720, -122.48529817600)
APN 0187036	1	BP FILED	08/06/2015	1355 JACKSON ST		2015-010888PRJ	201508063611	3	1	0	0			$13100.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/06/2015		LEGALIZE EXISTING MANAGER UNIT PER SF ORDINANCE #43-14, BRING INTO COMPLIANCE PER EQUIVALENCIES ALLOWED UNDER ORDINANCE, PROVIDE 1 HOUR RATED PARTITION AT EXTERIOR WALLS LESS THAN 5' FROM PROPERTY LINE & AT CEILING, ADD R-13 INSULATION @ EXTERIOR WALLS &	JIMENEZS	Closed	Closed	Closed	Nob Hill		Northeast	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 3	(37.79439413080, -122.41718901200)
APN 0516028A	1	CONSTRUCTION	01/29/2013	136 PIXLEY ST		2011	201009080449	4	4	0	0			$790175.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/08/2010		TO ERECT 4 STORIES, 2 UNITS CONDOMINIUM BUILDING.(REAR BUILDING)	GCABRERO	Closed	Closed	Closed	Marina		Marina	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 2	(37.79882591780, -122.43480319800)
APN 3775063	1	BP ISSUED	06/19/2015	136 SOUTH PARK ST		2005	200504281137	1	1	0	0			$1308800.00	1 FAMILY DWELLING	3861	2431	0	0	0	0	3861	3861	0	-1430	0	0	0	0	04/28/2005	Demolition of one-story light industrial building and construction of 3-story building--two floors of commercial space with residential unit above.	ERECT 3-STORY WITH 1 BASEMENT BUILDING. COMMERCIAL SPACE @ GROUND FLOOR WITH MEZZANINE ABOVE; OFFICE/STORAGE @ 2ND FLOOR; AND SINGLE FAMILY DWELLING UNIT @ 3RD FLOOR.	WHASTIE	Closed	Closed	Closed	South of Market	Central SoMa; East SoMa (EN); South of Market	South of Market	40-X	SPD	SOMA- SOUTH PARK	SUPERVISORIAL DISTRICT 6	(37.78149976180, -122.39467508700)
APN 0155020	1	BP APPROVED	06/29/2016	1364 PACIFIC AV			201408123674	1	1	0	0			$953600.00	1 FAMILY DWELLING	0	-168	0	0	0	0	0	0	0	0	0	-168	0	0	08/12/2014		TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY RESIDENTIAL & BUSINESS.	NFOSTER				Nob Hill		Northeast	40-X	NCD	PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL	SUPERVISORIAL DISTRICT 3	(37.79569077050, -122.41769908500)
APN 1763027	1	BP ISSUED	01/08/2016	1366 09TH AV			201504032736	2	1	0	0			$22200.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/03/2015		"LEGALIZE (E) UNIT & KITCHEN PER ORD-43-14. ADD TWO LAYERS OF TYPE ""X"" GYPSUM BOARD TO CEILING BELOW UNIT."	NKWIATKO				Inner Sunset		Inner Sunset	40-X	NCD	INNER SUNSET NEIGHBORHOOD COMMERCIAL	SUPERVISORIAL DISTRICT 5	(37.76281324140, -122.46589598700)
APN 1784001O	0	BP FILED	04/18/2016	1369 29TH AV		2016-005322PRJ	201604185001	2	1	0	0			$5000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/18/2016		LEGALIZATION OF DWELLING UNIT @ GROUND FLOOR PER ORDINANCE# 43-14. 2 BEDROOMS & 2 BATHS.	GORDON-J	Withdrawn	Withdrawn	Withdrawn	Outer Sunset		Outer Sunset	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 4	(37.76178616830, -122.48807654700)
APN 1194006	0	BP FILED	06/01/2016	137 CLAYTON ST		2015-018150PRJ	201606018887	3	2	0	0			$1000000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2015	Proposed demolition of (E) SFH to construct (N) 3-family dwelling. Excavation for (N) basement/storage.	CONSTRUCT NEW 4-STORY, 1 BASEMENT, 3-FAMILY DWELLING UNIT.	CMAY	Application Accepted	Application Accepted	Application Accepted	Haight Ashbury		Western Addition	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 5	(37.77388681390, -122.44971766900)
APN 0155021	1	BP APPROVED	06/10/2016	1370 PACIFIC AV		2013	201408123679	1	1	0	0			$851200.00	1 FAMILY DWELLING	0	252	0	0	0	0	0	0	0	0	0	252	0	0	08/12/2014	Demo existing structure and construct new mixed-use, commercial/residential building with parking.	ERECT 4-STORY, 1 BASEMENT, SINGLE FAMILY DWELLING UNIT BUILDING.	NFOSTER	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Nob Hill		Northeast	40-X	NCD	PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL	SUPERVISORIAL DISTRICT 3	(37.79568260090, -122.41776315400)
APN 5237013	1	BP ISSUED	10/05/2015	1375 EVANS AV			201309308119	1	1	0	0			$1090000.00	WORKSHOP COMMERCIAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/30/2013		ERECT 2-STORY, TYPE 5, WORKSHOP COMMERCIAL AND 1 DWELLING UNIT BUILDING. N/A FOR MAHER ORDINANCE NO. 155-13.	JSPEIRS				Bayview	Bayview Hunters Point	South Bayshore	40-X	PDR-2	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	SUPERVISORIAL DISTRICT 10	(37.74040827400, -122.38445161100)
