APN	BESTSTAT	BESTDATE	NAMEADDR	Alias	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	PLN_CASENO	BP_APPLNO	PROPUSE	COST	BP_DESC	PLN_DESC	PROJECT_TYPE	ENTITLEMENT	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPHONE	FirstFiled	PLANNER	PLAN_AREA	PUBLICREALM	STATUS	PLAN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	ZONING	HEIGHT_DISTRICT	NEIGHBORHOOD	Location
APN 6935001	PL FILED	12/11/2013	1601 - 1635 OCEAN AV		31	31	4	4			2009			$0.00		The proposed project would demolish five commercial buildings and construct a new four-story building containing 48 dwelling units, 8,114 square-feet of retail space, and 48 off-street parking spaces. PROJECT REVISED 5//13: 1649 Ocean Avenue (parcel 027)	Mixres	0	33275	15454	15082	15082	0	0	0	0	0	0	18193	372	0	0				11/05/2009	MBOUDREA	Balboa Park; BP: Ocean Avenue Commercial District; Ocean Avenue Corridor Design	Y	Adopted	Ingleside	SUPERVISORIAL DISTRICT 7	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-OCEAN	45-X	Ocean View	(37.72429779210, -122.45937730700)
APN 3505001	PL FILED	07/10/2015	1601 - 1637 MARKET ST / 53 COLTON ST	LOCAL 38 PLUMBERS UNION HALL SITE	584	584	107	107			2015-005848PRJ			$0.00		"The proposed project is redevelopment of site for a mixed-use, mixed-income project, including a supportive affordable housing building. New units include 107 affordable, supportive housing efficiency units. ""Other"" use is the Local 38 Plumbers Union hal"	Mixres	0	36571	36571	0	0	0	0	27296	27296	0	0	9275	9275	0	0				07/10/2015	VBYRD	Market and Octavia; Market Octavia Living Alleys		Adopted	Mission	SUPERVISORIAL DISTRICT 6	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	Mixed Use	NCT-3	85-X	South of Market	"Y
(37.77389146360, -122.42002993000)"
APN 4006006	BP ISSUED	09/12/2016	1601 - 1677 MARIPOSA ST / 485 CAROLINA (BLDG 1 OF 2)	1601 MARIPOSA ST	145	145	60	60	On-site BMR Project	Rental	2012	201603031058	APARTMENTS	$40000000.00	"TO ERECT 4 STORIES, NO BASEMENT, 145 UNITS RESIDENTIAL & COMMERCIAL BUILDING.
** MAHER: EXEMPTED; SEE APPROVAL LETTER FROM DPH ON THE PLANS **"	The proposed project would involve demolition of an existing 1-story industrial buildings and  bus repair shop and the construction of a new mixed-use project with 316 dwelling-units, 8,823 sf ft. of commercial space, and 261 off-street parking spaces.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/02/2012	CTOWNES	Eastern Neighborhoods w/Valencia; Showplace Square/Potrero Hill (EN); Eastern Neighborhoods (Complete)			South of Market	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	UMU	40-X	Potrero Hill	(37.76323623990, -122.39976097500)
APN 4005001B	BP ISSUED	09/19/2016	1601 - 1677 MARIPOSA ST / 485 CAROLINA (BLDG 2 OF 2)	210 ARKANSAS ST	154	154	0	0			2012	201603010904	APARTMENTS	$50000000.00	"TO ERECT 4 STORIES, 1 BASEMENT, TYPE VA & IA, 154 UNITS RESIDENTIAL WITH COMMERCIAL & PARKING.
"	The proposed project would involve demolition of an existing 1-story industrial buildings and  bus repair shop and the construction of a new mixed-use project with 316 dwelling-units, 8,823 sf ft. of commercial space, and 261 off-street parking spaces.	Mixres	1	9555	-65141	0	0	0	0	0	-8000	3962	-62734	5593	5593	0	0				11/02/2012	CTOWNES	Eastern Neighborhoods w/Valencia; Showplace Square/Potrero Hill (EN); Eastern Neighborhoods (Complete)			South of Market	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	UMU	40-X	Potrero Hill	(37.76293307320, -122.39899152900)
APN 1156013	BP FILED	01/26/2015	1660 MCALLISTER ST		0	0	0	0			2015-001323PRJ	201501266647	CHURCH	$12000.00	"COMPLETE CHANGE OF USE FROM GARAGE TO CHURCH. COMPLETE WORK IN BATHROOMS & PULPIT AREA. INSTALL NEW LIGHTING / REMODEL PASTERO'S OFFICE & INSTALL BATHROOM.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"		CIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				01/26/2015	SYOUNG				Western Addition	SUPERVISORIAL DISTRICT 5	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Western Addition	(37.77795296110, -122.43937038600)
APN 6554024	CONSTRUCTION	11/03/2016	1601 CASTRO ST		0	0	0	0			2016-001813PRJ	201607263300	OFFICE	$120000.00	CHANGE OF USE FROM RETAIL LAUNDROMAT TO A CONDITIONAL USE AUTHORIZATION BUSINESS OR PROFESSIONAL SERVICE OFFICE.	Change of use from vacant Laundromat to Professional Service Office (Graphic Design) with Accessory Retail on the ground floor.	MIPS	1	1434	0	0	0	0	0	1434	1434	0	0	0	-1434	0	0	Studio 19, Inc.		4152822536	02/09/2016	AHUISMAN				Central	SUPERVISORIAL DISTRICT 8	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Noe Valley	(37.74877184520, -122.43355788700)
APN 5322032	BP FILED	10/16/2015	1631 OAKDALE AV		2	2	0	0			2015-014752PRJ	201510169944	2 FAMILY DWELLING	$400000.00	TO ERECT 4 STORIES, NO BASEMENT, 2 FAMILY DWELLINGS. FULL FIRE SPRINKLER IN BUILDING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/16/2015	DISALVOJ	Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bayview	(37.73495235270, -122.39149387300)
APN 0620006	CONSTRUCTION	09/20/2016	1601 LARKIN ST		27	27	0	0	Fee Payment		2013	200412171712	APARTMENTS	$11200000.00	TO ERECT 5 STORIES, 2 BASEMENT, 27 RESIDENTIAL CONDOMINIUMS.	27 Unit residential building and parking for 32 cars parking. Demolition of existing vacant former church & construction of a 27-unit residential building & prking for 32 cars. This application is filed as part of a settlement of pending litigation betwe	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bruce Baumann	Bruce Baumann	415-397-7416	07/03/2013	KGUY				Northeast	SUPERVISORIAL DISTRICT 3	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	Residential	RM-3	65-A	Nob Hill	(37.79277873080, -122.41976349200)
APN 3514043	BP FILED	12/16/2016	1601 MISSION ST		220	220	0	0	Fee Payment		2014	201612165221	APARTMENTS	$75000000.00	ERECT 12 STORIES OF 220 DWELLING MIX USE TYPE 1 CONSTRUCTION.	Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.	Mixres	1	17236	8378	9900	5471	0	0	0	0	0	0	7336	2907	0	0				07/17/2014	TCHANG	Market and Octavia; Downtown; Market Octavia Living Alleys; Mission Public Life Plan	Y	Adopted	Mission	SUPERVISORIAL DISTRICT 6	C-3-G	DOWNTOWN- GENERAL	Commercial	C-3-G	120-R-2	South of Market	"Y
(37.77204073130, -122.41876324900)"
APN 0666030	BP FILED	09/02/2016	1603 PINE ST		0	0	0	0				201609026723	OFFICE	$200000.00	TI CONSTRUCTION & STOREFRONT RENOVATION. CHANGE OF USE FROM RETAIL TO OFFICE.		MIPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/02/2016		Van Ness Corridor			Western Addition	SUPERVISORIAL DISTRICT 2	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	RC-4	130-V	Western Addition	(37.78905014450, -122.42295560600)
APN 3589026	BP ISSUED	11/23/2009	161 SAN CARLOS ST		3	1	0	0				200902041380	APARTMENTS	$15800.00	CONVERT 2 UNITS BLDG TO 3 UNITS BLDG, REMOVE STAIRCASE JOINING UPSTAIRS AND DOWNSTAIRS, PUT IN KITCHEN IN DOWNSTAIR UNIT, HOOK UPS ALREADY THERE.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				02/04/2009	CTEAGUE	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	Residential	RTO-M	45-X	Mission	"Y
(37.76083113370, -122.41982828200)"
APN 5934026	BP FILED	12/12/2014	161 UNIVERSITY ST		2	1	0	0				201412123685	2 FAMILY DWELLING	$5000.00	LEGALIZE UNIT ON GROUND FLOOR PER ORDINANCE #43-13.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/12/2014	NKWIATKO				South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Excelsior	(37.72796636570, -122.41435223800)
APN 4353008	BP FILED	12/30/2016	1615 INDIANA ST		2	2	0	0				201612306273	2 FAMILY DWELLING	$500000.00	ERECT A 5 STORY TYPE IIA 2 FAMILY DWELLING MIXED USE BUILDING		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/30/2016		Bayview Hunters Point; Dogpatch Public Realm Plan	Y	In Progress	South Bayshore	SUPERVISORIAL DISTRICT 10	PDR-2	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	Industrial	PDR-2	80-E	Bayview	(37.74983032970, -122.38944485300)
APN 5322047	BP FILED	03/07/2016	1615 OAKDALE AV		3	1	0	0			2016-003897PRJ	201603071401	APARTMENTS	$50000.00	LEGALIZATION OF IN-LAW UNIT PER ORD 43-14 PROVIDE GAS & ELE METERS.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/07/2016	ALEXANDE	Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bayview	(37.73483271570, -122.39128274900)
APN 5556019	CONSTRUCTION	05/21/2014	162 BREWSTER ST		1	1	0	0				200607106046	1 FAMILY DWELLING	$520000.00	TO ERECT A NEW 2-STORY, SINGLE FAMILY DWELLING UNIT BUILDING.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				07/10/2006	EOROPEZA				Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Bernal Heights	(37.74410348790, -122.40739959600)
APN 2754052	BP REINSTATED	06/01/2016	162 GRAND VIEW AV		2	2	0	0				201410229565	1 FAMILY DWELLING	$970000.00	(FRONT BUILDING) TO ERECT 3 STORIES OF 1 FAMILY DWELLING. SHORING, EXCAVATION AND FOUNDATION ARE UNDER SEPARATE PERMIT.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/22/2014	CHANG TI				Central	SUPERVISORIAL DISTRICT 8	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Noe Valley	(37.75550535140, -122.44061512700)
APN 0495001C	BP FILED	08/04/2016	1631 CHESTNUT ST		16	1	0	0			2016-011226PRJ	201608044194	APARTMENTS	$137500.00	REMODEL (E) REAR PORTION OF GROUND FLOOR TO CREATE NEW 2 BEDROOM ONE BATH DWELLING UNIT.  REF PA (SOFT STORY) 201508033119	REMODEL (E) REAR PORTION OF GROUND FLOOR TO CREATE NEW 2 BEDROOM ONE BATH DWELLING UNIT. REF PA (SOFT STORY) 201508033119	Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Jace Architecture		4154400920	08/04/2016	KCONNER				Marina	SUPERVISORIAL DISTRICT 2	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Marina	(37.80136665580, -122.43012424900)
APN 5526005	BP FILED	12/22/2015	1634 ALABAMA ST		2	1	0	0			2016-000318PRJ	201512225679	1 FAMILY DWELLING	$94000.00	1ST FL. REMODEL STORAGE AREA BEHIND GARAGE & ADD 12'X25' 1 STORY ADDITION W/ROOF DECK @ REAR YARD. REMODEL & ADDITION TO INCLUDE 2 BEDROOMS, BATH, MULTIPURPROSE RM, 2ND FL-EXPAND BATHROOM INTO SOUTH LIGHTWELL, INSTALL (N) DOORS @ (N) REAR DECK.	1ST FL. REMODEL STORAGE AREA BEHIND GARAGE & ADD 12'X25' 1 STORY ADDITION W/ROOF DECK @ REAR YARD. REMODEL & ADDITION TO INCLUDE 2 BEDROOMS, BATH, MULTIPURPROSE RM, 2ND FL-EXPAND BATHROOM INTO SOUTH LIGHTWELL, INSTALL (N) DOORS @ (N) REAR DECK.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		NACHURY MAXENCE V		12/22/2015	SJIMENEZ				Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bernal Heights	(37.74627100980, -122.41089103500)
APN 5526006	BP FILED	09/07/2016	1640 ALABAMA ST		2	1	0	0				201609077009	2 FAMILY DWELLING	$50000.00	REAR BLDG. ADDING (1) ACCESSORY DWELLING UNIT PURSUANT TO ORDINANCE 30-15 IN CONJUNCTION W/PREVIOUSLY APPROVED VOLUNTARY SEISMIC UPGRADE (REF, PERMIT #201609077013) (N) UNIT DOES NOT EXTEND BEYOND (E) BUILDING ENVELOPE. SPRINKLER UNDER SEP PERMIT.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/07/2016					Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bernal Heights	(37.74620255010, -122.41088444200)
APN 1895034	BP FILED	10/06/2015	1642 GREAT HY		1	1	0	0				201510068917	1 FAMILY DWELLING	$18000.00	NEW REAR BUILDING. TO LEGALIZE AN (E) FREE STANDING STRUCTURE TO WHICH A VARIANCE HAS BEEN ALREADY GRANTED.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/06/2015	TKENNEDY	Western Shoreline			Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Outer Sunset	(37.75576577250, -122.50849253300)
APN 1933008	BP FILED	04/02/2015	1649 10TH AV		3	1	0	0				201504022622	APARTMENTS	$25000.00	LEGALIZATION OF 3RD FLOOR SPACE (EXISTING PERMITED) TO A ONE BEDROOM, ONE BATH UNIT. PLANT ONE STREET TREE. INSTALL SPRINKLER SYSTEM ON ALL 3 FLOORS & DECKS (WILL FILE SEPARATELY FOR SPRINKLERS).		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/02/2015	NKWIATKO				Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Inner Sunset	(37.75755975620, -122.46726311200)
APN 5543009	BP FILED	10/26/2015	1649 TREAT AV		1	1	0	0				201510260778	1 FAMILY DWELLING	$950000.00	REAR BUILDING. TO ERECT 2 STOIRES, 1 BASEMENT, SINGLE FAMILY DWELLING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/26/2015	MPUTRA				Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bernal Heights	(37.74443225600, -122.41225365800)
APN 5926021	CONSTRUCTION	01/05/2016	165 - 167 BRUSSELS ST		2	2	0	0			2007	200807176988	1 FAMILY DWELLING	$796000.00	ERECT A 3 STORIES SINGLE FAMILY DWELLING.	Demolish existing dwelling unit located on lots 21 & 22, then build 2 separate dwelling units, one on each lot.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				07/17/2008	BFU				South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Excelsior	(37.73003306690, -122.40646287500)
APN 3512008	PL APPROVED	11/03/2016	1650 Mission Street, Suite 101A		0	0	0	0			2016-011198PRJ			$0.00		Change of use from vacant Limited Restaurant to a Public Office Use (MOEWD Satellite Small Business Services).	CIE	1	976	0	976	976	0	0	0	0	0	0	0	-976	0	0	City and County of San Francisco, R		4155549876	08/30/2016		Market and Octavia; Market Octavia Living Alleys; Mission Public Life Plan	Y	Adopted	Mission	SUPERVISORIAL DISTRICT 6	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	Mixed Use	NCT-3	85-X	South of Market	"Y
(37.77177764750, -122.41974152000)"
APN 1934029	BP FILED	06/10/2016	1658 10TH AV		3	1	0	0			2016-008581PRJ	201606109695	APARTMENTS	$20000.00	LEGALIZE (E) ILLEGAL UNIT IN (E) 2 UNIT BUILDING. LEGALIZE (E) KITCHEN UNDER ORD #43-14.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/10/2016	CAMPBELL				Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Inner Sunset	(37.75731445740, -122.46658681800)
APN 2721075	BP APPROVED	12/01/2016	166 PALO ALTO AV		2	1	0	0			2015-012079PRJ	201508275422	2 FAMILY DWELLING	$50000.00	"LEGALIZE (E) UNIT ON LOWER LEVEL (418 SQFT). TWO NEW 24"" BOX TREE TO BE ADDED WITH IN THE PUBLIC RIGHT-OF-WAY. TWO NEW 2'-0""X6'-0"" AREA TO BE DEVOTED TO BICYCLE PARKING. PER UNIT LEGALIZATION ORDINANCE 43-14.
"		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				08/27/2015	JIMENEZS				Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	Residential	RH-1(D)	40-X	Twin Peaks	(37.75700476160, -122.44980670300)
APN 0128C028	PL APPROVED	06/02/2016	1750 TAYLOR ST		1	-1	0	0			2015-007396PRJ			$0.00			Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/11/2015					Northeast	SUPERVISORIAL DISTRICT 3	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	Residential	RM-2	40-X	Russian Hill	(37.79872004170, -122.41303175700)
APN 5253028	BP ISSUED	10/06/2016	1665 GALVEZ AV		0	0	0	0				201511182941	WAREHOUSE,NO FRNITUR	$168000.00	"TO ERECT 1 STORY, NO BASEMENT, WAREHOUSE/STORAGE BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"		PDR	1	2200	2200	0	0	0	0	0	0	2200	2200	0	0	0	0				11/18/2015	WINSLOWD	Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	M-1	LIGHT INDUSTRIAL	Industrial	M-1	65-J	Bayview	(37.74113952900, -122.38907206300)
APN 5909023	BP APPROVED	12/05/2016	167 HARVARD ST		2	1	0	0				201410219535	2 FAMILY DWELLING	$155000.00	"LEGALIZE OF GROUND FLOOR UNIT WITH 2 BEDROOMS, A LIVING ROOM, A KITCHEN AND 2 BATHROOMS AND ONE STUDY PER PLAN. 



"		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/21/2014	NKWIATKO				South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Excelsior	(37.72756082300, -122.42072438600)
APN 7147040	BP FILED	10/28/2016	167 SAGAMORE ST		1	1	0	0				201610281429	1 FAMILY DWELLING	$150000.00	CONSTRUCT (N) (3) STORY SINGLE FAMILY DWELLING UNIT.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/28/2016					Ingleside	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Ocean View	(37.71094760740, -122.45800305500)
APN 5419023	BP FILED	01/11/2016	1670 ARMSTRONG AV		3	3	0	0			2016-000826PRJ	201601116781	APARTMENTS	$750000.00	TO ERECT 4 STORIES OF 3 DWELLING UNIT TYPE 5 CONSTRUCTION.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				01/11/2016	DISALVOJ	Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	M-1	LIGHT INDUSTRIAL	Industrial	M-1	65-J	Bayview	(37.72727260860, -122.39370668800)
APN 3515022	PL FILED	06/21/2016	1675 HOWARD ST		0	0	0	0			2016-005739PRJ			$0.00		"Proposed removal & replacement of (E) first floor windows at Howard Street. Construction of (N) 12'-6"" building on top of (E) parking structure."	Mixed	0	19442	2892	0	0	0	0	6049	3200	0	0	13393	-308	0	0				05/04/2016		Western SoMa (EN); Eastern Neighborhoods (Complete)			Mission	SUPERVISORIAL DISTRICT 6	WMUG	WSOMA MIXED USE-GENERAL	Mixed Use	WMUG	55-X	South of Market	(37.77046175340, -122.41717986000)
APN 1179020	PL FILED	11/15/2016	1677 MCALLISTER ST		2	-1	0	0			2016-014752PRJ			$0.00		Conditional Use Authorization application to permit the removal of a vacant unpermitted studio unit.	Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			4159393435	11/15/2016	SJIMENEZ				Western Addition	SUPERVISORIAL DISTRICT 5	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Western Addition	(37.77735606340, -122.43955703500)
APN 0331011	BP FILED	02/17/2016	168 - 186 EDDY ST	210 - 238 TAYLOR ST	113	113	0	0			2015-001077PRJ	201602179822	APARTMENTS	$46000000.00	ERECT 9 STORY, TYPE 1, ZERO BASEMENT, 113 DWELLING UNIT AND RETAIL BUILDING.		Mixres	0	5297	5297	0	0	0	0	0	0	0	0	5297	5297	0	0				02/17/2016	FOSTER N				Downtown	SUPERVISORIAL DISTRICT 6	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	RC-4	80-T-130-T	Downtown/Civic Center	(37.78465845840, -122.41069584600)
APN 3522074	BP FILED	07/06/2015	1695 FOLSOM ST		4	4	0	0			2015-012878PRJ	201507060742	APARTMENTS	$1700000.00	"TO ERECT 5 STORIES, 1 BASEMENT, 4 UNITS RESIDENTIAL UNITS WITH BAR OR LIMITED RESTAURANT.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				07/06/2015	EJARDINE	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			Mission	SUPERVISORIAL DISTRICT 6	WMUG	WSOMA MIXED USE-GENERAL	Mixed Use	WMUG	55-X	South of Market	(37.76976214440, -122.41525496700)
APN 3504030	BP ISSUED	12/16/2016	1699 MARKET ST	FLAX SITE	160	160	0	0	Fee Payment		2014	201406108024	APARTMENTS	$52500000.00	TO ERECT 9 STORIES, 1 BASEMENT, TYPE IB, 160 RESIDENTIAL, COMMERCIAL & BELOW GRADE PARKING BUILDING.	The proposed project would demolish an existing 60 year old 1 & 2 story industrial/commercial building and surface parking lot and construct a new 9-story residential (162 units) and commercial (3,937 sf) building with 97 below-grade parking spaces.	Mixres	1	7293	-37047	3937	-18233	0	0	0	0	0	0	3356	-18814	0	0				03/28/2014	DVU	Market and Octavia; Market Octavia Living Alleys		Adopted	Mission	SUPERVISORIAL DISTRICT 6	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	Mixed Use	NCT-3	85-X	South of Market	"Y
(37.77233473150, -122.42194349100)"
APN 3509026	BP REINSTATED	01/19/2016	17 GRACE ST		13	13	0	0			2014-002016PRJ	201601126879	APARTMENTS	$2000000.00	ERECT 5 STORIES OF 13 DWELLING UNIT (APARMENT) WITH TYPE 5 CONSTRUCTION. N/A FOR MAHER ORDINANCE NO 155-13.	The proposed project is to construct a five-story, 45-foot tall residential building on two adjacent lots that total 2,840 square feet. The proposed 10,249 gross square foot building would be accessed exclusively off Grace Street that includes thirteen d	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/24/2014	DISALVOJ	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			Downtown	SUPERVISORIAL DISTRICT 6	RED-MX	RESIDENTIAL ENCLAVE-MIXED	Mixed Use	RED-MX	45-X	South of Market	(37.77515717630, -122.41456501900)
APN 7044A018	CONSTRUCTION	11/01/2016	17 OTTAWA AV		2	1	0	0			2016-000539PRJ	201601076555	2 FAMILY DWELLING	$70000.00	LEGALIZE BASEMENT UNIT PER ORDINANCE# 43-14 - A BEDROOM, 1 STUDY ROOM, 1 BATHROOM 1 KITCHEN		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				01/07/2016	JIMENEZS				South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Outer Mission	(37.71382272340, -122.44431195000)
APN 5305010	BP FILED	09/24/2010	1734 NEWCOMB AV		2	1	0	0			2010	201009241613	2 FAMILY DWELLING	$45000.00	CREATING AN IN-LAW UNIT. REMOVE (E) BSMT STAIRS&CHIMNEY.REPAIR 2/FL USING MATCHING MATERIAL.REPAIR 3/FL & ROOF DUE TO THE REMOVAL OF CHIMNEY.RELOCATE (E) WATER HEATER&FURNACE IN 1/FL.(E)FACADE FINISH LAP SIDING.REPAIR (E)DECK&ADD (N)BACK STAIR.MOVE 1/FL	Addition of a dwelling unit in the basement of an existing single family residence.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Horace Johnson	Horace Johnson	415-573-8334	06/10/2010	BFU	Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bayview	(37.73687961260, -122.39215624200)
APN 0642036	PL APPROVED	09/26/2016	1700 CALIFORNIA ST		47	5	0	0			2016-000375PRJ	201609288977	OFFICE	$3100000.00	MODIFICATION OF (E) GARAGE PATHWAY & (E) GARAGE INTO OFFICE SPACE. MODIFICATION (2) ELEVATORS. FACADE WORK WINDOWS. REBUILD PATH OF TRAVEL. EXTERIOR PATIO SPACE INCLUDING OVERHEADS/AWNINGS AT EXTERIOR ENTRANCES.	Project proposes to convert garage space into five new dwelling units, and residential amenity space; Merge 12 units into seven units on the 7th, 9th, and 10th floors; Demolish the 1,019 sqft one-story portion of the building at the NW corner of the prop	Mixres	1	92170	5480	0	0	0	0	84628	5651	0	0	7542	-171	0	0	Reuben, Junius & Rose LLP		4155679000	01/08/2016	CMAY	Van Ness Corridor			Marina	SUPERVISORIAL DISTRICT 2	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	RC-4	80-D	Pacific Heights	(37.79049540740, -122.42302740700)
