PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	BP_APPLNO	BP_DESC	PROPUSE	PLN_CASENO	PLN_DESC	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	PLANNER	NEIGHBORHOOD	SOURCE	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	Location
Resident	APN 4591C099	50 JERROLD AV		CONSTRUCTION	01/15/2016	-1	34	34	0	0	200912223673	TO ERECT 5 STORY, 34 RESIDENTIAL UNITS WITH PARKING. NO BASEMENT.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2009					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72765156750, -122.36923961200)
Mixres	APN 1450008	5400 GEARY BL	ALEXANDRIA THEATER	BP ISSUED	06/11/2015	-1	37	37	4	4	200806275522	ERECT  A 4 STORIES, 39 DWELLING UNITS (RESIDENTIAL CONDO/COMM & GARAGE.)		2004.0482	Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be con	2500	-10748	0	0	0	0	0	0	0	0	2500	-10748	0	0	06/01/2004	Patrick Luy	David Silverman	567-9000	MWOODS	Inner Richmond	CASE TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.78110655500, -122.47759248000)
Mixres	APN 0343014	181 TURK ST / 180 JONES ST		BP ISSUED	09/09/2015	-1	37	37	4	4	200608230323	ERECT 8 STORIES OVER BASEMENT RESIDENTIAL, RETAIL & PARKING BUILDING.	APARTMENTS	2005.0267	Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.	3060	3060	0	0	0	0	0	0	0	0	3060	3060	0	0	03/16/2005					Downtown/Civic Center	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	Downtown		80-T-120-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78282592030, -122.41215509400)
Mixres	APN 3532005	1726 - 1730 MISSION ST		PL FILED	07/14/2015	0	36	36	0	0				2014-002026PRJ	Demolition of an existing vacant two (2) story industrial building.  New construction of a six (6) story, 68 ft tall mixed-use building.  Including: ground floor commercial space, an at-grade 29 car parking garage and 36 dwelling units on five (5) storie	900	-14700	0	0	0	0	0	0	0	-15600	900	900	0	0	11/24/2014					Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	68-X	UMU	URBAN MIXED USE	(37.76935930260, -122.42039943000)
Resident	APN 4591C095	401 INNES AV		CONSTRUCTION	12/11/2015	-1	35	35	15	15	200912223671	TO ERECT 5 STORY, 35 RESIDENTIAL UNITS WITH PARKING. (NO BASEMENT)	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2009					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72813472500, -122.36944214900)
Mixres	APN 0619012	1860 VAN NESS AV		CONSTRUCTION	01/13/2016	-1	35	35	0	0	200602215057	TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.	APARTMENTS	2004.089	The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two s	1625	1625	0	0	0	0	0	0	0	0	1625	1625	0	0	12/20/2005	Tuija Catalano	Tuija Catalano	567-9000	JKUGLER	Nob Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast	Van Ness Corridor	80-D	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.79291125530, -122.42241383400)
Mixres	APN 0837003	1 FRANKLIN ST		CONSTRUCTION	01/12/2016	-1	35	35	5	5	200912032516	CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.		2010.0102	Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328	2384	2384	0	0	0	0	0	0	0	0	2384	2384	0	0	12/03/2009	John Ramsbacher	Warner Schmalz	415-252-7063	TFRYE	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 5	Buena Vista	Market and Octavia	85-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	(37.77442891680, -122.42111019300)
Mixres	APN 3644021	1278 - 1298 VALENCIA ST		BP FILED	02/19/2015	0	35	35	0	0	201502198775	ERECT 6-STORY, 35 DWELLING UNITS, TYPE III, RESIDENTIAL & RETAIL BUILDING.	APARTMENTS	2013.1404	The proposed project would replace existing gas station with a six story mixed use residential building.  Provide retail facilities on the ground floor and 35 residential units on the remaining 5 stories above. 33,939sf residential units & 3,737sf retail	3737	-5889	0	0	0	0	0	0	0	-9626	3737	3737	0	0	09/30/2013				DVU	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Mission	Mission (EN)	55-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.75230964160, -122.42097736700)
Resident	APN 5992A060	495 CAMBRIDGE ST		PL FILED	05/15/2014	0	34	34	0	0				2013.1711	The project will be a PUD under Section 304.  The existing vacant Fellowship Academy Day Care Facility will be demolished, and the 200 block of Yale Street will be extended into the site.  The lot will be subdivided into 34 new parcels for single family	0	-23000	0	-23000	0	0	0	0	0	0	0	0	0	0	05/15/2014	Peter Naughton	Bruce Baumann	415 551-7884	CTOWNES	Excelsior	CASE TRACKING	SUPERVISORIAL DISTRICT 9	South Central		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.72571853320, -122.41731963700)
Resident	APN 0670024	1433 BUSH ST		PL FILED	09/22/2015	0	34	34	0	0				2015-009279PRJ	The proposed project is to demolish an existing one-story commercial building containing an automotive rental use and new construction of a 128-foot tall, 10-soty mixed-use building containing 34 dwelling units, 20 residential parking spaces and 1357 squ	1357	-5243	0	0	0	0	0	0	0	0	1357	-5243	0	0	09/22/2015					Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Downtown	Van Ness Corridor	130-V	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78836325390, -122.42084130500)
Resident	APN 2636025	SAN FRANCISCO OVERLOOK	599 CRESTMONT DR	PL APPROVED	03/07/2014	-1	34	34	0	0				2004.0093	The proposed project would involve the construction of 34 dwelling units and 40 off-street parking spaces in four new buildings on an undeveloped site.  The residential buildings would four stories in height, approximately 20 feet in height from grade.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/27/2004					Inner Sunset	CASE TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.75894098850, -122.46078167200)
Mixres	APN 0166003	240 PACIFIC AV		PL FILED	12/10/2015	-1	31	31	0	0	201508134190			2013.1757	The project site consists of three adjacent lots fronting both Battery Street and Pacific Avenue, which total 11,680 sf. The site is currently improved with surface parking lots and a single-story commercial sturcture. The project would demolish the exis	2018	625	0	0	0	0	0	0	0	0	2018	625	0	0	08/27/2014	Andrew Junius	Andrew Junius	567-9000	TCHANG	Financial District	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast	Northeast Waterfront	84-E	C-2	COMMUNITY BUSINESS	(37.79786972610, -122.40045152400)
Resident	APN 3725068	475 MINNA ST		PL FILED	04/02/2015	0	30	30	2	2				2014.1442	Construct a 9-story residential apartment building with 25% open space in rear yard.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/17/2014	Stanton Architecture		4158659600	TCHANG	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Central SoMa / Downtown	120-F	C-3-S	DOWNTOWN SUPPORT	(37.78092254820, -122.40739196400)
Mixres	APN 6568032	3620 CESAR CHAVEZ ST		PL FILED	08/03/2015	0	28	28	0	0				2015-009459PRJ	Demolish Existing 1 story office Building with surface parking.  New Construction of Residential Building.	940	940	0	0	0	0	0	0	0	0	940	940	0	0	08/03/2015					Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Mission	Mission (EN)	65-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.74832286070, -122.42191078500)
Resident	APN 0620006	1601 LARKIN ST		PL APPROVED	11/15/2013	-1	28	28	0	0				2013.089	27 Unit residential building and parking for 32 cars parking. Demolition of existing vacant former church & construction of a 27-unit residential building & prking for 32 cars. This application is filed as part of a settlement of pending litigation betwe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/03/2013	Bruce Baumann	Bruce Baumann	415-397-7416	JKUGLER	Nob Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	(37.79277873080, -122.41976349100)
Mixres	APN 3518020	241 10TH ST		BP FILED	06/15/2015	0	28	28	0	0	201506159021	ERECT 5 STORIES OF 28 DWELLING UNITS. MIX USE BUILDING.	201506159021	2014.0666	The proposed project is to demolish the existing 10,189 square foot car-rental office building and construct a new 5-story, 55-foot tall, 32-dwelling unit, mixed-use building.  The existing building on the subject 9,000 sf lot was constructed in 1921.  T	1813	-8376	0	0	0	0	0	0	0	0	1813	-8376	0	0	05/01/2014				JBANALES	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN) / South of Market	55-X	RCD	REGIONAL COMMERCIAL	(37.77364986310, -122.41343718100)
Resident	APN 3502108	198 VALENCIA ST		BP FILED	08/05/2014	0	28	28	0	0	201408053094	"TO ERECT 5 STORIES, NO BASEMENT, 28 UNITS RESIDENTIAL CONDO AND COMMERCIAL BUILDING.
** MAHER: COMPL"	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/05/2014					Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Mission	Market and Octavia	50-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	(37.77009628350, -122.42268628500)
Resident	APN 4224015	1004 MISSISSIPPI ST		BP APPROVED	01/16/2009	-1	28	28	3	3	200705010141	ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.		2008.0705	Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2007	John Conomos	Bruce Baumann	415-551-7884	AHOLLIST	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.75361946390, -122.39404182300)
Mixres	APN 0334028	519 ELLIS ST		PL FILED	06/25/2015	0	28	28	0	0				2014.0506	Proposed new construction of 8-story building with 28 residential condo units above first floor and two commercial units on first floor.	2541	5082	0	2541	0	0	0	0	0	0	2541	2541	0	0	04/03/2014				TCHANG	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown		80-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78429820310, -122.41500379800)
Resident	APN 0503021	1463 LOMBARD ST		BP FILED	04/22/2014	0	9	7	0	0	201404223881	TO ERECT 4 STORIES  9DWELLING UNITS TYPE 5 .	APARTMENTS	2013.1022		0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2014				MWOODS	Marina	PERMIT TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.80085891050, -122.42549628000)
Mixres	APN 0836011	22 FRANKLIN ST		PL FILED	01/02/2014	0	28	28	0	0	201504093240	TO ERECT 8 STORIES, NO BASEMENT, 28 UNITS RESIDENTIAL & COMMERCIAL BUILDING.	APARTMENTS	2013.1005	Demolish the  existing auto body shop building on the lot 012 and construct a 8-story, 85-foot tall mixed use building. Construct a new building would include 24 dwelling units and 2,120 gross square feet of retail space along Franklin.	4323	4323	0	0	0	0	0	0	0	0	4323	4323	0	0	01/02/2014	Aidin Massoudi	Aidin Massoudi	415-922-0200	CGROB	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 5	Buena Vista	Market and Octavia / Downtown	85-X	C-3-G	DOWNTOWN- GENERAL	(37.77472679970, -122.42060368400)
Resident	APN 0459007	1598 BAY ST		PL FILED	12/17/2015	-1	28	28	0	0	201512235830	ERECT 4 STORIES OF 28 DWELLING UNIT. MIX USE.	APARTMENTS	2014-003157PRJ	To permit the conversion of a former Gas Station that is currently a vacant and underutilized lot into a four story 40' high residential building consisting of 28 units and 42 parking spots.	0	-440	0	0	0	0	0	0	0	0	0	-440	0	0	03/13/2015	Presidio Development Partners	Mark Conroe	415-431-6506	BBENDIX	Marina	CASE TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	(37.80337067070, -122.43305160700)
Mixres	APN 3555018	3140 16TH ST		PL FILED	05/11/2015	0	28	28	0	0				2014.1105	The proposed removal of an exisiting 1926 concrete automotive garage to be replaced with a 5-story mixed-use building (4 levels of housing over 1 level retail).	6715	6715	0	0	0	0	0	0	0	0	6715	6715	0	0	07/10/2014				SMENDRIN	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Mission	Mission (EN)	55-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.76510622610, -122.42289112900)
Resident	APN 3625040	421 ALVARADO ST		BP FILED	02/06/2009	0	2	1	0	0	200902061524	Add a residential unit at the rear of an existing single family residence.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/06/2009					Noe Valley	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.75368098700, -122.43039474600)
Mixres	APN 0832025	300 OCTAVIA ST		PL FILED	05/28/2015	0	24	24	2	2				2014-002330PRJ	The proposed project includes construction of two 5-story, approximately 55-foot-tall building with  a combined 24 residential units over ground floor commercial uses with bicycle parking.	1606	1606	0	0	0	0	0	0	0	0	1606	1606	0	0	02/25/2015		City County of San Francisco Office	554-5395	CGROB	Western Addition	CASE TRACKING	SUPERVISORIAL DISTRICT 5	Western Addition	Market and Octavia		NCT	HAYES NCT	(37.77509955040, -122.42403997100)
Mixres	APN 0337014A	469 EDDY ST		PL FILED	08/28/2014	0	28	28	0	0	201512094600	VERTICAL ADDITION. HISTORIC RESTORATION OF (E) BLDG: CONSTRUCTION OF AN 8 STORY, 80 FT TALL, 47,100 SF MIXED USE RESIDENTIAL-COMMERCIAL BLDG. NEW BLDG WILL INCLUDE 28 UNITS OF DWELLING, APPROX 700 SF OF GROUND FLR COMMERICAL SPACE & PARKING GARAGE FOR 9	APARTMENTS	2014.0562	Save the existing facade and build a new 8-story building with 29 residential units, 2,600 sf of ground floor retail, and 16 below-grade vehicle parking spaces.	2600	-18085	0	0	0	0	0	0	0	-20685	2600	2600	0	0	08/28/2014	Barbara Borgfeldt	Nick Cranmer	415-501-0931	SNGAN	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown		80-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78330386790, -122.41531872200)
Mixres	APN 3575070	600 SOUTH VAN NESS AV		BP ISSUED	11/02/2015	-1	27	27	4	4	201401136108			2013.0614	The proposed project would construct a 5-story mixed use building with residential above retail and private garage.  The project would involve demolition of existing an single story auto motive repair structure. The mixed-use building would contain 27 re	2940	1190	0	0	0	0	0	0	0	-1750	2940	2940	0	0	09/10/2013	Michael Leavitt	Michael Leavitt	415-674-9100	BBENDIX	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	58-X	UMU	URBAN MIXED USE	(37.76331814650, -122.41761693000)
Mixres	APN 0281003	832 SUTTER ST		CONSTRUCTION	10/07/2015	-1	27	27	2	2	201406138386			2007.0392	The proposal is to construct a mixed-use building with no parking on an existing surface parking lot.	1176	1176	0	0	0	0	0	0	0	0	1176	1176	0	0	05/15/2007	Amy Tsai	Amy Tsai	415-567-9000	JBATTIS	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Downtown		80-A	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78880085350, -122.41420385400)
Mixres	APN 0334008	430 EDDY ST		PL FILED	06/25/2015	0	27	27	0	0				2014.04	Proposed new construction of eight story over basement building with 27 residential condo units, and two commercial unit at street level.	797	1594	0	797	0	0	0	0	0	0	797	797	0	0	03/14/2014				CESPIRIT	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown		80-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78393671250, -122.41483388100)
Mixres	APN 3542008	2140 - 2144 MARKET ST		PL FILED	06/23/2015	0	27	27	0	0				2014-002035PRJ	Demolition of an existing one (1) story commercial building at 2140 Market Street including an existing commercial patio.  New construction of a five (5) story residential apartment building with partial basement and commercial space on the ground floor.	1150	-1225	0	0	0	0	0	0	0	0	1150	-1225	0	0	11/24/2014	Forum Design		4152527063	DWASHING	Castro/Upper Market	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista	Market and Octavia	50-X	NCT	UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.76714496220, -122.42993484100)
Mixres	APN 0522002A	2601 VAN NESS AV		PL APPROVED	06/26/2014	-1	26	26	0	0	201406269575			2013.1177	Construct a 7 story, 26 unit building with 3 ground floor commercial and 2 levels subterranean garage with 35 spaces	7100	7100	0	0	0	0	0	0	0	0	7100	7100	0	0	08/28/2013	L. F. Geo	L. F. Geo	415.665.5	GNELSON	Marina	manual	SUPERVISORIAL DISTRICT 2	Marina	Van Ness Corridor	65-A	RC-3	RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY	(37.79966248980, -122.42461667400)
Resident	APN 1055013	726 PRESIDIO AV		BP FILED	11/12/2014	0	7	7	0	0	201411121318	"TO ERECT 4 STORIES, 1 BASEMENT, 7 UNITS MULTI-FAMILY RESIDENT.
** MAHER: COMPLIANCE WITH ORDINANCE N"	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/12/2014					Western Addition	PERMIT TRACKING	SUPERVISORIAL DISTRICT 2	Richmond		40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	(37.78499239770, -122.44593018600)
Mixres	APN 3751033	768 HARRISON ST		PL APPROVED	03/21/2014	-1	26	26	0	0				2013.1872	The proposed project includes the demolition of an existing 2-story building and the construction of a new 9-story building with retail on the 1st floor and the mezzanine and residential uses above. The project would have 26 residential units and no off-	1991	1991	0	0	0	0	0	0	0	0	1991	1991	0	0	08/29/2014	Ian Birchall	John Kevlin	415 567 9000		South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Central SoMa / East SoMa (EN)	85-X	MUO	MIXED USE-OFFICE	(37.78149557470, -122.39910491300)
Resident	APN 3732071	468 CLEMENTINA ST		CONSTRUCTION	10/01/2015	-1	25	25	0	0	200507208144	TO ERECT 4 STORY 12 UNIT DWELLING	APARTMENTS	2005.0424	New construction of two four-story residential buildings on Lot to be subdivided, with 13-unit building fronting Tehama and 12-unit building fronting Clementina (468 Clementina).  Existing building to be demolished.	0	-500	0	0	0	0	0	0	0	-500	0	0	0	0	07/20/2005	Tuija I. Catalano	Tuija I. Catalano	567-9000	RCOOPER	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Central SoMa / East SoMa (EN) / South of Market	45-X	MUR	MIXED USE-RESIDENTIAL	(37.77988676250, -122.40569631200)
Resident	APN 4591C093	201 DONAHUE ST		CONSTRUCTION	02/11/2015	-1	25	25	0	0	200907223200	TO ERECT 3 STORIES, 25 RESIDENTIAL CONDOMINIUM UNITS. (VACANT LOT)	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/22/2009					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72838118430, -122.37019960000)
Mixres	APN 2623006	376 CASTRO ST		BP FILED	05/17/2013	-1	24	24	3	3	201305177243	TO ERECT 6-STORY, 24 UNITS W/ GARAGE, COMMERCIAL & PARKING BUILDING.		2004.0976	Demolition of a gas station and construction of a mixed-use building with 24 dwelling units, appx. 2,800 GSF of ground floor commercial use, and 24 off-street parking spaces.	1900	1900	0	0	0	0	0	0	0	0	1900	1900	0	0	11/10/2005	Bruce  Baumann	Bruce  Baumann	415 551-7884	RCRAWFOR	Castro/Upper Market	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista		65-B	NCD	UPPER MARKET STREET NEIGHBORHOOD COMMERCIAL	(37.76292125260, -122.43550009100)
Resident	APN 3729011	1228 FOLSOM ST		BP FILED	09/25/2015	0	24	24	0	0	201509258131	ERECT 5 STORIES OF 24 DWELLING UNIT. MIX USE COMMERCIAL & RESIDENTIAL.	APARTMENTS	2014.0964		0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/25/2015					South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN) / South of Market	65-X	NCT	FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.77473164950, -122.41080814000)
Resident	APN 3995015	603 TENNESSEE ST		PL FILED	01/05/2016	0	24	24	0	0				2015-011202PRJ	The project will involve demolishing an existing two story storage building and construct a new six story, 24 dwelling, 58 foot tall, multi-family residential building.  The ground floor will include active space (lobby), residential,  20 parking stalls	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/31/2015					Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Central Waterfront (EN)	58-X	UMU	URBAN MIXED USE	(37.76400518480, -122.38951590600)
Mixres	APN 0194009	740 WASHINGTON ST		PL FILED	09/26/2014	0	24	23	18	18				2014.0775	Change of use from 3,317.5 sf residential use over 9,994.5 sf ground floor commercial to 24 units (11,612 sf) of group housing over 1,700 sf of ground floor restuarant use.	1700	-8294	0	0	0	0	0	0	0	0	1700	-8294	0	0	09/26/2014	Alice Barkley	Alice Barkley	415-356-4635		Chinatown	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast	Chinatown	50-N	CVR	CHINATOWN- VISITOR RETAIL	(37.79542614590, -122.40587453900)
Resident	APN 3549064	1450 15TH ST		BP ISSUED	05/29/2015	-1	23	23	3	3	201306280738	TO ERECT 5 STORIES, NO BASEMENT, 23 UNITS RESIDENTIAL & PARKING BUILDING.		2013.0124	"The proposed project would demolish an existing 6,088  sq. vacant industrial building on irregular ""L"" shaped parcel and  construct a new multi-family residential structure with 23 dwelling units. The project would also include 16 off-street parking spac"	0	-6088	0	0	0	0	0	0	0	-6088	0	0	0	0	06/28/2013	Gabriel Ng	Gabriel Ng	415-563-6655	JPURVIS	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	50-X	UMU	URBAN MIXED USE	(37.76709156440, -122.41683342200)
Resident	APN 3525083	222 DORE ST		PL FILED	12/04/2015	0	23	23	0	0				2015-003229PRJ	The proposed project is to demolish the existing front fa├ºade of the building, except the columns, demolish the interior of the building, raise and re-use the roof to a height of 40 feet, and construct 16,648 square feet of residential use and open spac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/04/2015					South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN) / South of Market	40-X	RED	SOUTH OF MARKET RESIDENTIAL ENCLAVE	(37.77158360420, -122.41039483600)
Resident	APN 3753096	233-237 SHIPLEY ST		CONSTRUCTION	10/30/2015	-1	22	22	0	0	201401247066	"TO ERECT 4 STORIES, NO BASEMENT, 22 UNITS MULTI FAMILY RESIDENTIAL BUIDLING.
** MAHER: COMPLIANCE WI"	APARTMENTS	2013.0318	New construction of a 4-story residential building with approximately 22 single occupancy residence.  No automobile parking.  Bicycle parking to be included.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/24/2014				EJACKSON	South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Central SoMa / East SoMa (EN) / South of Market	45-X	MUR	MIXED USE-RESIDENTIAL	(37.77913167060, -122.40344872900)
Mixres	APN 1071003	2670 GEARY BLVD		PL FILED	12/09/2015	0	21	21	3	3				2014-002181PRJ	Construction of a seven story mixed-use building composed of three stories with 21, two-four bedroom residential dwelling units, three stories of office space, one story commercial space and 3 levels of subterranean parking. The proposed building conform	46696	43882	0	0	0	0	35372	35372	0	0	11324	8510	0	0	05/15/2015		Riyad Ghannam	699-3640	JHORNER	Presidio Heights	CASE TRACKING	SUPERVISORIAL DISTRICT 2	Richmond		80-D	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.78285255120, -122.44744249400)
Resident	APN 0512026	2353 - 2347 LOMBARD ST		CONSTRUCTION	12/18/2015	-1	21	21	0	0	201401297354	ERECT A 4 STORY RESIDENTIAL & COMMERCIAL BUILDING.	APARTMENTS	2009.1177		0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/29/2014				SLAI	Marina	PERMIT TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.79907540630, -122.43993003800)
Resident	APN 3995022	595 MARIPOSA ST		PL FILED	05/27/2015	0	20	20	0	0	201508063607			2014.1579	The proposed project is to build upon an existing surface parking lot and construct a 5-story residential building containing 20 residential units with a combination of private and common open space. Then net new construction would be 16,757 square feet.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/14/2014					Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Central Waterfront (EN)	58-X	UMU	URBAN MIXED USE	(37.76414083160, -122.38952840200)
Resident	APN 3639001	2600 HARRISON ST		PL FILED	06/20/2014	0	20	20	0	0				2014.0503	The project proposes a new residential building in place of the existing industrial warehouse building to be demolished.  The new building would be 40 feet tall with ground floor parking and 20 residential units.  A rood deck would be provided with acces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/20/2014	Toby Morris	Edward Morris	415-749-0302	EJARDINE	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	40-X	UMU	URBAN MIXED USE	(37.75537821230, -122.41240639500)
