PROJECT_TYPE	APN	NAMEADDR	PHASE	ALIAS	ENTITLEMENT	BESTSTAT	BESTDATE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	DA	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	PLANNER	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	ZONING_SIM	ZONING_GEN	ZONING_DISTRICT	HEIGHT_DISTRICT	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	PUBLICREALM	STATUS	Location
PDR	APN 3913005	155 DE HARO ST			1	BP FILED	01/15/2015	0	0	0	0				2013	The project site consists of a 40,741 square foot lot (Assessor's Block 3913, Lot 005) bound by De Haro Street to the west, Carolina and Channel Street to the east, 15th Street to the south, and Berry Street to the north.  Currently the lot contains two	201501155886	CHANGE OF OCCUPANCY. LATERAL EXPANSION. ADDITION OF MMEZZANINES. PARKING STRIPING & LANDSCAPING.	$1200000.00	WHOLESALE SALES	32330	15405	0	0	0	0	0	0	32330	15405	0	0	0	0	JSPEIRS	Harvey Hacker	Harvey Hacker	415-957-0579	South of Market	PDR-1-G	Industrial	PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL	58-X	SUPERVISORIAL DISTRICT 10	South of Market	Eastern Neighborhoods w/Valencia; Showplace Square/Potrero Hill (EN); Eastern Neighborhoods (Complete)			(37.76837375000, -122.40144206100)
Resident	APN 6202036	155 TUCKER AV			1	CONSTRUCTION	03/28/2017	1	-2	0	0				2016-003912PRJ	TO COMPLY HIS-201109721-TO REVERT BACK TO THE LAST LEGAL USE. TO REMOVE OF AN EXISTING ILLEGAL UNIT AT THE GROUND FLOOR AND REBUILD AN EXISTING ONE-STORY REAR DECK.	201603111854	TO COMPLY HIS-201109721-TO REVERT BACK TO THE LAST LEGAL USE. AND TO COMPLY HIS-201111441 & 201111442-TO REPAIR CORD WIRING, WASTE AND VENT PIPE. LEGALIZE (E) BATH, BEDROOMS, FAMILY ROOM ON GROUND FLOOR. REMODEL KITCHEN, BATH & LIVING ROOM ON 2ND FLOOR.	$136600.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS	U S BANK NA U S BANK NA	U S BANK NA		Visitacion Valley	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Central	Visitacion Valley			(37.71604335540, -122.40716508500)
Resident	APN 5323016B	1583 OAKDALE AV			0	BP FILED	06/14/2016	2	1	0	0				2016-008128PRJ	LEGALIZE 2ND UNIT PER ORDINANCE# 43-14. ABATE NOV# 201575451. ADDRESS COMPLAINT# 201575401.	201606149976	LEGALIZE 2ND UNIT PER ORDINANCE# 43-14. ABATE NOV# 201575451. ADDRESS COMPLAINT# 201575401.	$5000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMPBELL	CURRY DARLENE CURRY	CURRY DARLENE		Bayview	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.73420711150, -122.39018878400)
Resident	APN 5377070	159 & 161 CHARTER OAK AV			0	PL FILED	03/15/2016	4	4	0	0				2015-009227PRJ	159 and 161 Charter Oak Avenue (5377/070 and 071); Project Review meeting to discuss a merge and subdivide two existing lots for three new single family dwellings.  The purpose of the meeting is to review proposed lot configuration and building massing.	201608044167	ERECT 3 STORY, NO BASEMENT, SINGLE FAMILY DWELLING.	$300000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JBANALES	Gabriel Ng + Architects, Inc.		415-682-8060	Bayview	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.73521357800, -122.40418306300)
Resident	APN 5377071	159 CHARTER OAK AV			0	BP FILED	08/04/2016	3	3	0	0						201608044162	ERECT 3 STORY, NO BASEMENT, SINGLE FAMILY DWELLING.	$300000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJARDINE				Bayview	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.73532481200, -122.40425399900)
Resident	APN 0459007	1598 BAY ST			1	BP ISSUED	10/21/2016	28	28	0	0	Fee Payment			2014-003157PRJ	To permit the conversion of a former Gas Station that is currently a vacant and underutilized lot into a four story 40' high residential building consisting of 28 units and 42 parking spots.	201512235830	"TO ERECT 4 STORIES, 1 BASEMENT, 28 UNITS RESIDENTIAL & COMMERCIAL BUILDING.
** MAHER: N/A **"	$10500000.00	APARTMENTS	0	-440	0	0	0	0	0	0	0	0	0	-440	0	0	BBENDIX	Presidio Development Partners	Mark Conroe	415-431-6506	Marina	NC-2	Mixed Use	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X	SUPERVISORIAL DISTRICT 2	Marina				(37.80337067160, -122.43305160600)
Resident	APN 6617018	1599 DOLORES ST			0	BP FILED	02/22/2016	3	1	0	0				2016-002913PRJ	ALTERED SITE TO #2013-0724-2652(S). CONVERT LOWER LEVEL OFFICE SPACE TO RESIDENTIAL UNIT. REMODEL 2 (E) UNITS. ROOF DECK. SPRINKLER UNDER SEPARATE PERMIT. NEW CURB CUT @ RELOCATIONG GARAGE. REMOVE OLD CURB CUT.	201602220209	"ALTERED SITE TO #2013-0724-2652(S). CONVERT LOWER LEVEL OFFICE SPACE TO RESIDENTIAL UNIT. REMODEL 2 (E) UNITS. ROOF DECK. SPRINKLER UNDER SEPARATE PERMIT. NEW CURB CUT @ RELOCATIONG GARAGE. REMOVE OLD CURB CUT.


"	$5000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TKENNEDY	WANG YING YING	WANG YING		Bernal Heights	NC-1	Mixed Use	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	SUPERVISORIAL DISTRICT 8	Central	Mission District Streetscape Plan		Adopted	"Y
(37.74398458420, -122.42401833300)"
Resident	APN 0156036	160 BERNARD ST			1	BP ISSUED	01/13/2017	2	2	0	0						201408133730	ERECT 4 STORIES FOR  2 DWELLING UNITS.	$1105350.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NFOSTER				Nob Hill	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	65-A	SUPERVISORIAL DISTRICT 3	Northeast				(37.79632821490, -122.41605980300)
Resident	APN 2690008	160 CASELLI AV			0	BP FILED	01/17/2017	2	1	0	0				2016-010185PRJ	Demolition of an existing 2-story, single family home. Construction of a new 3-story building with two residential unit.	201701177298	ERECT 3-STORY, TYPE 5-B, 0 BASEMENT, 2 FAMILY DWELLING UNITS BUILDING.	$449000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	VFLORES	Designpad Architecture	Patrick Perez	4153707269	Castro/Upper Market	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Central				(37.75986082580, -122.44221584200)
Resident	APN 3983008	160 CONNECTICUT ST			0	PL FILED	02/03/2017	14	2	0	0				2017-001490PRJ	CONVERT PORTION OF STORAGE SPACE INTO (2) DWELLING UNITS FOR A TOTAL OF (14) UNITS. UNITS TO BE WITHIN THE (E) BUILDING ENVELOPE PER ORDINANCE 162-16. REFER TO PA #2016-1118-3152 FOR SFT STORY RETROFIT.	201612225774	CONVERT PORTION OF STORAGE SPACE INTO (2) DWELLING UNITS FOR A TOTAL OF (14) UNITS. UNITS TO BE WITHIN THE (E) BUILDING ENVELOPE PER ORDINANCE 162-16. REFER TO PA #2016-1118-3152 FOR SFT STORY RETROFIT.	$20000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMONSKY	Syncopated Architecture		4155589843	Potrero Hill	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South of Market	Eastern Neighborhoods w/Valencia; Showplace Square/Potrero Hill (EN); Eastern Neighborhoods (Complete)			(37.76427615210, -122.39797107400)
Mixed	APN 3784025	160 GILBERT ST			0	PL FILED	05/24/2016	0	0	0	0				2016-006839PRJ	Change of use from office to Medical Cannabis Dispensary (Delta 11, Inc.)			$0.00		4160	2080	0	0	2080	2080	0	-2080	0	0	2080	2080	0	0	RSUCRE	Delta 11, Inc.			South of Market	SALI	Industrial	SERVICE/ARTS/LIGHT INDUSTRIAL	40/55-X	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77277219290, -122.40207320400)
Resident	APN 2111001	1601 ORTEGA ST			0	BP FILED	03/08/2017	2	1	0	0						201703080978	1ST FLOOR UNIT ADDITION, CONVERT (E) (2) HALF BATH TO FULL BATH, ADD KITCHEN AT HALL AREA, ADD ENTRANCE DOOR AND FIX WINDOWS PER ORDINANCE 162-16	$30000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0					Outer Sunset	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 4	Outer Sunset				(37.75201673470, -122.48083150500)
Resident	APN 5938054	160 YALE ST			1	BP APPROVED	02/01/2017	2	1	0	0				2016-011467PRJ	LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. UNIT LEGALIZATION ORD 43-14. LEGALIZE EXISTING KITCHEN AT GROUND FLOOR.	201608124857	LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. UNIT LEGALIZATION ORD 43-14. LEGALIZE EXISTING KITCHEN AT GROUND FLOOR.	$10000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMPBELL	KWONG FAMILY TRUST TRUST	KWONG FAMILY TRUST		Excelsior	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 9	South Central				(37.72701098940, -122.41787140000)
Retail/Ent	APN 0595002	1600 JACKSON ST		365 BY WHOLE FOODS MARKET	0	PL FILED	05/24/2016	0	0	0	0				2016-000378PRJ	Proposal to provide an approximately 19,450 square foot 365 Whole Foods Market grocery store within an existing, vacant, ground-floor retail space.			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0		Reuben, Junius, and Rose, LLP		4155679000	Nob Hill	NCD	Mixed Use	POLK STREET NEIGHBORHOOD COMMERCIAL	65-A	SUPERVISORIAL DISTRICT 3	Northeast				(37.79441164610, -122.42178977000)
Mixres	APN 6935001	1601 - 1635 OCEAN AV			0	PL FILED	12/11/2013	31	31	4	4				2009	The proposed project would demolish five commercial buildings and construct a new four-story building containing 48 dwelling units, 8,114 square-feet of retail space, and 48 off-street parking spaces. PROJECT REVISED 5//13: 1649 Ocean Avenue (parcel 027)			$0.00		33275	15454	15082	15082	0	0	0	0	0	0	18193	372	0	0	MBOUDREA				Ocean View	NCT	Mixed Use	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	45-X	SUPERVISORIAL DISTRICT 7	Ingleside	Balboa Park; BP: Ocean Avenue Commercial District; Ocean Avenue Corridor Design	Y	Adopted	(37.72429779120, -122.45937730800)
Mixres	APN 3505001	1601 - 1637 MARKET ST / 53 COLTON ST		LOCAL 38 PLUMBERS UNION HALL SITE	0	PL FILED	07/10/2015	584	584	107	107				2015-005848PRJ	"The proposed project is redevelopment of site for a mixed-use, mixed-income project, including a supportive affordable housing building. New units include 107 affordable, supportive housing efficiency units. ""Other"" use is the Local 38 Plumbers Union hal"			$0.00		36571	36571	0	0	0	0	27296	27296	0	0	9275	9275	0	0	VBYRD	Strada Brady, LLC		4152724387	South of Market	NCT-3	Mixed Use	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	85-X	SUPERVISORIAL DISTRICT 6	Mission	Market and Octavia; Market Octavia Living Alleys; The Market Street Hub Project; The Market Street Hub Project		Adopted	"Y
(37.77389146450, -122.42002992900)"
Mixres	APN 4005001B	1601 - 1677 MARIPOSA ST / 485 CAROLINA	(BLDG 2 OF 2)	210 ARKANSAS ST	1	BP ISSUED	09/19/2016	154	154	0	0				2012	The proposed project would involve demolition of an existing 1-story industrial buildings and  bus repair shop and the construction of a new mixed-use project with 316 dwelling-units, 8,823 sf ft. of commercial space, and 261 off-street parking spaces.	201603010904	"TO ERECT 4 STORIES, 1 BASEMENT, TYPE VA & IA, 154 UNITS RESIDENTIAL WITH COMMERCIAL & PARKING.
"	$50000000.00	APARTMENTS	9555	-65141	0	0	0	0	0	-8000	3962	-62734	5593	5593	0	0	CTOWNES				Potrero Hill	UMU	Mixed Use	URBAN MIXED USE	40-X	SUPERVISORIAL DISTRICT 10	South of Market	Eastern Neighborhoods w/Valencia; Showplace Square/Potrero Hill (EN); Eastern Neighborhoods (Complete)			(37.76293307330, -122.39899152800)
Resident	APN 4006006	1601 - 1677 MARIPOSA ST / 485 CAROLINA	(BLDG 1 OF 2)	1601 MARIPOSA ST	1	BP ISSUED	09/12/2016	145	145	60	60	On-site BMR Project	Rental		2012	The proposed project would involve demolition of an existing 1-story industrial buildings and  bus repair shop and the construction of a new mixed-use project with 316 dwelling-units, 8,823 sf ft. of commercial space, and 261 off-street parking spaces.	201603031058	"TO ERECT 4 STORIES, NO BASEMENT, 145 UNITS RESIDENTIAL & COMMERCIAL BUILDING.
** MAHER: EXEMPTED; SEE APPROVAL LETTER FROM DPH ON THE PLANS **"	$40000000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CTOWNES				Potrero Hill	UMU	Mixed Use	URBAN MIXED USE	40-X	SUPERVISORIAL DISTRICT 10	South of Market	Eastern Neighborhoods w/Valencia; Showplace Square/Potrero Hill (EN); Eastern Neighborhoods (Complete)			(37.76323623990, -122.39976097300)
MIPS	APN 6554024	1601 CASTRO ST			1	CONSTRUCTION	11/03/2016	0	0	0	0				2016-001813PRJ	Change of use from vacant Laundromat to Professional Service Office (Graphic Design) with Accessory Retail on the ground floor.	201607263300	CHANGE OF USE FROM RETAIL LAUNDROMAT TO A CONDITIONAL USE AUTHORIZATION BUSINESS OR PROFESSIONAL SERVICE OFFICE.	$120000.00	OFFICE	1434	0	0	0	0	0	1434	1434	0	0	0	-1434	0	0	AHUISMAN	Studio 19, Inc.		4152822536	Noe Valley	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Central				(37.74877184430, -122.43355788700)
Mixres	APN 3514043	1601 MISSION ST			1	BP FILED	12/16/2016	220	220	0	0	Fee Payment			2014	Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.	201612165221	ERECT 13 STORIES OF 220 DWELLING MIX USE TYPE 1 CONSTRUCTION.	$75000000.00	APARTMENTS	7097	2668	0	0	0	0	0	0	0	0	7097	2668	0	0	TCHANG				South of Market	C-3-G	Commercial	DOWNTOWN- GENERAL	120-R-2	SUPERVISORIAL DISTRICT 6	Mission	Market and Octavia; Downtown; Market Octavia Living Alleys; Mission Public Life Plan; The Market Street Hub Project; The Market Street Hub Project	Y	Adopted	"Y
(37.77204073220, -122.41876324800)"
Resident	APN 6234024	292 ARLETA AV			0	BP FILED	04/20/2015	1	1	0	0						201504204018	CONSTRUCT (N) 2-STORY SINGLE FAMILY DWELLING UNIT.	$150000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLARKECO				Visitacion Valley	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Central	Visitacion Valley			(37.71463115930, -122.40860102300)
Resident	APN 5934026	161 UNIVERSITY ST			1	BP APPROVED	03/28/2017	2	1	0	0				2014-003253PRJ	LEGALIZE 2ND UNIT ON GROUND FLOOR PER ORDINANCE #43-13.	201412123685	LEGALIZE UNIT ON GROUND FLOOR PER ORDINANCE #43-13.	$5000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NKWIATKO		JIANG ZUO PEI & KUANG QUN DI		Excelsior	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 9	South Central				(37.72796636480, -122.41435223800)
Resident	APN 4353008	1615 INDIANA ST			0	BP FILED	12/30/2016	2	2	0	0						201612306273	ERECT A 5 STORY TYPE IIA 2 FAMILY DWELLING MIXED USE BUILDING	$500000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0					Bayview	PDR-2	Industrial	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	80-E	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point; Dogpatch Public Realm Plan	Y	In Progress	(37.74983032880, -122.38944485200)
Resident	APN 5322047	1615 OAKDALE AV			1	BP ISSUED	02/01/2017	3	1	0	0				2016-003897PRJ	LEGALIZATION OF IN-LAW UNIT PER ORD 43-14 PROVIDE GAS & ELE METERS.	201603071401	LEGALIZATION OF IN-LAW UNIT PER ORD 43-14 PROVIDE GAS & ELE METERS. FIRE SPRINKLER UNDER SEPARATE PERMIT.	$50000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ALEXANDE	MEDRANO-LOPEZ JOSE A LOPEZ	MEDRANO-LOPEZ JOSE A		Bayview	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.73483271570, -122.39128274800)
Resident	APN 5556019	162 BREWSTER ST			1	CONSTRUCTION	05/21/2014	1	1	0	0						200607106046	TO ERECT A NEW 2-STORY, SINGLE FAMILY DWELLING UNIT BUILDING.	$520000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EOROPEZA				Bernal Heights	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.74410348700, -122.40739959600)
Resident	APN 2754052	162 GRAND VIEW AV			1	BP REINSTATED	06/01/2016	2	2	0	0						201410229565	(FRONT BUILDING) TO ERECT 3 STORIES OF 1 FAMILY DWELLING. SHORING, EXCAVATION AND FOUNDATION ARE UNDER SEPARATE PERMIT.	$970000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CHANG TI				Noe Valley	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Central				(37.75550535050, -122.44061512700)
Resident	APN 1449040	1625 CLEMENT ST			1	BP ISSUED	08/10/2016	2	1	0	0				2015-014411PRJ	TO LEGALIZE THE (E) GROUND FLOOR UNIT UNDER ORDINANCE 43-14.	201508134169	TO LEGALIZE THE (E) GROUND FLOOR UNIT UNDER ORDINANCE 43-14.	$50000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YEUNGMIN		LI PEN FONG & JEN HUEY		Inner Richmond	NC-1	Mixed Use	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	SUPERVISORIAL DISTRICT 1	Richmond	Geary Corridor			(37.78217376700, -122.47678744700)
Resident	APN 0495001C	1631 CHESTNUT ST			0	BP FILED	08/04/2016	16	1	0	0				2016-011226PRJ	REMODEL (E) REAR PORTION OF GROUND FLOOR TO CREATE NEW 2 BEDROOM ONE BATH DWELLING UNIT. REF PA (SOFT STORY) 201508033119	201608044194	REMODEL (E) REAR PORTION OF GROUND FLOOR TO CREATE NEW 2 BEDROOM ONE BATH DWELLING UNIT.  REF PA (SOFT STORY) 201508033119	$137500.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER	Jace Architecture		4154400920	Marina	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 2	Marina				(37.80136665580, -122.43012424700)
Resident	APN 5419023	1670 ARMSTRONG AV			0	BP FILED	01/11/2016	3	3	0	0				2016-000826PRJ	TO ERECT 4 STORIES OF 3 DWELLING UNIT TYPE 5 CONSTRUCTION.	201601116781	TO ERECT 4 STORIES OF 3 DWELLING UNIT TYPE 5 CONSTRUCTION.	$750000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DISALVOJ	John Zhang		4158893029	Bayview	M-1	Industrial	LIGHT INDUSTRIAL	65-J	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.72727260870, -122.39370668600)
Mixed	APN 3515022	1675 HOWARD ST			0	PL FILED	06/21/2016	0	0	0	0				2016-005739PRJ	"Proposed removal & replacement of (E) first floor windows at Howard Street. Construction of (N) 12'-6"" building on top of (E) parking structure."			$0.00		19442	2892	0	0	0	0	6049	3200	0	0	13393	-308	0	0		Centric Construction	Brynn McMillan	4159839520	South of Market	WMUG	Mixed Use	WSOMA MIXED USE-GENERAL	55-X	SUPERVISORIAL DISTRICT 6	Mission	Western SoMa (EN); Eastern Neighborhoods (Complete)			(37.77046175340, -122.41717985900)
Resident	APN 1179020	1677 MCALLISTER ST			0	PL FILED	11/15/2016	2	-1	0	0				2016-014752PRJ	Conditional Use Authorization application to permit the removal of a vacant unpermitted studio unit.			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	SJIMENEZ	Ann Marie Nemanich		4159393435	Western Addition	RM-1	Residential	RESIDENTIAL- MIXED, LOW DENSITY	40-X	SUPERVISORIAL DISTRICT 5	Western Addition				(37.77735606430, -122.43955703500)
Mixres	APN 0331011	168 - 186 EDDY ST		210 - 238 TAYLOR ST	1	BP ISSUED	02/07/2017	113	113	113	113		Rental		2015-001077PRJ	Change of use from a parking lot to an 8 story mixed-use residential/retail development.  100% affordable housing project proposing 113 Units.	201602179822	ERECT 9 STORY, TYPE 1, ZERO BASEMENT, 113 DWELLING UNIT AND RETAIL BUILDING.	$46000000.00	APARTMENTS	5297	5297	0	0	0	0	0	0	0	0	5297	5297	0	0	FOSTER N		EDDY & TAYLOR ASSOCS LP		Downtown/Civic Center	RC-4	Mixed Use	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	80-T-130-T	SUPERVISORIAL DISTRICT 6	Downtown				(37.78465846020, -122.41069584500)
Resident	APN 3522074	1695 FOLSOM ST			0	BP FILED	07/06/2015	4	4	0	0				2015-012878PRJ	TO ERECT 5 STORIES, 1 BASEMENT, 4 UNITS RESIDENTIAL UNITS WITH BAR OR LIMITED RESTAURANT. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **	201507060742	"TO ERECT 5 STORIES, 1 BASEMENT, 4 UNITS RESIDENTIAL UNITS WITH BAR OR LIMITED RESTAURANT.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	$1700000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJARDINE		NAVARRO FAMILY LVG TR		South of Market	WMUG	Mixed Use	WSOMA MIXED USE-GENERAL	55-X	SUPERVISORIAL DISTRICT 6	Mission	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.76976214260, -122.41525496600)
Mixres	APN 3504030	1699 MARKET ST		FLAX SITE	1	BP ISSUED	12/16/2016	160	160	0	0	Fee Payment			2014	The proposed project would demolish an existing 60 year old 1 & 2 story industrial/commercial building and surface parking lot and construct a new 9-story residential (162 units) and commercial (3,937 sf) building with 97 below-grade parking spaces.	201406108024	TO ERECT 9 STORIES, 1 BASEMENT, TYPE IB, 160 RESIDENTIAL, COMMERCIAL & BELOW GRADE PARKING BUILDING.	$52500000.00	APARTMENTS	7293	-37047	3937	-18233	0	0	0	0	0	0	3356	-18814	0	0	DVU				South of Market	NCT-3	Mixed Use	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	85-X	SUPERVISORIAL DISTRICT 6	Mission	Market and Octavia; Market Octavia Living Alleys; The Market Street Hub Project; The Market Street Hub Project		Adopted	"Y
(37.77233473240, -122.42194349000)"
Resident	APN 3509026	17 GRACE ST			0	BP SUSPEND	01/19/2016	13	13	0	0				2014-002016PRJ	The proposed project is to construct a five-story, 45-foot tall residential building on two adjacent lots that total 2,840 square feet. The proposed 10,249 gross square foot building would be accessed exclusively off Grace Street that includes thirteen d	201601126879	ERECT 5 STORIES OF 13 DWELLING UNIT (APARMENT) WITH TYPE 5 CONSTRUCTION. N/A FOR MAHER ORDINANCE NO 155-13.	$2000000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DISALVOJ	D-Scheme Studio Architects		4152520888	South of Market	RED-MX	Mixed Use	RESIDENTIAL ENCLAVE-MIXED	45-X	SUPERVISORIAL DISTRICT 6	Downtown	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77515717720, -122.41456501800)
Resident	APN 7044A018	17 OTTAWA AV			1	CONSTRUCTION	03/15/2017	2	1	0	0				2016-000539PRJ	LEGALIZE BASEMENT UNIT PER ORDINANCE# 43-14 - A BEDROOM, 1 STUDY ROOM, 1 BATHROOM 1 KITCHEN	201601076555	LEGALIZE BASEMENT UNIT PER ORDINANCE# 43-14 - A BEDROOM, 1 STUDY ROOM, 1 BATHROOM 1 KITCHEN	$70000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS	ESCALONA ARTHUR N	ESCALONA ARTHUR N		Outer Mission	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 11	South Central				(37.71382272250, -122.44431195200)
Mixres	APN 0642036	1700 CALIFORNIA ST			1	PL APPROVED	09/26/2016	47	5	0	0				2016-000375PRJ	Project proposes to convert garage space into five new dwelling units, and residential amenity space; Merge 12 units into seven units on the 7th, 9th, and 10th floors; Demolish the 1,019 sqft one-story portion of the building at the NW corner of the prop	201609288977	MODIFICATION OF (E) GARAGE PATHWAY & (E) GARAGE INTO OFFICE SPACE. MODIFICATION (2) ELEVATORS. FACADE WORK WINDOWS. REBUILD PATH OF TRAVEL. EXTERIOR PATIO SPACE INCLUDING OVERHEADS/AWNINGS AT EXTERIOR ENTRANCES.	$3100000.00	OFFICE	92170	5480	0	0	0	0	84628	5651	0	0	7542	-171	0	0	CMAY	Reuben, Junius & Rose LLP		4155679000	Pacific Heights	RC-4	Mixed Use	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	80-D	SUPERVISORIAL DISTRICT 2	Marina	Van Ness Corridor			(37.79049540830, -122.42302740600)
