PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	PLN_CASENO	BP_APPLNO	PROPUSE	PLN_DESC	BP_DESC	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FILEDATE	PLANNER	APPLICANT	CONTACT	CONTACTPH	SOURCE	Supe_District	PLAN_AREA	PLAN_DISTRICT	NEIGHBORHOOD	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	Location
Resident	APN 3985024	131 MISSOURI ST		BP FILED	06/19/2013	0	2013.0744	201306199977	APARTMENTS	(9 units Residential) - Demolish existing warehouse building. Construct new residential building consisting of nine units over parking	ERECT 4 STORY 9 UNITS RESIDENTIAL RESIDENCE.	9	9	0	0	0	-5296	0	0	0	0	0	0	0	-5296	0	0	0	0		BBENDIX				PERMIT TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	Potrero Hill	UMU	URBAN MIXED USE	40-X	(37.76467976180, -122.39641291600)
Resident	APN 4591C070	420 INNES AV		CONSTRUCTION	07/30/2015	-1		201202295144	APARTMENTS		TO ERECT 3 STORIES, 9 UNITS RESIDENTIAL BUILDING WITH PARKING.	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/29/2012					PERMIT TRACKING	D10	Hunters Point Shipyard	South Bayshore	Bayview	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	HP-RA	(37.72825254160, -122.36864516100)
Resident	APN 4591C059	101 AVOCET WY		CONSTRUCTION	04/03/2015	-1		201202295142	APARTMENTS		ERECT 3 STORIES, 9 DWELLING UNITS W/ PRIVATE GARAGE, TYPE 5, NEW BUILDING.	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/29/2012					PERMIT TRACKING	D10	Hunters Point Shipyard	South Bayshore	Bayview	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	HP-RA	(37.72866259250, -122.36846713100)
Resident	APN 4591C046	470 INNES AV		CONSTRUCTION	07/30/2015	-1		201202295145	APARTMENTS		TO ERECT 3 STORIES, 9 UNITS RESIDENTIAL BUILDING WITH PRIVATE PARKING.	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/29/2012					PERMIT TRACKING	D10	Hunters Point Shipyard	South Bayshore	Bayview	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	HP-RA	(37.72851859920, -122.36911339500)
Resident	APN 0503021	1463 LOMBARD ST		BP FILED	04/22/2014	0	2013.1022	201404223881	APARTMENTS		TO ERECT 4 STORIES  9DWELLING UNITS TYPE 5 .	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		MWOODS				PERMIT TRACKING	D2		Marina	Marina	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	40-X	(37.80085891240, -122.42549627900)
Resident	APN 0809020	311 GROVE STREET		PL FILED	10/15/2014	0	2014.1473			Construction of a new 8 unit multi-family residential structure spanning the length of the site from Grove to Ivy Street.  The project will include one-level of subterranean vehicle and bicycle parking.		8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/15/2014	MBOURDRE	Jacqueline Braver	Jacqueline Braver	378-7566	CASE TRACKING	D5	Market and Octavia	Western Addition	Downtown/Civic Center	NCT	HAYES NCT	50-X	(37.77770084800, -122.42200806400)
Resident	APN 4591C073	10 KENNEDY PL		BP FILED	12/05/2014	0		201412053170	APARTMENTS		ADDITION FLOOR ADDED TO THE BUILDING TAKING UNIT COUNT FROM 21 TO 29. ADDITIONAL PARKING WAS ADDED.	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D10	Hunters Point Shipyard	South Bayshore	Bayview	HP-RA	SEE HUNTERS POINT REDEVELOPMENT PLAN	HP-RA	(37.72808501840, -122.36750509400)
Mixres	APN 4266035	2799 24TH ST		PL FILED	06/18/2015	0	2014.1258			Existing laundrymat building will be demolished.  New 8-unit 5-story mixed use residential building will be constructed.  First floor level (street level) will contain 2 commercial spaces and the residential lobby with a bicycle storage.  Four stories ab		8	8	0	0	2056	-269	0	0	0	0	0	0	0	0	2056	-269	0	0	08/15/2014					CASE TRACKING	D9	Mission (EN)	Mission	Mission	NCT	24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT	55-X	(37.75264806360, -122.40802205900)
Resident	APN 0776035	1470 MCALLISTER ST		CONSTRUCTION	05/22/2015	-1		201302150317	APARTMENTS		ERECT 4-STORY TYPE V NEW MULTIFAMILY DWELLING	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D5		Western Addition	Western Addition	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X	(37.77827589210, -122.43639816900)
Resident	APN 3547032	49 JULIAN AV		PL APPROVED	01/26/2012	-1	2005.0233			Construction of five-story eight-unit residential building of approximately 10,583-sf.  Demolition of existing 1962 light industrial warehouse, presently vacant.  No off-street parking existing and eight proposed.		8	8	0	0	0	-2914	0	0	0	0	0	0	0	-2914	0	0	0	0	05/26/2005	NTURRELL	Tony Kim	Tony Kim	246-8855	CASE TRACKING	D9	Mission (EN)	Mission	Mission	UMU	URBAN MIXED USE	45-X	(37.76741735270, -122.42086782400)
Resident	APN 0572013	1458 BROADWAY		BP FILED	05/27/2014	0		201405276744	APARTMENTS		"

CONSTRUCT N/6 STORIES RESID'L OCCUP. BLDG CHANGE OF USE & VERTICAL ADDITION TO CONVERT A 2 UNIT ST"	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D3		Northeast	Russian Hill	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	65-A	(37.79633951570, -122.42108681700)
Resident	APN 3555036	1785 15TH ST		BP ISSUED	12/18/2013	-1		201210242702	APARTMENTS		ERECT 5-STORY, TYPE 3, 8 DWELLING UNITS BUILDING.	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	55-X	(37.76620632310, -122.42380624800)
Mixres	APN 0937028	2419, 2421 & 2435 LOMBARD ST		BP FILED	04/13/2012	-1	2011.0924	201204138282	APARTMENTS	Merge 3 lots and convert it to 4 stories condominium bldg. with 12 units and ground floor commercial.  Demolition of existing bldgs. on 3 lots (including one -1 story commercial/residential house, one - 2 stories bldg. with first floor commercial and sec	MERGE 3 LOTS TO CONVERT TO 4 STORIES CONDO BLDG WITH 11 RESIDENTIAL UNITS, (10)2 BEDROOMS,2 BATH, (1	11	8	0	0	1012	-3788	0	0	0	0	0	0	0	0	1012	-3788	0	0	07/17/2012	ASTARR	Kevin Wong	Ben Wong	999-3388	CASE TRACKING	D2		Marina	Marina	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	40-X	(37.79886143110, -122.44150298500)
Resident	APN 3196028	1532 OCEAN AV		BP FILED	09/10/2014	0		201409106031	APARTMENTS		VERTICAL ADDITION. 2 STORY BUILDING ADDITION OVER EXISTING 2 STORY APT/RETAIL. ADD 4 BEDROOM, 3 BATH	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7	Balboa Park	Ingleside	West of Twin Peaks	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	45-X	(37.72469703930, -122.45877928100)
Mixres	APN 3753042	259 CLARA ST		BP ISSUED	05/13/2015	-1	2013.0106	201305167075	APARTMENTS	Demolition of a 24'-tall, two-story industrial building and construction of 45'-tall, five-story mixed-usel building with eight 2-bedroom residences over ground-floor office, and eight parking spaces. Height of building is 45'.	ERECT 5-STORY, TYPE 5, 1 BASEMENT, 8 UNITS DWELLING BUILDING.	8	8	0	0	945	-3055	0	0	0	0	945	945	0	-4000	0	0	0	0		BBENDIX				PERMIT TRACKING	D6	Central SoMa; East SoMa (EN); South of Market	South of Market	South of Market	MUR	MIXED USE-RESIDENTIAL	45-X	(37.77834707600, -122.40350593400)
Resident	APN 4591C092	51 INNES CT		BP ISSUED	06/29/2015	-1		201412053181	APARTMENTS		ADDITION FLOOR ADDED TO THE BUILDING TAKING UNIT COUNT FROM 21 TO 29. ADDITIONAL PARKING WAS ADDED.	36	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D10	Hunters Point Shipyard	South Bayshore	Bayview	HP-RA	SEE HUNTERS POINT REDEVELOPMENT PLAN	HP-RA	(37.72693323100, -122.36751226700)
Mixres	APN 1066060	3150 GEARY BL		CONSTRUCTION	09/17/2007	-1	2003.0263	200207171660	APARTMENT	The proposed project involves the demolition of existing 2,850 gsf restaurant and construction of a 13,900 gsf residential building containing 7 dwelling units, 2,270 gsf of retail space and 7 off-street parking spaces.	ERECT A 4 STORIES 7 UNITS RESIDENTIAL BLDG WITH COML	8	8	0	0	580	580	0	0	0	0	0	0	0	0	580	580	0	0	09/25/2003	LMGIBSON	Richard W	ARS & Ass	415.333.8	CASE TRACKING	D2		Richmond	Presidio Heights	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	40-X	(37.78205381160, -122.45303777300)
Resident	APN 1055013	726 PRESIDIO AV		BP FILED	11/12/2014	0		201411121318	APARTMENTS		"TO ERECT 4 STORIES, 1 BASEMENT, 7 UNITS MULTI-FAMILY RESIDENT.
** MAHER: COMPLIANCE WITH ORDINANCE N"	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D2		Richmond	Western Addition	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X	(37.78499239860, -122.44593018600)
Resident	APN 2393040	2255 TARAVAL ST		PL FILED	08/13/2013	0	2013.0499	201206203038	APARTMENTS	Demolish existing auto service structure.  Erect new 5-story, 7-units residential, 3-units commercial mixed use building with 8 parking spaces.		7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/13/2013					PERMIT TRACKING	D4		Outer Sunset	Parkside	NCD	TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT	50-X	(37.74215315010, -122.49045470300)
Resident	APN 4044003	2146 3RD ST		PL FILED	01/23/2014	0	2013.1109			The proposed project would demolish the existing building on the site and construct in its place a residential building approximately 12,000 sf in size and containing 7 residential units, ranging approximately 500 sf to 1,200 sf in size. The proposed bui		7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/23/2014	JSPEIRS	Mark Holmquist	Mark Holmquist	626-8977x102	CASE TRACKING	D10	Central Waterfront (EN)	South of Market	Potrero Hill	UMU	URBAN MIXED USE	68-X	(37.76242451550, -122.38903310000)
Mixres	APN 3547027	80 JULIAN AV		BP ISSUED	10/27/2011	-1	2009.1095	201011305795		Lot line adjustment, demo existing residential building,  New construction of Community Facility having housing ground floor with commercial above.	ERECT 4 STORIES, TYPE 5, 7 BEDROOMS OUTPATIENT DENTAL/MEDICAL & CONGREGATE RESIDENCE BUILDING.	7	7	0	-1	12900	12900	12900	12900	0	0	0	0	0	0	0	0	0	0	11/30/2009	EOROPEZA	Cort Gross	Cort Gross	415-398-3137	CASE TRACKING	D9	Mission (EN)	Mission	Mission	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	45-X	(37.76697237900, -122.42137010700)
Resident	APN 1153020	1823 TURK ST		BP ISSUED	04/08/2015	-1		201310119178	2 FAMILY DWELLING		ERECT 4-STORY, TYPE V RESIDENTIAL CONDO.	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D5		Western Addition	Western Addition	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X	(37.77928565040, -122.43938144000)
Resident	APN 3537025	750 14TH ST		BP FILED	06/23/2015	0		201506239703	APARTMENTS		REMODEL GROUND FL & BASEMENT TO ACCOMMODATE 7 NEW APART UNITS TO AN EXISTING MIXED USE BLDG. REMODEL	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8	Market and Octavia	Buena Vista	Castro/Upper Market	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X	(37.76787519280, -122.43029344700)
Resident	APN 3755096	5 HALLAM ST		CONSTRUCTION	07/28/2015	-1		201305036140	APARTMENTS		TO ERECT 4 STORIES OF 6 FAMILY DWELLINGS	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D6	Western SoMa (EN); South of Market	South of Market	South of Market	RED	SOUTH OF MARKET RESIDENTIAL ENCLAVE	40-X	(37.77580862050, -122.40839163900)
Resident	APN 3594016	3360 20TH ST		BP APPROVED	10/21/2010	-1	2005.037	200512200747	APARTMENTS	Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.	TO ERECT 4 STORY 6 DWELLING UNITS	6	6	0	0	0	-4750	0	0	0	0	0	0	0	-4750	0	0	0	0	08/23/2005					PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	45-X	(37.75902660750, -122.41615346300)
Resident	APN 4591C039	598 HUDSON AV		BP FILED	01/14/2015	0		201501145723	APARTMENTS		CONSTRUCT (N) APARTMENT, GARAGE	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D10	Hunters Point Shipyard	South Bayshore	Bayview	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	HP-RA	(37.72954306370, -122.36932061500)
Resident	APN 3642041	854 CAPP ST		BP FILED	02/13/2015	0		201502138349	APARTMENTS		CONSTRUCT (N) 6-UNIT CONDO.	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	40-X	(37.75300695550, -122.41773338000)
Mixres	APN 1609021F	700 36TH AV		BP FILED	09/26/2008	0	2009.0653	200809262781	APARTMENTS		TO ERECT 6 DWELLING UNIT WITH FOUR STORY NEW BLDG.(COMMERCIAL AND RESIDENTIAL)	6	6	0	0	2000	2000	0	0	0	0	0	0	0	0	2000	2000	0	0	07/17/2009					PERMIT TRACKING	D1		Richmond	Outer Richmond	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X	(37.77554028710, -122.49601103000)
Resident	APN 3211010A	270 OCEAN AV		CONSTRUCTION	06/26/2015	-1	2007.0125	200607186852	APARTMENTS	The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area.	TO ERECT 4 STORY 6 DWELLING UNITS	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/31/2007	KCONNER	David Sternberg	Robert Buchbinder	415.608.1973	CASE TRACKING	D11		South Central	Outer Mission	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	(37.72347429680, -122.44237808700)
Mixres	APN 6941063	1415 OCEAN AV		BP FILED	08/29/2008	0		200808290369	APARTMENTS		ADD THREE STORIES ON TOP OF ONE STORY BLDG. - ADD SIX RESIDENTIAL UNITS ON TOP OF COMMERCIAL RETAIL	6	6	0	0	5285	0	0	0	0	0	0	0	0	0	5285	0	0	0						PERMIT TRACKING	D7	Balboa Park	Ingleside	Ocean View	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	45-X	(37.72389517580, -122.45759357300)
Resident	APN 2040001	1701 09TH AV		CONSTRUCTION	01/08/2013	-1	2009.0129	200904065665	2 FAMILY DWELLING	Demo existing commercial building, subdivide lot into 3 lots and construct three 2-unit residential buildings.	Multiple Permits	6	6	0	0	0	4595	0	0	0	0	0	0	0	0	0	4595	0	0	02/24/2009					PERMIT TRACKING	D7		Inner Sunset	Inner Sunset	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75638263380, -122.46606237300)
Resident	APN 5825032	782-786 ANDOVER ST		CONSTRUCTION	03/19/2015	-1	2006.0825	200603025879	2 FAMILY DWELLING	Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.	TO ERECT 3 STORY S FAMILY DWELLING	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/10/2006	EJACKSON	RICK BRUCE			PERMIT TRACKING	D9		Bernal Heights	Bernal Heights	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.73326056720, -122.41711867700)
Mixres	APN 1402023	3038 CLEMENT ST		BP ISSUED	10/27/2014	-1	2012.099	201211093910		To construct 6 unit building over commercial and parking garage. Building height proposed at 40'. Each unit will be 3 bedrooms.	DEMOLISH 1 STORY RETAIL BUILDING	6	6	0	0	1186	-416	0	0	0	0	0	0	0	0	1186	-416	0	0		MWOODS				PERMIT TRACKING	D1		Richmond	Outer Richmond	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	(37.78194194740, -122.49203052100)
Resident	APN 0150054	1020 BROADWAY		PL APPROVED	03/24/2014	-1	2006.1202			Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i		6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/03/2007	KCONNER	Steve Kendrick	Brad Brewster	415-896-5900	CASE TRACKING	D3		Northeast	Russian Hill	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.79721676110, -122.41381053900)
Resident	APN 5918029	419 BOWDOIN ST		PL APPROVED	02/17/2009	-1	2008.14		1 FAMILY DWELLING	Demolition of existing commercial structures and construction of six residential units.		6	6	0	0	0	-4850	0	0	0	0	0	0	0	0	0	-4850	0	0	12/23/2008					PERMIT TRACKING	D9		South Central	Excelsior	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.73005731190, -122.41202969900)
Resident	APN 3590014	3324 19TH ST		BP FILED	02/19/2014	0		201402198846	APARTMENTS		VERITICAL ADDITION. REMODEL EXISTING UNIMPROVED 1ST & 2ND FL FOR 2 RESIDENTIAL UNITS. REMODEL EXISTING 2ND & 3RD FLOOR APARTMENTS. ADD 4TH, 5TH FL FOR 4 NEW RESIDENTIAL UNITS.	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	55-X	(37.76054056420, -122.41766402100)
Resident	APN 3510028	949 NATOMA ST		BP FILED	10/10/2014	0		201410108646	APARTMENTS		ERECT A FOUR STORY SIX RESIDENTIAL TYPE 5 CONST DWELLING BUILDING. COMPLIANCE W/ ORDINANCENO. 156-13	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D6	Western SoMa (EN); South of Market	Downtown	South of Market	RED-MX	RESIDENTIAL ENCLAVE-MIXED	45-X	(37.77390856850, -122.41535783300)
Resident	APN 0676033	1801 Buchanan Street		PL FILED	06/10/2015	0	2015-007328PRJ			Proposes to construct a new 4-story residential building over an existing underground garage structure serving an adjacent property.  The new building would contain six dwelling units and five off- street parking spaces.		6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/10/2015		Reuben, Junius, and Rose, LLP		4155679000	CASE TRACKING	D5	Japantown	Western Addition	Western Addition	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	50-X	(37.78679390170, -122.43032499200)
Resident	APN 1809028	3945 JUDAH ST		BP REINSTATED	07/14/2015	-1		201412314770	APARTMENTS		TO ERECT 4 STORIES, 1 BASEMENT, 6 UNITS RESIDENTIAL WITH COMMERCIAL BUILDING.	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D4		Outer Sunset	Outer Sunset	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	(37.76030615840, -122.50455910000)
Resident	APN 0025024	888 NORTH POINT ST		BP FILED	12/16/2014	0		201412163783	APARTMENTS		CONTRUCT (N) 4-STORY MIXED-USED BUILDING (COMMERCIAL & RESIDENTIAL)	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D2	Fisherman's Wharf; Northeast Waterfront	Northeast	Russian Hill	C-2	COMMUNITY BUSINESS	40-X	(37.80574544680, -122.42181423100)
Resident	APN 6250037	95 LELAND AV		BP REINSTATED	03/05/2010	-1		200704128664	APARTMENTS		PROPOSED HORIZONTAL & VERTICAL ADDITION TO ACCOMODATE 8 DWELLING UNITS OVER COMMERCIAL SPACE/GARAGE.	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/12/2007					PERMIT TRACKING	D10	Schlage Lock	South Central	Visitacion Valley	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X	(37.71172071370, -122.40571413900)
Resident	APN 2845005	70 CRESTLINE DR		BP ISSUED	05/15/2013	-1	2012.0859	200908255545	APARTMENTS	To subdivide the existing lot into two lots and construct a new four-family dwelling on the proposed vacant lot.	TO ERECT 4 STORY TYPE 5, 5 DWELLING UNITS	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/05/2012					PERMIT TRACKING	D8		Central	Twin Peaks	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X	(37.75158027860, -122.44591005500)
Mixres	APN 0212031	135 WETMORE ST		BP REINSTATED	06/20/2013	-1		201306038460	APARTMENTS		"TO ERECT 5 STORIES OF FIVE DWELLINGS WITH GARAGE
"	5	5	0	0	4000	2000	0	0	0	0	4000	2000	0	0	0	0	0	0						PERMIT TRACKING	D3		Northeast	Nob Hill	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	65-A	(37.79419989050, -122.41064823700)
Resident	APN 3732080	481 TEHAMA ST		BP FILED	05/13/2015	0		201505136260	APARTMENTS		ERECT A 4 STORY 5 RESIDENTIAL UNIT & COMMERCIAL BUILDING. MAHER ORDINANCE-EXTENDED IS NOT REQUIRED.	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D6	Central SoMa; East SoMa (EN); South of Market	South of Market	South of Market	MUR	MIXED USE-RESIDENTIAL	45-X	(37.77954439060, -122.40604394300)
Resident	APN 6243019	590 LELAND AVE		BP FILED	04/25/2014	0	2014.0936	201404254156	1 FAMILY DWELLING	Demolition of church; subdivision into five lots; and construction of five single-family homes (579, 583, & 589 Raymond Ave. and 586 & 590 Leland Ave.).	(583 RAYMOND ST) TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	5	5	0	0	0	-8416	0	-8416	0	0	0	0	0	0	0	0	0	0	06/17/2014	MHUE	Victor  Quan	Victor  Quan	415-531-8311	CASE TRACKING	D10		South Central	Visitacion Valley	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	(37.71513871940, -122.41533585300)
Mixres	APN 6473039	5739 MISSION ST		PL APPROVED	04/09/2013	-1	2012.1454			Remove 2 unit apartments and build 7 unit condominium.		7	5	0	0	672	187	0	0	0	0	0	0	0	0	672	187	0	0	07/12/2013	EJASZEWS	Sean Buckley	Sean Buckley	285-1133	CASE TRACKING	D11		South Central	Crocker Amazon	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	40-X	(37.70962568980, -122.44903490400)
Resident	APN 3615047	657 CAPP ST		BP FILED	01/08/2015	0		201501085203	APARTMENTS		VERTICAL & HORIZONTAL ADDITIONS. NEW INTERIOR & EXTERIOR WALLS, FLOORS, WINDOWS, DOORS & BUILDING SY	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	40-X	(37.75625021830, -122.41745287500)
Resident	APN 3651018	3822 24TH ST		BP FILED	02/21/2014	0	2014.1408	201402219037	APARTMENTS	DEMOLISH 2 STORIES, SINGLE FAMILY DWELLING AND ERECT 2 STORIES, 1 BASEMENT, 5 UNITS RESIDENTIAL WITH MIXED USE BUILDING.	TO ERECT 2 STORIES, 1 BASEMENT, 5 UNITS RESIDENTIAL WITH MIXED USE BUILDING.	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/13/2014	MBOURDRE				PERMIT TRACKING	D8		Central	Noe Valley	NCD	24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL	40-X	(37.75190135450, -122.42807415700)
Resident	APN 0852044	124-126 Haight Street		PL APPROVED	03/26/2015	-1	2014-000205PRJ			124/126 Haight Street (0852/044-045); Interdepartmental Project Review to discuss a new addition to top floor, reconstruct garage structure, add 3 units plus 2 units at storage area in the future.		7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/14/2015	CGROB			415-480-6160	CASE TRACKING	D5	Market and Octavia	Buena Vista	Western Addition	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X	(37.77312650560, -122.42449215200)
Resident	APN 0149010	908 BROADWAY		PL FILED	04/17/2014	0	2013.1609			To demolish the existing group housing (2 story over basement) and construct a new building to contain 6 new residential condominium units, with 6 ancillary parking spaces (4 story over basement garage).  The intent is to adjust the current lot dimension		6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/17/2014	KUCHIDA	Adam McNicol	Adam McNicol	650-888-7218	CASE TRACKING	D3		Northeast	Russian Hill	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X	(37.79735752180, -122.41249913700)
Resident	APN 6506032	4171 24TH ST		BP FILED	10/16/2014	0		201410169154	APARTMENTS		CONSTRUCT NEW 4 STORIES, 1 BASEMENT, 5 UNITS MULTI-FAMILY RESIDENCE.	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8		Central	Noe Valley	NCD	24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL	40-X	(37.75096390090, -122.43553887400)
Resident	APN 5640010	965 POWHATTAN AV		BP FILED	05/21/2014	0		201405216382	1 FAMILY DWELLING		Multiple Permits	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9		Bernal Heights	Bernal Heights	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	(37.74150838470, -122.41035009300)
Resident	APN 3730096	34 LANGTON ST		BP FILED	10/08/2013	0	2014.0681	201310088785	APARTMENTS	Demolition of a 630sf industrial building and construction of a 5-unit 4-story 3,561sf building with 2 parking spaces.	TO ERECT 4 STORIES, NO BASEMENT, 5 UNITS APARTMENT, TYPE III-A BUILDING.	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/06/2014	JSPEIRS				PERMIT TRACKING	D6	Western SoMa (EN); South of Market	South of Market	South of Market	RED	SOUTH OF MARKET RESIDENTIAL ENCLAVE	40-X	(37.77694529740, -122.40944445000)
Resident	APN 1738021	1126 IRVING ST		BP FILED	08/21/2014	0		201408214436	APARTMENTS		TO ERECT 4 STORIES, 3 UNITS RESIDENTIAL WITH RETAIL BUILDING.	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D5		Inner Sunset	Inner Sunset	NCD	INNER SUNSET NEIGHBORHOOD COMMERCIAL	40-X	(37.76412442260, -122.47001668400)
