PROJECT_TYPE	APN	NAMEADDR	Alias	BESTDATE	BESTSTAT	Entitlement	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	RET	NET_RET	MIPS	NET_MIPS	PDR	NET_PDR	MED	NET_MED	CIE	NET_CIE	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	SUPE_DISTRICT	HEIGHT_DISTRICT	ZONING	ZONING_DISTRICT	PLANNER	LOCATION
Mixres	APN 0101004	1731 - 1741 POWELL ST		02/24/2015	BP ISSUED	-1	2007.1117	The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.	200908124639	PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH	$500000.00	THEATER	19	18	0	0	3525	3525	0	0	0	0	0	0	0	0	0	0	12/15/2008				Russian Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	NCD-NORTH BEACH	NORTH BEACH NEIGHBORHOOD COMMERCIAL	TFRYE	(37.8006826227, -122.411288)
Resident	APN 5305010	1734 NEWCOMB AV		09/24/2010	BP FILED	-1	2010.0444	Addition of a dwelling unit in the basement of an existing single family residence.	201009241613	CREATING AN IN-LAW UNIT. REMOVE (E) BSMT STAIRS&CHIMNEY.REPAIR 2/FL USING MATCHING MATERIAL.REPAIR 3	$0.00		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/10/2010	Horace Johnson	Horace Johnson	415-573-8334	Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	BFU	(37.7368796118, -122.392156)
Resident	APN 0520008	1738 FILBERT ST		10/20/2015	BP FILED	0			201511203266	PER CITY ORDINANCE 146-15, LEGALIZE EXISTING IN LAW UNI IN FRONT DETACHED HOUSE PER ORDINANCE 146-25	$0.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/20/2015				Marina		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7993028970, -122.428160)
Mixres	APN 0855010	1740 MARKET ST		03/03/2016	PL FILED	0	2014.0409	The proposed project is to demolish the existing 25,108 square foot commercial building and construct an 9-story, 85-foot tall mixed use building.  The existing building on the 13, 642 square foot subject lot was constructed in 1940.  The proposed new bu			$0.00		100	100	0	0	7630	7630	0	-25108	0	0	0	0	0	0	0	0	03/18/2014				Western Addition	Market and Octavia	Buena Vista	SUPERVISORIAL DISTRICT 5	85-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	TCHANG	(37.7725441769, -122.423102)
Resident	APN 5312013	1748 OAKDALE AV		06/25/2013	BP FILED	0			201306250390	LEGALIZE PRE-EXISTING AS BUILT STRUCTURE - 2 STORY OVER BASEMENT WITH GARAGE.(5 BDROOMS, 2 LIVING RM	$20000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/25/2013				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7363734006, -122.392930)
Resident	APN 6659006	1749 DOLORES ST		10/05/2015	CONSTRUCTION	-1			201312305300	HORIZONTAL FRONT ADDITION ON UPPER CREAT NEW 2ND DWELLING UNIT ON LOWER LEVEL, (NO INCREASE IN SQ FT	$50000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/30/2013				Bernal Heights		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7416204681, -122.423846)
Resident	APN 5577012	175 BREWSTER ST		11/24/2015	BP ISSUED	-1			201305157021	ERECT 4 STORY, TYPE 5, SINGLE FAMILY DWELLING BUILDING.	$150000.00	1 FAMILY	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/15/2013	Chad Hami	Chris Fol	577-9885	Bernal Heights		Bernal Heights	SUPERVISORIAL DISTRICT 9	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	MSNYDER	(37.7436782801, -122.407147)
Resident	APN 5891004A	175 MAYNARD ST		01/22/2016	BP ISSUED	-1			201505287372	UNIT LEGALIZATION ORDINANCE# 43-14. 1 BEDROOM, 1 BATH, 1 KITCHEN. 1 HOUR CORRIDER THROUGH GARAGE. CE	$20300.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/28/2015				Excelsior		South Central	SUPERVISORIAL DISTRICT 11	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7295896209, -122.426603)
Resident	APN 5338018	1756 REVERE AV		06/01/2015	CONSTRUCTION	-1			201310159297	"HORIZONTAL EXTENSION AT REAR (APPROX 20'-0""). CHANGE OF USE FROM SINGLE FAMILY TO 2 UNITS. 2 NEW BED"	$75000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/15/2013				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7334393463, -122.392753)
Resident	APN 2038A019	1758 12TH AV		12/08/2015	CONSTRUCTION	-1			201305298094	ERECT 3-STORY TYPE V SINGLE FAMILY RESIDENCE.	$500000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/29/2013				Inner Sunset		Inner Sunset	SUPERVISORIAL DISTRICT 7	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7553555415, -122.468599)
Retail/Ent	APN 1732043	1759 LINCOLN WY		06/20/2013	PL APPROVED	-1	2011.0099	Demolish exiting service station building of approx. 2350 square feet and reconstruct a new building of approx. 3700 square foot building containing a convenience store and automatic car wash. Alterations to the existing pumps and tanks is not proposed.			$250000.00		0	0	0	0	0	0	0	0	1327	1327	0	0	0	0	0	0	02/03/2011	Ahmad Mohazab	Ahmad Mohazab	415-362-5857	Inner Sunset		Inner Sunset	SUPERVISORIAL DISTRICT 4	40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	SVELLVE	(37.7651985877, -122.476889)
Resident	APN 6655030	176 RANDALL ST		02/11/2014	BP APPROVED	-1	2008.0069	Demo existing 1,410 sqft, 22-feet in height single-family residence with one parking space and replace with a 4,986 sqft, 35-feet in height 2-unit building with 4 parking spaces.	200712261296	ERECT A NEW 3 STORIES 2 FAMILY DWELLING, OVER BASEMENT.	$0.00		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/26/2007	Michael Allorecht			Glen Park		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	JPOLING	(37.7399317865, -122.427288)
Resident	APN 2038A018	1762 12TH AV		02/18/2016	CONSTRUCTION	-1			201307151824	ERECT 3-STORY, TYPE 5, SINGLE FAMILY RESIDENCE.	$590000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/15/2013				Inner Sunset		Inner Sunset	SUPERVISORIAL DISTRICT 7	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7552869869, -122.468594)
Resident	APN 0443A017	1767 BEACH ST		01/30/2015	BP FILED	0			201501307147	LEGALIZE (E) IN LAW UNIT UNDER AMNESTY PROGRAM ORDINANCE #4314	$7250.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/30/2015				Marina		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.8040033973, -122.438357)
Resident	APN 2038A013	1769 11TH AV		10/07/2014	BP ISSUED	-1	2014.0059	New construction of a three-story 4,625 sf single-family home with two parking spaces.	201306068876	TO ERECT 3 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.	$600000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/06/2013				Inner Sunset		Inner Sunset	SUPERVISORIAL DISTRICT 7	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7552366931, -122.468174)
Resident	APN 7147050	177 SAGAMORE ST		03/10/2016	BP APPROVED	-1			201403211380	"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155"	$149000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/21/2014				Ocean View		Ingleside	SUPERVISORIAL DISTRICT 11	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7111229830, -122.458290)
Resident	APN 0552031	1776 VALLEJO ST		01/27/2016	BP Filed	0	2016-001466PRJ		201601278103	TO ERECT 2 STORIES OF ONE SINGLE FAMILY	$299000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/27/2016				Pacific Heights		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7965988450, -122.426678)
Resident	APN 5338025	1780 REVERE AV		09/22/2015	BP FILED	-1	2015-013583PRJ		201509227704	1) DEMOLISH EXTG STAIR. 2)REPLACE & INSTALL NEW STAIR AND LANDING COVER. 3) INSTALL NEW EXTERIOR DOO	$45000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/22/2015				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7337184902, -122.393246)
Resident	APN 5338032	1781 QUESADA AV		05/20/2013	BP FILED	0			201305207414	CONVERTING BASEMENT INTO A SECOND UNIT 1,035 SQFT. (NET ADDITION 713 SQFT). REDUCING (E) GARAGE. REM	$70000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/20/2013				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7339815727, -122.393115)
Resident	APN 3555036	1785 15TH ST		03/29/2016	CONSTRUCTION	-1	2012.0147		201210242702	ERECT 5-STORY, TYPE 3, 8 DWELLING UNITS BUILDING.	$700000.00	APARTMENTS	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/24/2012				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 8	55-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION		(37.7662063240, -122.423806)
Resident	APN 5396001D	1788 SILVER AV		08/27/2015	BP FILED	-1	2015-011537PRJ		201508275396	UNIT LEGALIZATION ORD 43-14. LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. LEGALIZE EXISTI	$8000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/27/2015				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7338047546, -122.402861)
Resident	APN 6793011	1794 SAN JOSE AV		05/27/2015	BP FILED	-1	2015-006863PRJ		201505277278	REMODEL OF (E) 2-STORY BLDG W/ DENTAL OFFICE INTO 4-STORY BLDG W/ DENTAL OFFICE & (4)(N) DWELLING UN	$1450000.00	APARTMENTS	4	2	0	0	0	0	2193	-878	0	0	0	0	0	0	0	0	05/27/2015				Outer Mission		South Central	SUPERVISORIAL DISTRICT 11	40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER		(37.7291965863, -122.440091)
MIPS	APN 8727005	1800 - 1900 OWENS ST	EXCHANGE ON 16TH	03/01/2016	CONSTRUCTION	-1	2012.1482	Construct two new 12 story buildings for a total of 995,000s/f, which will have 680,000s/f office and 315,000s/f parking (680 spaces), 34 bike spaces. Note that the lot listed in application is 008 which has not be sited yet.	201409045458	TO ERECT 12 STORIES, 1.5 BASEMENT, OFFICE, RETAIL AND PARKING BUILDING.	$191000000.00	OFFICE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/04/2014				Potrero Hill	Mission Bay	South of Market	SUPERVISORIAL DISTRICT 6	MB-RA	MB-RA	SEE MISSION BAY SOUTH REDEVELOPMENT PLAN		(37.7655794172, -122.393188)
Mixed	APN 3547001	1800 MISSION ST		06/10/2004	PL FILED	0	2014.0154	Rehabilitate existing historic Armory building into 207 dwelling units.			$29776200.00		0	0	0	0	0	0	119599	119599	40887	-119599	0	0	39913	0	0	0	06/10/2004	Brett Gladstone	Brett Gladstone	415-434-9500	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	68-X	UMU	URBAN MIXED USE	WHASTIE	(37.7678171968, -122.420575)
Mixres	APN 3548033	1801 AND 1863 MISSION ST		10/03/2013	BP FILED	0	2009.1011	Construction of two new residential buildings in existing parking lots. The projects would include: Site 1: 17 dwelling units, 7 pkg spaces & retail space; Site 2: 37 residential units, 17 PKG space and retail.	201310038419	ERECT 7 STORIES,17 DWELLING UNIT,MIX USE,TYPE 1 .	$2000000.00		54	54	0	0	3235	3235	0	0	0	0	0	0	0	0	0	0	10/23/2009				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	NCT-MISSION	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	CTOWNES	(37.7672656861, -122.419462)
Resident	APN 0676033	1801 BUCHANAN ST		12/03/2015	PL FILED	0	2015-007328PRJ	Proposes to construct a new 4-story residential building over an existing underground garage structure serving an adjacent property.  The new building would contain six dwelling units and five off- street parking spaces.			$0.00		6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/10/2015	Reuben, Junius, and Rose, LLP		4155679000	Western Addition	Japantown	Western Addition	SUPERVISORIAL DISTRICT 5	50-X	NCD-JAPANTOWN	JAPANTOWN NEIGHBORHOOD COMMERCIAL DISTRICT		(37.7867939008, -122.430325)
Resident	APN 1050007	1801 SCOTT ST		12/11/2014	BP ISSUED	-1	2013.0774	Replacement of parking lot with a single family dwelling	201311222590	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	$267000.00		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/11/2013	HARVEY HACKER	HARVEY HACKER	415-957-0579	Western Addition		Western Addition	SUPERVISORIAL DISTRICT 2	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	GCABRERO	(37.7864908612, -122.438602)
Mixres	APN 3719010	181 FREMONT ST		03/28/2016	CONSTRUCTION	-1	2007.0456	66-story office mixed-use high-rise project, 796,933 total gsf, 878-ft, with class A office space (floors 2-44), 140 units residential (floors 47-65), with sky lobby, and auto lift-accessed 241-space 4-level underground parking;  requiring demolition of	201305015894	TO ERECT 54 STORIES, 5 BASEMENT, 74 RESIDENTIAL WITH COMMERCIAL, PARKING BUILDING.	$242000000.00		74	74	0	0	0	0	530316	492866	0	0	0	0	0	0	0	0	05/15/2007	Daniel Kingsley	Daniel Kingsley	415.421.8200	Financial District	Transbay; Transit Center District; Downtown	Downtown	SUPERVISORIAL DISTRICT 6	700-S-2	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	SJONES	(37.7896424383, -122.395221)
Resident	APN 0119025	1812 TAYLOR ST		07/13/2011	BP ISSUED	-1	2010.0786	Add dwelling unit on ground floor with no expansion of the building	200709193055	SITE PERMIT: ADD 3RD UNIT AT GROUND FLOOR ~450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH & PLUMB	$72000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/19/2007				Russian Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY		(37.7991719963, -122.413752)
Resident	APN 2058009J	1822 22ND AV		02/01/2016	BP ISSUED	-1			201409307715	FOR LEGALIZATION. INSTALL NEW KITCHEN CABINET, COUNTER TOP, SINK, FAUCET ELECTRIC COOK TOP, STOVE HO	$2500.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/30/2014				Outer Sunset		Outer Sunset	SUPERVISORIAL DISTRICT 4	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7536270279, -122.479325)
Resident	APN 1153020	1823 TURK ST		03/22/2016	CONSTRUCTION	-1			201310119178	ERECT 4-STORY, TYPE V RESIDENTIAL CONDO.	$800000.00	2 FAMILY DWELLING	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/11/2013				Western Addition		Western Addition	SUPERVISORIAL DISTRICT 5	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY		(37.7792856504, -122.439381)
Resident	APN 3545097	1824 15TH ST		08/21/2015	BP FILED	-1	2015-014338PRJ		201508214923	ADD UNIT PER ORDINANCE #30-15. ADDING A NEW DWELLING UNIT TO UNUSED STORAGE SPACE BEHIND GROUND FLOO	$84000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/21/2015				Mission	Market and Octavia	Mission	SUPERVISORIAL DISTRICT 8	40-X	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT		(37.7665929457, -122.424898)
Resident	APN 4790005	1824 JENNINGS ST		11/09/2015	BP FILED	0			201511092165	COMPLY WITH COMPLIANT# 2015/011268 ENF, 201569252 & 201569661 & 201567611. LEGALIZE DWELLING UNIT @	$7000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/09/2015				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7286895621, -122.387488)
CIE	APN 0676009	1834 SUTTER ST		10/16/2014	PL APPROVED	-1	2013.0419	Construct new building on current school playard area; consolidate the school operations by moving from the Bush St facility into the new proposed building.			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	17816	9843	0	0	04/05/2013	Cathy Inamasu	Cathy Inamasu	415-922-8898	Western Addition	Japantown	Western Addition	SUPERVISORIAL DISTRICT 5	40-X	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SPERDUE	(37.7867022345, -122.430675)
Resident	APN 0596004	1837 LARKIN ST		01/05/2015	BP FILED	0			201501054868	"ADD ONE DWELLING UNIT. RAISE THE ENTIRE BLDG 10'-0"" TO FILL-IN THE NEW IST FLR. NEW PARKING SPACES &"	$49000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/05/2015				Nob Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	NCD-PACIFIC	PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL		(37.7948554571, -122.420173)
Resident	APN 6013009	184 LONDON ST		03/16/2016	BP Filed	0	2016-004266PRJ		201603162161	LEGALIZE AS BUILT UNITON LOWER FLOOR PER PLAN. ORDINANCE 43-14.	$20000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/16/2016				Excelsior		South Central	SUPERVISORIAL DISTRICT 11	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7263279883, -122.432852)
CIE	APN 3970006	1850 BRYANT ST		12/14/2015	PL FILED	0	2015-011211PRJ	Demolition of existing two story structure on Project Site and construction of new 68 foot, 202,927 square foot building to be used for service delivery and office space for nonprofit social service agencies.  The project would include 130 parking spaces			$0.00		0	0	0	0	2939	2939	0	-4600	0	0	0	0	172394	172394	0	0	09/16/2015				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	68-X	PDR-1-G	PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL		(37.7637350377, -122.410794)
Resident	APN 2067002O	1855 30TH AV		03/31/2015	BP FILED	0			201503312342	LEGALIZE IN-LAW UNIT @ 1ST FLOOR PER ORDINANCE# 43-14. ADD 1 BEDROOM, 1 BATHROOM & 1 KITCHEN.	$7000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/31/2015				Outer Sunset		Outer Sunset	SUPERVISORIAL DISTRICT 4	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7526737902, -122.488510)
Mixres	APN 0619012	1860 VAN NESS AV		03/21/2016	CONSTRUCTION	-1	2004.0890	The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two s	200602215057	TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.	$1000000.00	APARTMENTS	35	35	0	0	1625	1625	0	0	0	0	0	0	0	0	0	0	12/20/2005	Tuija Catalano	Tuija Catalano	567-9000	Nob Hill	Van Ness Corridor	Northeast	SUPERVISORIAL DISTRICT 3	80-D	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	JKUGLER	(37.7929112553, -122.422414)
Resident	APN 0871004	1870 MARKET ST		05/01/2015	BP FILED	0	2014.1060		201505015151	ERECT AN 8 STORY 9 RESIDENTIAL UNITS AND COMMERCIAL BUILDING.	$3200000.00	APARTMENTS	9	9	0	0	1427	1427	0	-500	0	0	0	0	0	0	0	0	05/01/2015				Western Addition	Market and Octavia	Buena Vista	SUPERVISORIAL DISTRICT 8	85-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT		(37.7712613923, -122.424673)
Resident	APN 6656029	1877 CHURCH ST		04/30/2012	BP ISSUED	-1	2011.0722		201103182398	RENOVATE GROUND FLOOR INTO A DWELLING UNIT. A HORIONTAL ADDITION @ THE REAR OF 302 SQ FT. INTERIOR R	$150000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/18/2011				Glen Park		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7403321532, -122.426374)
Resident	APN 7107023	188 BROAD ST		07/01/2013	CONSTRUCTION	-1			201205039740	NEW RESIDENTIAL UNIT TO BE ADDED @  GROUND FLOOR PER PLAN WITH 3 BEDROOMS, 3 BATHROOMS. 1 KITCHEN &	$30000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/03/2012				Ocean View		Ingleside	SUPERVISORIAL DISTRICT 11	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7134244541, -122.458623)
Resident	APN 1152018	1880 GOLDEN GATE AV		02/10/2016	CONSTRUCTION	-1			201210041365	HORIZONTAL & VERTICAL ADDITION.  4 STORIES OVER BASEMENT. CONVERT SINGLE FAMILY DWELLING TO 3 FAMILY	$200000.00	APARTMENTS	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/04/2012				Western Addition		Western Addition	SUPERVISORIAL DISTRICT 5	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY		(37.7785793624, -122.441528)
Mixres	APN 1414061	1888 CLEMENT ST		04/05/2013	BP FILED	0	2015-001076PRJ	VERTICAL ADDITION. REMODEL (E) 1 STORY COMMERCIAL TO BE A GARAGE WITH COMMERCIAL SPACE AT THE REAR AND ADD 3 STORIES OF RESIDENTIAL FLATS ON TOP.	201304053893	VERTICAL ADDITION.  REMODEL (E) 1 STORY COMMERCIAL TO BE A GARAGE WITH COMMERCIAL SPACE AT THE REAR AND ADD 3 STORIES OF RESIDENTIAL FLATS ON TOP.	$350000.00	APARTMENTS	3	3	0	0	484	-1933	0	0	0	0	0	0	0	0	0	0	04/05/2013		M C M I INVESTMENT LLC		Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	NCD-OUTER CLEMENT	OUTER CLEMENT STREET NEIGHBORHOOD COMMERCIAL	AKIRBY	(37.7825211094, -122.479257)
Resident	APN 7277044	189 COUNTRY CLUB DR		01/28/2016	BP ISSUED	-1			201501135623	LEGALIZE AS BUILD KITCHEN ON 1ST FLOOR PER PLANS AS 2ND UNIT	$31000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/13/2015				Lakeshore		Ingleside	SUPERVISORIAL DISTRICT 7	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED		(37.7314199081, -122.496791)
Mixres	APN 0340002	19 - 25 MASON ST & 2 - 16 TURK ST		03/04/2014	PL APPROVED	-1	2012.0678	Development of the two adjoining parking lots on either side of The Metropolis Hotel. The Metropolis will stay in place and continue as a hotel. The schematic design is to replace the existing surface parking lot with a residential development, including			$39000000.00		110	110	0	0	2825	2825	0	0	0	0	0	0	0	0	0	0	08/14/2012	John Kevlin	John Kevlin	415.567.9000	Downtown/Civic Center	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	120-X	C-3-G	DOWNTOWN- GENERAL	WWIETGRE	(37.7837500961, -122.409494)
Resident	APN 1355004	19 ARGUELLO BL		10/15/2014	BP FILED	0			201410158900	ERECT 3 STORIES OF ONE SINGLE FAMILY. N/A FOR MAHER ORDINANCE.	$673090.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/15/2014				Presidio Heights		Richmond	SUPERVISORIAL DISTRICT 2	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED		(37.7891288866, -122.459822)
Resident	APN 5532007	190 HOLLADAY AV		02/05/2016	BP Filed	0	2016-002253PRJ		201602058975	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.	$425000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/05/2016				Bernal Heights		Bernal Heights	SUPERVISORIAL DISTRICT 9	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7467388563, -122.405385)
Resident	APN 6086012C	203 RUSSIA AV		03/11/2016	CONSTRUCTION	-1			201307021054	CHANGE OF USE FROM VACANT COMMERCIAL SPACE TO NEW RESIDENTIAL UNIT AT GROUND FLOOR.	$100000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2013				Excelsior		South Central	SUPERVISORIAL DISTRICT 11	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7209188605, -122.435324)
Mixres	APN 3554001	1900 MISSION ST		07/08/2015	BP FILED	0	2013.1330	The proposed project would construct a 6-story building with ground floor retail space, second floor office space, and four floors of two and three-bedroom condos for a total of 9 residential units. The project would include 5 off-street parking spaces a	201507080963	ERECT 7-STORY, TYPE 1, 11 DWELLING UNITS, AND RETAIL WITH 1 BASEMENT BUILDING.	$2772350.00	APARTMENTS	9	9	0	0	712	712	1725	1725	0	-1939	0	0	0	0	0	0	09/16/2013	Kevin Stephens	Kevin Stephens	509-5661	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	80-B	NCT-MISSION	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	DVU	(37.7665356372, -122.420109)
