PROJECT_TYPE	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	PLN_CASENO	PLN_DESC	PROPUSE	BP_APPLNO	BP_DESC	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPH	COST	FirstFiled	PLANNER	APN	PLAN_AREA	PLN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	NEIGHBORHOOD	HEIGHT_DISTRICT	Location
Resident	159 & 161 CHARTER OAK AV		PL FILED	03/15/2016	0	2015-009227PRJ	159 and 161 Charter Oak Avenue (5377/070 and 071); Project Review meeting to discuss a merge and subdivide two existing lots for three new single family dwellings.  The purpose of the meeting is to review proposed lot configuration and building massing.	1 FAMILY DWELLING	201608044167	ERECT 3 STORY, NO BASEMENT, SINGLE FAMILY DWELLING.	4	4	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gabriel Ng + Architects, Inc.		415-682-8060	$300000.00	03/15/2016	JBANALES	APN 5377070	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Bayview	40-X	(37.73521357800, -122.40418306400)
Resident	159 CHARTER OAK AV		BP FILED	08/04/2016	0			1 FAMILY DWELLING	201608044162	ERECT 3 STORY, NO BASEMENT, SINGLE FAMILY DWELLING.	3	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$900000.00	08/04/2016		APN 5377071	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Bayview	40-X	(37.73532481190, -122.40425400000)
Resident	1615 OAKDALE AV		BP FILED	03/07/2016	0	2016-003897PRJ	LEGALIZATION OF IN-LAW UNIT PER ORD 43-14 PROVIDE GAS & ELE METERS.	APARTMENTS	201603071401	LEGALIZATION OF IN-LAW UNIT PER ORD 43-14 PROVIDE GAS & ELE METERS.	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$50000.00	03/07/2016	ALEXANDE	APN 5322047	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Bayview	40-X	(37.73483271570, -122.39128274900)
Resident	1594 GOLDEN GATE AV		CONSTRUCTION	04/08/2016	1	2014	BP #201502249184 - Legalizing conversion of a nonconforming use to residential use (third dwelling unit in an RH-3 District). ZA action letter needed per Planning Code Section 307(H)(1)(D) [code updated 12/26/2014].	APARTMENTS	201502249184	CONVERT COMMERCIAL UNIT INTO RESIDENTIAL APARTMENT. CONERSION INCLUDES: 1 BEDROOM, 1 BATHROOM, 1 KITCHEN AND LIVING SPACE.  PROJECT TO COMPLY WITH SECTION 307(h)(1)(D) CONVERSION OF NON-CONFORMING USES RESIDENTIAL USES.  SHALL COMPLY WITH NOV. #200921583	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$106000.00	02/24/2015	LAJELLO	APN 0753010		Western Addition	SUPERVISORIAL DISTRICT 5	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	Western Addition	40-X	(37.77921261200, -122.43676834300)
Resident	1598 BAY ST		PL APPROVED	04/06/2016	1	2014-003157PRJ	To permit the conversion of a former Gas Station that is currently a vacant and underutilized lot into a four story 40' high residential building consisting of 28 units and 42 parking spots.	APARTMENTS	201512235830	ERECT 4 STORIES OF 28 DWELLING UNIT. MIX USE.	28	28	0	0	Fee Payment		0	-440	0	0	0	0	0	0	0	0	0	-440	0	0	Presidio Development Partners	Mark Conroe	415-431-6506	$10500000.00	03/13/2015	BBENDIX	APN 0459007		Marina	SUPERVISORIAL DISTRICT 2	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	Mixed Use	Marina	40-X	(37.80337066980, -122.43305160600)
Resident	1599 DOLORES ST		BP FILED	02/22/2016	0			APARTMENTS	201602220209	"ALTERED SITE TO #2013-0724-2652(S). CONVERT LOWER LEVEL OFFICE SPACE TO RESIDENTIAL UNIT. REMODEL 2 (E) UNITS. ROOF DECK. SPRINKLER UNDER SEPARATE PERMIT. NEW CURB CUT @ RELOCATIONG GARAGE. REMOVE OLD CURB CUT.


"	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$5000.00	02/22/2016	TKENNEDY	APN 6617018		Central	SUPERVISORIAL DISTRICT 8	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	Mixed Use	Bernal Heights	40-X	(37.74398458510, -122.42401833500)
Resident	160 BERNARD ST		BP FILED	08/13/2014	0			2 FAMILY DWELLING	201408133730	ERECT 4 STORIES FOR  2 DWELLING UNITS.	2	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$675000.00	08/13/2014	NFOSTER	APN 0156036		Northeast	SUPERVISORIAL DISTRICT 3	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	Nob Hill	65-A	(37.79632821300, -122.41605980400)
Mixed	160 GILBERT ST		PL FILED	05/24/2016	0	2016-006839PRJ	Change of use from office to Medical Cannabis Dispensary (Delta 11, Inc.)				0	0	0	0			4160	2080	0	0	2080	2080	0	-2080	0	0	2080	2080	0	0				$0.00	05/24/2016	RSUCRE	APN 3784025	Western SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	SALI	SERVICE/ARTS/LIGHT INDUSTRIAL	Industrial	South of Market	40/55-X	(37.77277219290, -122.40207320500)
Resident	160 SAN MARCOS AV		CONSTRUCTION	01/23/2014	1	2009	To construct a three-story over garage single-family dwelling on a vacant lot.	1 FAMILY DWELLING	200810315629	ERECT A 3-STORIES, SINGLE FAMILY RESIDENCE WITH 1 BASEMENT.	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$450000.00	10/31/2008	MSMITH	APN 2861011		Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	Residential	West of Twin Peaks	40-X	(37.74709320810, -122.46511538900)
Resident	160 YALE ST		BP FILED	08/12/2016	0			2 FAMILY DWELLING	201608124857	LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. UNIT LEGALIZATION ORD 43-14. LEGALIZE EXISTI	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$10000.00	08/12/2016		APN 5938054		South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Excelsior	40-X	(37.72701098940, -122.41787140100)
Mixres	1601 - 1635 OCEAN AV		PL FILED	12/11/2013	0	2009	The proposed project would demolish five commercial buildings and construct a new four-story building containing 48 dwelling units, 8,114 square-feet of retail space, and 48 off-street parking spaces. PROJECT REVISED 5//13: 1649 Ocean Avenue (parcel 027)				31	31	4	4			33275	15454	15082	15082	0	0	0	0	0	0	18193	372	0	0				$0.00	11/05/2009	MBOUDREA	APN 6935001	Balboa Park	Ingleside	SUPERVISORIAL DISTRICT 7	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	Ocean View	45-X	(37.72429779210, -122.45937730700)
Mixres	1601 - 1637 MARKET ST / 53 COLTON ST	LOCAL 38 PLUMBERS UNION HALL SITE	PL FILED	07/10/2015	0	2015-005848PRJ	"The proposed project is redevelopment of site for a mixed-use, mixed-income project, including a supportive affordable housing building. New units include 107 affordable, supportive housing efficiency units. ""Other"" use is the Local 38 Plumbers Union hal"				584	584	107	107			36571	36571	0	0	0	0	27296	27296	0	0	9275	9275	0	0				$0.00	07/10/2015	VBYRD	APN 3505001	Market and Octavia	Mission	SUPERVISORIAL DISTRICT 6	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	Mixed Use	South of Market	85-X	(37.77389146360, -122.42002993000)
Resident	161 SAN CARLOS ST		BP ISSUED	11/23/2009	1			APARTMENTS	200902041380	CONVERT 2 UNITS BLDG TO 3 UNITS BLDG, REMOVE STAIRCASE JOINING UPSTAIRS AND DOWNSTAIRS, PUT IN KITCHEN IN DOWNSTAIR UNIT, HOOK UPS ALREADY THERE.	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$15800.00	02/04/2009	CTEAGUE	APN 3589026	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	Residential	Mission	45-X	(37.76083113370, -122.41982828200)
Resident	161 UNIVERSITY ST		BP FILED	12/12/2014	0			2 FAMILY DWELLING	201412123685	LEGALIZE UNIT ON GROUND FLOOR PER ORDINANCE #43-13.	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$5000.00	12/12/2014	NKWIATKO	APN 5934026		South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Excelsior	40-X	(37.72796636570, -122.41435223800)
Resident	162 BREWSTER ST		CONSTRUCTION	05/21/2014	1			1 FAMILY DWELLING	200607106046	TO ERECT A NEW 2-STORY, SINGLE FAMILY DWELLING UNIT BUILDING.	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$520000.00	07/10/2006	EOROPEZA	APN 5556019		Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Bernal Heights	40-X	(37.74410348790, -122.40739959600)
Resident	162 GRAND VIEW AV		BP REINSTATED	06/01/2016	1			1 FAMILY DWELLING	201410229565	(FRONT BUILDING) TO ERECT 3 STORIES OF 1 FAMILY DWELLING. SHORING, EXCAVATION AND FOUNDATION ARE UNDER SEPARATE PERMIT.	2	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$970000.00	10/22/2014	CHANG TI	APN 2754052		Central	SUPERVISORIAL DISTRICT 8	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Noe Valley	40-X	(37.75550535140, -122.44061512700)
Resident	1625 CLEMENT ST		BP ISSUED	08/10/2016	1	2015-014411PRJ	TO LEGALIZE THE (E) GROUND FLOOR UNIT UNDER ORDINANCE 43-14.	2 FAMILY DWELLING	201508134169	TO LEGALIZE THE (E) GROUND FLOOR UNIT UNDER ORDINANCE 43-14.	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$50000.00	08/13/2015	YEUNGMIN	APN 1449040		Richmond	SUPERVISORIAL DISTRICT 1	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	Mixed Use	Inner Richmond	40-X	(37.78217376620, -122.47678744600)
Resident	1631 CHESTNUT ST		BP FILED	08/04/2016	0	2016-011226PRJ	REMODEL (E) REAR PORTION OF GROUND FLOOR TO CREATE NEW 2 BEDROOM ONE BATH DWELLING UNIT. REF PA (SOFT STORY) 201508033119	APARTMENTS	201608044194	REMODEL (E) REAR PORTION OF GROUND FLOOR TO CREATE NEW 2 BEDROOM ONE BATH DWELLING UNIT.  REF PA (SOFT STORY) 201508033119	16	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	Jace Architecture		4154400920	$137500.00	08/04/2016	KCONNER	APN 0495001C		Marina	SUPERVISORIAL DISTRICT 2	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	Marina	40-X	(37.80136665580, -122.43012424900)
Resident	1631 OAKDALE AV		BP FILED	10/16/2015	0	2015-014752PRJ	TO ERECT 4 STORIES, NO BASEMENT, 2 FAMILY DWELLINGS. FULL FIRE SPRINKLER IN BUILDING.	2 FAMILY DWELLING	201510169944	TO ERECT 4 STORIES, NO BASEMENT, 2 FAMILY DWELLINGS. FULL FIRE SPRINKLER IN BUILDING.	2	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$400000.00	10/16/2015	DISALVOJ	APN 5322032	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Bayview	40-X	(37.73495235270, -122.39149387300)
Resident	167 HARVARD ST		BP FILED	10/21/2014	0			2 FAMILY DWELLING	201410219535	"LEGALIZE OF GROUND FLOOR UNIT WITH 2 BEDROOMS, A LIVING ROOM, A KITCHEN AND 2 BATHROOMS AND ONE STUDY PER PLAN. 



"	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$68000.00	10/21/2014	NKWIATKO	APN 5909023		South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Excelsior	40-X	(37.72756082300, -122.42072438600)
Resident	1634 ALABAMA ST		BP FILED	12/22/2015	0	2016-000318PRJ	1ST FL. REMODEL STORAGE AREA BEHIND GARAGE & ADD 12'X25' 1 STORY ADDITION W/ROOF DECK @ REAR YARD. REMODEL & ADDITION TO INCLUDE 2 BEDROOMS, BATH, MULTIPURPROSE RM, 2ND FL-EXPAND BATHROOM INTO SOUTH LIGHTWELL, INSTALL (N) DOORS @ (N) REAR DECK.	1 FAMILY DWELLING	201512225679	1ST FL. REMODEL STORAGE AREA BEHIND GARAGE & ADD 12'X25' 1 STORY ADDITION W/ROOF DECK @ REAR YARD. REMODEL & ADDITION TO INCLUDE 2 BEDROOMS, BATH, MULTIPURPROSE RM, 2ND FL-EXPAND BATHROOM INTO SOUTH LIGHTWELL, INSTALL (N) DOORS @ (N) REAR DECK.	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		NACHURY MAXENCE V		$94000.00	12/22/2015	SJIMENEZ	APN 5526005		Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Bernal Heights	40-X	(37.74627100980, -122.41089103500)
Resident	1640 ALABAMA ST		BP FILED	09/07/2016	0			2 FAMILY DWELLING	201609077009	REAR BLDG. ADDING (1) ACCESSORY DWELLING UNIT PURSUANT TO ORDINANCE 30-15 IN CONJUNCTION W/PREVIOUSL	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$50000.00	09/07/2016		APN 5526006		Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Bernal Heights	40-X	(37.74620255010, -122.41088444200)
Resident	1642 GREAT HY		BP FILED	10/06/2015	0			1 FAMILY DWELLING	201510068917	NEW REAR BUILDING. TO LEGALIZE AN (E) FREE STANDING STRUCTURE TO WHICH A VARIANCE HAS BEEN ALREADY GRANTED.	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$18000.00	10/06/2015	TKENNEDY	APN 1895034	Western Shoreline	Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Outer Sunset	40-X	(37.75576577250, -122.50849253300)
Resident	1649 10TH AV		BP FILED	04/02/2015	0			APARTMENTS	201504022622	LEGALIZATION OF 3RD FLOOR SPACE (EXISTING PERMITED) TO A ONE BEDROOM, ONE BATH UNIT. PLANT ONE STREET TREE. INSTALL SPRINKLER SYSTEM ON ALL 3 FLOORS & DECKS (WILL FILE SEPARATELY FOR SPRINKLERS).	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$25000.00	04/02/2015	NKWIATKO	APN 1933008		Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Inner Sunset	40-X	(37.75755975620, -122.46726311200)
Resident	1649 TREAT AV		BP FILED	10/26/2015	0			1 FAMILY DWELLING	201510260778	REAR BUILDING. TO ERECT 2 STOIRES, 1 BASEMENT, SINGLE FAMILY DWELLING.	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$950000.00	10/26/2015	MPUTRA	APN 5543009		Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Bernal Heights	40-X	(37.74443225600, -122.41225365800)
Resident	165 - 167 BRUSSELS ST		CONSTRUCTION	01/05/2016	1	2007	Demolish existing dwelling unit located on lots 21 & 22, then build 2 separate dwelling units, one on each lot.	1 FAMILY DWELLING	200807176988	ERECT A 3 STORIES SINGLE FAMILY DWELLING.	2	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$796000.00	07/17/2008	BFU	APN 5926021		South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Excelsior	40-X	(37.73003306690, -122.40646287500)
CIE	1650 Mission Street, Suite 101A		PL FILED	08/30/2016	0	2016-011198PRJ	Change of use from vacant Limited Restaurant to a Public Office Use (MOEWD Satellite Small Business Services).				0	0	0	0			0	0	976	976	0	0	0	0	0	0	0	-976	0	0	City and County of San Francisco, R		4155549876	$0.00	08/30/2016		APN 3512008	Market and Octavia	Mission	SUPERVISORIAL DISTRICT 6	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	Mixed Use	South of Market	85-X	(37.77177764750, -122.41974152000)
Resident	1658 10TH AV		BP FILED	06/10/2016	0	2016-008581PRJ	LEGALIZE (E) ILLEGAL UNIT IN (E) 2 UNIT BUILDING. LEGALIZE (E) KITCHEN UNDER ORD #43-14.	APARTMENTS	201606109695	LEGALIZE (E) ILLEGAL UNIT IN (E) 2 UNIT BUILDING. LEGALIZE (E) KITCHEN UNDER ORD #43-14.	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$20000.00	06/10/2016	CAMPBELL	APN 1934029		Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Inner Sunset	40-X	(37.75731445740, -122.46658681800)
Resident	166 PALO ALTO AV		BP FILED	08/27/2015	0	2015-012079PRJ	"LEGALIZE (E) UNIT ON LOWER LEVEL (418 SQFT). TWO NEW 24"" BOX TREE TO BE ADDED WITH IN THE PUBLIC RIGHT-OF-WAY. TWO NEW 2'-0""X6'-0"" AREA TO BE DEVOTED TO BICYCLE PARKING. PER UNIT LEGALIZATION ORDINANCE 43-14."	2 FAMILY DWELLING	201508275422	"LEGALIZE (E) UNIT ON LOWER LEVEL (418 SQFT). TWO NEW 24"" BOX TREE TO BE ADDED WITH IN THE PUBLIC RIGHT-OF-WAY. TWO NEW 2'-0""X6'-0"" AREA TO BE DEVOTED TO BICYCLE PARKING. PER UNIT LEGALIZATION ORDINANCE 43-14.
"	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$35000.00	08/27/2015	JIMENEZS	APN 2721075		Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	Residential	Twin Peaks	40-X	(37.75700476160, -122.44980670300)
CIE	1660 MCALLISTER ST		BP FILED	01/26/2015	0	2015-001323PRJ	COMPLETE CHANGE OF USE FROM GARAGE TO CHURCH. COMPLETE WORK IN BATHROOMS & PULPIT AREA. INSTALL NEW LIGHTING / REMODEL PASTERO'S OFFICE & INSTALL BATHROOM. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED	CHURCH	201501266647	"COMPLETE CHANGE OF USE FROM GARAGE TO CHURCH. COMPLETE WORK IN BATHROOMS & PULPIT AREA. INSTALL NEW LIGHTING / REMODEL PASTERO'S OFFICE & INSTALL BATHROOM.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$12000.00	01/26/2015	SYOUNG	APN 1156013		Western Addition	SUPERVISORIAL DISTRICT 5	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	Western Addition	40-X	(37.77795296110, -122.43937038600)
PDR	1665 GALVEZ AV		BP APPROVED	04/18/2016	1			WAREHOUSE,NO FRNITUR	201511182941	"TO ERECT 1 STORY, NO BASEMENT, WAREHOUSE/STORAGE BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	0	0	0	0			2200	2200	0	0	0	0	0	0	2200	2200	0	0	0	0				$168000.00	11/18/2015	WINSLOWD	APN 5253028	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	M-1	LIGHT INDUSTRIAL	Industrial	Bayview	65-J	(37.74113952900, -122.38907206300)
Resident	1670 ARMSTRONG AV		BP FILED	01/11/2016	0	2016-000826PRJ	TO ERECT 4 STORIES OF 3 DWELLING UNIT TYPE 5 CONSTRUCTION.	APARTMENTS	201601116781	TO ERECT 4 STORIES OF 3 DWELLING UNIT TYPE 5 CONSTRUCTION.	3	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$750000.00	01/11/2016	DISALVOJ	APN 5419023	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	M-1	LIGHT INDUSTRIAL	Industrial	Bayview	65-J	(37.72727260860, -122.39370668800)
Mixed	1675 HOWARD ST		PL FILED	06/21/2016	0	2016-005739PRJ	"Proposed removal & replacement of (E) first floor windows at Howard Street. Construction of (N) 12'-6"" building on top of (E) parking structure."				0	0	0	0			19442	2892	0	0	0	0	6049	3200	0	0	13393	-308	0	0				$0.00	05/04/2016		APN 3515022	Western SoMa (EN)	Mission	SUPERVISORIAL DISTRICT 6	WMUG	WSOMA MIXED USE-GENERAL	Mixed Use	South of Market	55-X	(37.77046175340, -122.41717986000)
Mixres	168 - 186 EDDY ST	210 - 238 TAYLOR ST	BP FILED	02/17/2016	0	2015-001077PRJ	Change of use from a parking lot to an 8 story mixed-use residential/retail development.  100% affordable housing project proposing 103 Units.	APARTMENTS	201602179822	ERECT 9 STORY, TYPE 1, ZERO BASEMENT, 113 DWELLING UNIT AND RETAIL BUILDING.	113	113	0	0			5297	5297	0	0	0	0	0	0	0	0	5297	5297	0	0				$40000000.00	02/17/2016	FOSTER N	APN 0331011		Downtown	SUPERVISORIAL DISTRICT 6	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	Downtown/Civic Center	80-T-130-T	(37.78465845840, -122.41069584600)
Resident	1695 FOLSOM ST		BP FILED	07/06/2015	0	2015-012878PRJ	TO ERECT 5 STORIES, 1 BASEMENT, 4 UNITS RESIDENTIAL UNITS WITH BAR OR LIMITED RESTAURANT. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **	APARTMENTS	201507060742	"TO ERECT 5 STORIES, 1 BASEMENT, 4 UNITS RESIDENTIAL UNITS WITH BAR OR LIMITED RESTAURANT.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	4	4	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1700000.00	07/06/2015	EJARDINE	APN 3522074	Western SoMa (EN); South of Market	Mission	SUPERVISORIAL DISTRICT 6	WMUG	WSOMA MIXED USE-GENERAL	Mixed Use	South of Market	55-X	(37.76976214440, -122.41525496700)
Mixres	1699 MARKET ST	FLAX SITE	BP FILED	06/10/2014	0	2014	The proposed project would demolish an existing 60 year old 1 & 2 story industrial/commercial building and surface parking lot and construct a new 9-story residential (162 units) and commercial (3,937 sf) building with 97 below-grade parking spaces.	APARTMENTS	201406108024	TO ERECT 9 STORIES, 1 BASEMENT, 160 RESIDENTIAL, COMMERCIAL & BELOW GRADE PARKING BUILDING.	160	160	0	0	Fee Payment		7293	-37047	3937	-18233	0	0	0	0	0	0	3356	-18814	0	0				$38000000.00	03/28/2014	DVU	APN 3504030	Market and Octavia	Mission	SUPERVISORIAL DISTRICT 6	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	Mixed Use	South of Market	85-X	(37.77233473150, -122.42194349100)
Resident	2427 23RD AV		BP FILED	04/09/2015	0			2 FAMILY DWELLING	201504103411	LEGALIZED GROUND FLOOR 2ND FLOOR, ADD KITCHEN. LEGALIZATION OF DWELLING UNITS INSTALLED W/O A PERMIT	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$3500.00	04/09/2015		APN 2402002A		Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Parkside	40-X	(37.74235857600, -122.48027216800)
Resident	17 GRACE ST		BP REINSTATED	01/19/2016	1	2014-002016PRJ	The proposed project is to construct a five-story, 45-foot tall residential building on two adjacent lots that total 2,840 square feet. The proposed 10,249 gross square foot building would be accessed exclusively off Grace Street that includes thirteen d	APARTMENTS	201601126879	ERECT 5 STORIES OF 13 DWELLING UNIT (APARMENT) WITH TYPE 5 CONSTRUCTION. N/A FOR MAHER ORDINANCE NO 155-13.	13	13	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$2000000.00	11/24/2014	DISALVOJ	APN 3509026	Western SoMa (EN); South of Market	Downtown	SUPERVISORIAL DISTRICT 6	RED-MX	RESIDENTIAL ENCLAVE-MIXED	Mixed Use	South of Market	45-X	(37.77515717630, -122.41456501900)
Resident	17 OTTAWA AV		BP FILED	01/07/2016	0	2016-000539PRJ	LEGALIZE BASEMENT UNIT PER ORDINANCE# 43-14 - A BEDROOM, 1 STUDY ROOM, 1 BATHROOM 1 KITCHEN	2 FAMILY DWELLING	201601076555	LEGALIZE BASEMENT UNIT PER ORDINANCE# 43-14 - A BEDROOM, 1 STUDY ROOM, 1 BATHROOM 1 KITCHEN	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$70000.00	01/07/2016	JIMENEZS	APN 7044A018		South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Outer Mission	40-X	(37.71382272340, -122.44431195000)
Mixres	1700 CALIFORNIA ST		BP FILED	09/28/2016	1	2016-000375PRJ	Project proposes to convert garage space into five new dwelling units, and residential amenity space; Merge 12 units into seven units on the 7th, 9th, and 10th floors; Demolish the 1,019 sqft one-story portion of the building at the NW corner of the prop	OFFICE	201609288977	MODIFICATION OF (E) GARAGE PATHWAY & (E) GARAGE INTO OFFICE SPACE. MODIFICATION (2) ELEVATORS. FACADE WORK WINDOWS. REBUILD PATH OF TRAVEL. EXTERIOR PATIO SPACE INCLUDING OVERHEADS/AWNINGS AT EXTERIOR ENTRANCES.	47	5	0	0			92170	5480	0	0	0	0	84628	5651	0	0	7542	-171	0	0	Reuben, Junius & Rose LLP		4155679000	$3100000.00	01/08/2016	CMAY	APN 0642036	Van Ness Corridor	Marina	SUPERVISORIAL DISTRICT 2	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	Pacific Heights	80-D	(37.79049540740, -122.42302740700)
Mixres	1700 MARKET ST		BP FILED	04/07/2016	1	2013	43 unit,  8 story residential building with ground floor commerical.	APARTMENTS	201604074244	CONSTRUCT (N) MIXED-USED BUILDING (APARTMENT & COMMERCIAL)	42	42	5	5	On-site BMR Project	Ownership	1753	-1647	0	0	0	0	0	0	0	0	1753	-1647	0	0	Warner Schmalz	Warner Schmalz	415-252-7063	$6500000.00	08/22/2013	TCHANG	APN 0855016	Market and Octavia	Buena Vista	SUPERVISORIAL DISTRICT 5	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	Mixed Use	Western Addition	85-X	(37.77295341530, -122.42244714200)
