PROJECT_TYPE	BLKLOT	NAMEADDR	Entitled	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLENET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANTNET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM_PROP	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	NEIGHBORHOOD	ZONING_SIM	ZONING_GEN	ZONING_DISTRICT	supervisor	PLAN_DISTRICT	PLAN_AREA	Location 1
Mixres	6568032	3620 CESAR CHAVEZ ST	Yes	BP APPROVED	10/31/2017 08:35:00 AM	24	24						2015-009459PRJ	Demolish Existing 1 story office Building with surface parking.  New Construction of Residential Building.	ERECT 6 STORY, 1 BASEMENT, 24 DWELLING UNIT	672	-2528	0	0	0	0	0	0	3200	0	-3200	0	0	0	0	672	672		0	0	0	0				VBYRD				Mission	NCT	Mixed Use	NCT-VALENCIA	8	8 - Mission	Mission (EN); Mission District Streetscape Plan	(37.7483215332, -122.421913147)
Mixres	2623006	376 CASTRO ST	Yes	BP FILED	05/17/2013 12:00:00 AM	24	24	3	3	On-site BMR Project 	90% AMI; 	Ownership	2004.0976	Demolition of a gas station and construction of a mixed-use building with 24 dwelling units, appx. 2,800 GSF of ground floor commercial use, and 24 off-street parking spaces.  	TO ERECT 6-STORY, 24 UNITS W/ GARAGE, COMMERCIAL & PARKING BUILDING.	8265	8265	0			0			0			0	5275	5275	0	2990	2990			0						RCRAWFOR	Bruce  Baumann	Bruce  Baumann	415 551-7884	Castro/Upper Market	NCT	Mixed Use	NCT-UPPER MARKET	8	6 - Buena Vista		(37.7629203796, -122.4355010986)
Resident	0334008	430 EDDY ST	Yes	PL APPROVED	03/07/2005 12:00:00 AM	24	24	24	24				2003.0145	"New-construction, 24 units of senior housing, requiring ""C"" for height over 40' [Sec. 253] & ""V""for rear-yard modification [Sec. 134(f)] -- ((NOTE:  The Environmental Evaluation for this case is Case No. 2003.0228EK))"		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0				JMILLER	Bill Walt	Bill Walt	415.826.3	Downtown/Civic Center	RC-4	Mixed Use	RC-4	6	4 - Downtown		(37.7839355469, -122.4148330688)
Mixres	4058002	600 20TH ST	No	PL FILED	02/14/2017 12:00:00 AM	24	24	4	4				2016-008651PRJ	Demolition of existing two story building and construction of a new six-story, mixed use residential building.  The building shall consist of five residential levels, with a ground level commercial space above a basement garage.  See attached project desc		1916	-7284							7000	0	-7000				2200	1916	-284		0								Workshop1		4154099267	Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Central Waterfront (EN); Dogpatch Public Realm Plan	(37.7607803345, -122.387802124)
Resident	3995015	603 TENNESSEE ST	No	BP FILED	02/26/2016 12:00:00 AM	24	24						2015-011202PRJ	The project will involve demolishing an existing two story storage building and construct a new six story, 24 dwelling, 58 foot tall, multi-family residential building.  The ground floor will include active space (lobby), residential,  20 parking stalls a	"ERECT 6-STORY, NO BASEMENT, 24 DWELLING UNITS BUILDING.
** MAHER: DISTURBANCE OF AT LEAST 50 CU.YD OF SOIL. ROUTE TO DPH **"	0	-6000										6000	0	-6000					0							VBYRD	Arcon Construction Inc.		4157596228	Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Central Waterfront (EN); Dogpatch Public Realm Plan	(37.7640037537, -122.3895187378)
Resident	3549064	1450 15TH ST	Yes	CONSTRUCTION	11/07/2016 12:00:00 AM	23	23	0	0	Fee Payment 			2013.0124	"The proposed project would demolish an existing 6,088  sq. vacant industrial building on irregular ""L"" shaped parcel and  construct a new multi-family residential structure with 23 dwelling units. The project would also include 16 off-street parking space"	TO ERECT 5 STORIES, NO BASEMENT, 23 UNITS RESIDENTIAL & PARKING BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **	0	-8224	0			0			0			8224	0	-8224	0					0						JPURVIS	Gabriel Ng	Gabriel Ng	415-563-6655	Mission	UMU	Mixed Use	UMU	9	8 - Mission	Mission (EN); Mission District Streetscape Plan	(37.7670898438, -122.4168319702)
Mixres	3555057	1721 15TH ST	No	PL FILED	04/19/2017 12:00:00 AM	23	23						2016-008652PRJ			5791	-4679										10470	0	-10470	0	5791	5791													Mission	NCT	Mixed Use	NCT-VALENCIA	8	8 - Mission	Mission (EN); Mission District Streetscape Plan	(37.7662620544, -122.4228134155)
Resident	3525083	222 DORE ST	No	PL FILED	12/04/2015 12:00:00 AM	23	23						2015-003229PRJ	The proposed project is to demolish the existing front façade of the building, except the columns, demolish the interior of the building, raise and re-use the roof to a height of 40 feet, and construct 16,648 square feet of residential use and open spaces	DEMO (E) FRONT FACADE OF BLDG EXCEPT COLUMNS, RAISE & RE-USE PARTIAL ROOF ASSEMBLY, ADD APPROX. 8.25 SF OF WALL HEIGHT AT PERIMETER WALLS, PROVIDE NEW FACADE WINDOW WALL WITH BALCONIES AND DEMO INTERIOR OFFICE AND CONVERT (E) WAREHOUSE TO (23) TOTAL RESID	0	0	0			0			0			0			0				0	0						SIROISDA	Kodama Diseno Architects		510-986-0696	South of Market	RED	Residential	RED	6	9 - South of Market	Western SoMa (EN)	(37.7715835571, -122.4103927612)
Mixres	0334008	430 EDDY ST	Yes	PL APPROVED	03/08/2016 12:00:00 AM	23	23	3	3	On-site BMR Project 	90% AMI; 	Ownership	2014.0400	Proposed new construction of eight story over basement building with 27 residential condo units, and two commercial unit at street level.	TO ERECT 8 STORIES, 1 BASEMENT, 23 UNITS RESIDENTIAL CONDO  WITH COMMERCIAL, MIXED USE BUILDING.	797	1594	0	0	797	0			0			0			0	797	797		0	0						CESPIRIT				Downtown/Civic Center	RC-4	Mixed Use	RC-4	6	4 - Downtown		(37.7839355469, -122.4148330688)
Resident	1407009	345 26TH AV	No	BP Filed	05/25/2017 12:00:00 AM	4	2		0						ADD UNIT PER ORDINANCE NO.162-16. INSTALL (1) NEW GROUND FLOOR DWELLING UNIT . REFRENCE LEGALIZATION	0	0			0			0			0			0			0		0			0								Outer Richmond	RM-1	Residential	RM-1	1	1 - Richmond		(37.7829017639, -122.4863433838)
Mixres	1071003	2670 GEARY BL	No	PL FILED	12/09/2015 12:00:00 AM	21	21	3	3				2014-002181PRJ	Construction of a seven story mixed-use building composed of three stories with 21, two-four bedroom residential dwelling units, three stories of office space, one story commercial space and 3 levels of subterranean parking. The proposed building conforms		46696	43882	0			0			0	35372	35372	0			0	11324	8510		0	0						JHORNER		Riyad Ghannam	699-3640	Presidio Heights	NC-3	Mixed Use	NC-3	2	1 - Richmond		(37.7828521729, -122.4474411011)
Mixres	3642015	3230 & 3236 24TH ST	No	PL FILED		21	21						2016-014062PRJ			4150	4150													0	4150	4150													Mission	NCT	Mixed Use	NCT-24TH-MISSION	9	8 - Mission	Mission (EN); Mission District Streetscape Plan	(37.7524375916, -122.4168777466)
Mixres	0028014	1255 - 1275 COLUMBUS AV	Yes	CONSTRUCTION	10/17/2017 12:00:00 AM	20	20	0	0	Fee Payment 			2008.0723	Remove office, new construction 20-unit residential condominium with approximately 6,500 sf retail and 20 parking spaces at ground floor. Variance required because no commercial parking is provided.	TO ERECT 4 STORIES, NO BASEMENT, 20 UNITS APARTMENTS WITH COMMERCIAL AND PARKING BUILDING.	6500	-9352	0			0			0	0	-15852	0			0	6500	6500			0						CFORDHAM	Bruce Baumann	Bruce Baumann	415.551.7884	Russian Hill	C-2	Commercial	C-2	2	3 - Northeast	Fisherman’s Wharf Public Realm Plan; Northeast Waterfront	(37.8057098389, -122.4183807373)
Resident	0645003	1335 LARKIN ST	Yes	BP ISSUED	08/09/2017 02:29:00 PM	20	20						2013.0491	Preserve facade of know Historic Resource and construct 5 stories of residential over parking behind Historic facade.	RESERVE EXTERIOR FACADE OF 1 STORY W/ MEZZANINE LEVEL COMMERCIAL GARAGE. NEW CONST WILL RESULT IN A 6 STORY, 65' TALL, APPROX 35,000 GROSS SQFT RESIDENTIAL BLDG WHICH WILL INCLUDE 20 RESIDENTIAL UNITS W/ DECKS, OPEN SPACE, 18 VEHICLE PKG & 10 BICYCLE PKG.	0	0	0			0			0			0			0					0						LLYNCH	Anthony Pantaleoni	Tony Pantaleoni	415-495-4051	Nob Hill	NCD	Mixed Use	NCD-POLK	3	3 - Northeast		(37.7903289795, -122.4193115234)
Resident	3639001	2600 HARRISON ST	Yes	PL APPROVED	08/11/2016 12:00:00 AM	20	20	0	0	Fee Payment 			2014.0503	The project proposes a new residential building in place of the existing industrial warehouse building to be demolished.  The new building would be 40 feet tall with ground floor parking and 20 residential units.  A rood deck would be provided with access	"TO ERECT 4-STORY, NO BASEMENT, TYPE 5A, 19 DWELLING UNITS BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	0	-7209	0			0			0			7506	0	-7209	0					0						EJARDINE	Toby Morris	Edward Morris	415-749-0302	Mission	UMU	Mixed Use	UMU	9	8 - Mission	Mission (EN); Mission District Streetscape Plan	(37.7553787231, -122.4124069214)
Resident	3995022	595 MARIPOSA ST	Yes	CONSTRUCTION	10/27/2017 12:00:00 AM	20	20						2014.1579	The proposed project is to build upon an existing surface parking lot and construct a 5-story residential building containing 20 residential units with a combination of private and common open space. Then net new construction would be 16,757 square feet.	"TO ERECT 5 STORIES, TYPE VA OVER I, NO BASEMENT, 20 UNITS RESIDENTIAL BUILDING.  Future address of 601 Tennessee. MAHER COMPLIANCE REQUIRED.

"	0	0	0			0			0			0			0				0	0						DISALVOJ				Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Central Waterfront (EN); Dogpatch Public Realm Plan	(37.7641410828, -122.3895263672)
Resident	3615055	606 CAPP ST	No	BP FILED	06/29/2016 12:00:00 AM	20	20						2015-010361PRJ	"New construction of a 20 unit residential building on four levels.  There will be no vehicular parking provided.  Site is currently used as a parking lot, there are no structures present.

The PPA was submitted on 8/10/15 and the 90 day deadline is 11/8/1"	TO ERECT 4 STORIES OF 20 DWELLING UNITS	0	0	0			0			0			0			0				0	0						SOUTHEAS	Michael Leavitt Architecture		4156749100	Mission	RTO-M	Residential	RTO-M	9	8 - Mission	Mission (EN); Mission District Streetscape Plan	(37.7567367554, -122.4180908203)
Mixres	0274008	850 BUSH ST	No	PL FILED		20	20						2015-005983PRJ			2300	100													2200	2300	100													Nob Hill	RC-4	Mixed Use	RC-4	3	3 - Northeast		(37.7901191711, -122.4113693237)
Mixres	3518005	244 09TH ST	No	PL FILED	04/07/2016 12:00:00 AM	19	19						2015-010668PRJ	Proposed new construction of 5 story over basement building with 19 SRO units and 2 commercial units.		2222	-459														2222	-459		0								SIA Consulting	Su Yun Zeng	4159220200	South of Market	RCD	Commercial	RCD	6	9 - South of Market	Western SoMa (EN)	(37.7742347717, -122.4126586914)
Resident	0499002D	1320 - 1380 LOMBARD ST	No	PL FILED	01/12/2016 12:00:00 AM	124	18						2015-001435PRJ	"The proposed project will add 16 new studios and 2 one-bedroom units within the existing, underutilized ground floor space of the three-building complex.  The area of alteration is currently used for storage.



The PPA was submitted on 2/5/2015 and the 9"		0	0	0			0			0			0			0				0	0						ERUSSELL	Veritas Investments, Inc.		4155787610	Russian Hill	RM-3	Residential	RM-3	2	3 - Northeast	Van Ness Corridor	(37.8017616272, -122.4237289429)
Resident	0101004	1731 - 1741 POWELL ST	Yes	CONSTRUCTION	10/18/2017 12:00:00 AM	19	18	0	0	Fee Payment 			2007.1117	The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.	PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH RESIDENTIAL CONDOMINIUMS AT THE FOUR UPPER FLOORS. COMMERCIAL UNITS ON 1ST FLOOR AND 1 SUBTERRANEAN FLOOR AS PARKING GARAGE WITH 27 PARKING SPACES.FULL BAR	3525	11795													15320	3525	11795									TFRYE				Russian Hill	NCD	Mixed Use	NCD-NORTH BEACH	3	3 - Northeast		(37.8006820679, -122.4112854004)
Mixres	3995007	2092 03RD ST / 600 18TH ST	No	PL FILED	11/10/2015 12:00:00 AM	18	18						2014.0168	The proposed project involves the demolition of the existing buildings and construction of a new six-story, 68-foot-tall (84-foot-tall with mechanical penthouse), 20,540-square-foot building consisting of 18 dwelling units, 3,064 square feet of ground-flo	CONSTRUCT (N) 6-STORY, 19 DWELLING UNTS RESIDENTIAL ABOVE RETAIL WITH 1 BASEMENT BUILDING.	3110	-370							1350	0	-1350				2130	3110	980									KDURANDE	Michael Leavitt	Michael Leavitt	415-674-9100	Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Central Waterfront (EN); Dogpatch Public Realm Plan	(37.7631874084, -122.3890914917)
Resident	0155020	1364 PACIFIC AV	Yes	BP ISSUED	11/28/2016 02:29:00 PM	1	1								TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY RESIDENTIAL & BUSINESS.	0	-168	0			0			0			0			0	0	-168			0						NFOSTER				Nob Hill	NCD	Mixed Use	NCD-PACIFIC	3	3 - Northeast		(37.7956924438, -122.4177017212)
Mixres	3753114	953 - 955 FOLSOM ST	No	BP FILED	02/02/2017 12:00:00 AM	18	18						2016-005596PRJ	"Proposed new construction of a nine-story building with one commercial space, 18 residential units & one shared open spaces.

The PPA was submitted on 4/25/16 and the 90 day deadline is 7/24/16."	"TO ERECT 9 STORIES, NO BASEMENT, TYPE IA & VA, 18 DWELLING UNITS MIX USE WITH OFFICE.
** MAHER ORDINANCE - EXTENDED ORDINANCE 155-13 NOT REQUIRED **"	965	-1152										2117	0	-2117	0	965	965		0							SAMONSKY	SIA Consulting		4159220200	South of Market	MUR	Mixed Use	MUR	6	9 - South of Market	East SoMa (EN); Central SoMa	(37.7790489197, -122.4043273926)
Mixres	0041001	2293 POWELL ST	Yes	BP APPROVED	07/10/2017 04:12:00 PM	17	17						2013.0341	The proposed project would remove an existing vacant structure previously containing ground floor restaurant and second floor office and merge 2 lots into single parcel.  The project would construct a new 4-story over basement concrete structure with belo	ERECT 4-STORY, TYPE 5A OVER TYPE 1A PODIUM, RESIDENTIAL, RETAIL & PARKING WITH 1 BASEMENT BUILDING.  MAHER ORD #155-13 APPLIED.	5199	-4195	0			0			2519	0	-2519	0			6875	5199	-1676			0						NFOSTER	Ian Birchall	Ian Birchall	512-9660	North Beach	C-2	Commercial	C-2	3	3 - Northeast		(37.8056182861, -122.4122009277)
Mixres	3730290	280 07TH ST	No	PL FILED	08/18/2016 12:00:00 AM	17	17	2	2				2016-004946PRJ	Demolition of existing vacant two story nightclub and construction of a new six-story, mixed use residential buildings. The building shall consist of five residential levels, with a ground level commercial space above a basement garage. See attached proje		6043	-207										0	4259	4259	6250	1784	-4466		0								Workshop1		4154099267	South of Market	WMUG	Mixed Use	WMUG	6	9 - South of Market	Western SoMa (EN)	(37.7768936157, -122.4083633423)
Resident	4008002	540 DE HARO ST	Yes	PL APPROVED	06/20/2016 12:00:00 AM	17	17	0	0	Fee Payment 			2014.0599	The proposed project would demolish an existing two-story (7,147 sq.ft.) industrial building and construct a four-story, 40 feet tall residential building.  The existing building on the 10,000 sq.ft. lot was constructed in 1975.  The proposed new building	ERECT 5-STORY, 17 UNITS, TYPE 5, RESIDENTIAL BUILDING.	0	-7147	0			0			0			0	0	-7147	0					0						KDURANDE	Aaron Schlechter	Aaron Schlechter	988-1080	Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Showplace Square/Potrero Hill (EN)	(37.7629089355, -122.4017333984)
Mixres	5470002	6424 3RD ST / 1088 KEY AV	No	PL FILED	12/31/2015 12:00:00 AM	17	17						2014.1058	Demolish 1.5 story commercial structure, currently used as a funeral home, and construct four-story building with 17 residential units over 2,121 sf retail and 17 parking spaces on ground floor.	TO ERECT 4 STORIES OF 17 DWELLING UNITS WITH COMMERCIAL ON GROUND FLOOR - MAHER ORDINANCE - EXTENDED NO.15513- REQUIRED	2121	-1479	0			0			0			0			0	2121	-1479		0	0						SMENDRIN	Victor Quan	Victor Quan	531-8311	Bayview	NC-3	Mixed Use	NC-3	10	10 - South Bayshore	Bayview Hunters Point	(37.7198486328, -122.3971710205)
Resident	5470002	6424 3RD STREET / 188 KEY AVENUE	No	PL FILED	09/02/2014 12:00:00 AM	17	17						2014.1058	Demolish 1.5 story commercial structure, currently used as a funeral home, and construct four-story building with 17 residential units over 2,121 sf retail and 17 parking spaces on ground floor.		0	-3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3600			0	0	0				MHUE	Victor Quan	Victor Quan	531-8311	Bayview	NC-3	Mixed Use	NC-3	10	10 - South Bayshore	Bayview Hunters Point	(37.7198486328, -122.3971710205)
Mixres	3510014	1450 HOWARD ST	No	PL FILED		16	16	16	16				2016-007983PRJ			1338	1338													0	1338	1338													South of Market	WMUG	Mixed Use	WMUG	6	4 - Downtown	Western SoMa (EN)	(37.7737503052, -122.4151611328)
Mixres	1410021	2224 CLEMENT ST	Yes	BP FILED	11/21/2016 12:00:00 AM	16	16	0	0	Fee Payment 			2014-001676PRJ	New construction of a 16 unit condominium building comprised of a parking garage at 5' below grade and four floors of units on podium at 5' above grade.  The site is currently used as a parking lot.	TO ERECT 4 STORIES, NO BASEMENT, TYPE 1 & 5A, 12 UNITS RESIDENTIAL UNIT WITH RETAIL & PARKING.	0	0	0			0			0			0			0				0	0						SLAI	Salvatore Caruso		408 998-4087	Outer Richmond	NCD	Mixed Use	NCD-OUTER CLEMENT	1	1 - Richmond		(37.782333374, -122.4834136963)
Mixres	3636005	2632 MISSION ST	No	BP FILED	11/01/2016 12:00:00 AM	16	16						2016-004707PRJ	Construction of new 5 story mixed used building. Sixteen residential units (8 one bedrooms, 8 two bedrooms) over one retail space with basement storage. Sixteen bicycle parking spaces are provided on the ground floor, with zero vehicle parking spaces. Com	ERECT 5-STORY, 16 UNITS, 1 BASEMENT CONDOMINIUM & RETAIL BUILDING.	7766	7766														7766	7766		0							EJARDINE	Gabriel Ng Architects Inc.		4156828060	Mission	NCT	Mixed Use	NCT-MISSION	9	8 - Mission	Mission (EN); Mission District Streetscape Plan; Mission Public Life Plan	(37.7548332214, -122.419052124)
Mixres	3576090	3420 18TH ST	Yes	CONSTRUCTION	10/17/2017 12:00:00 AM	16	16	0	0	Fee Payment 			2012.1572	The proposed project would demolish existing one-story commercial building and construct new five-floor building containing 16 residential units on four floors over ground floor garage containing 8 off-street parking spaces. 	ERECT NEW 16-UNIT 5-STORY RESIDENTIAL BLDG. MAHER ORDINANCE-EXTENDED IS NOT REQUIRED.	1000	-3500	0			0			0			4500	0	-4500	0	1000	1000			0						BBENDIX	David Sternberg	David Sternberg	882-9783 x11	Mission	NCT	Mixed Use	NCT-MISSION	9	8 - Mission	Mission (EN); Mission District Streetscape Plan	(37.7620048523, -122.4199829102)
Resident	3780001	502 07TH ST	Yes	BP ISSUED	07/19/2017 02:06:00 PM	16	16						2014.1575	New construction of 5-story residential building containing 16 residential units.  Combination of private and common open space.	ERECT 5 STORIES OF 16 RES'D DWELLING UNIT.	0	-3870	0			0			0			3870	0	-3870	0				0	0						JDISALVO				South of Market	UMU	Mixed Use	UMU	6	9 - South of Market	Showplace Square/Potrero Hill (EN)	(37.7739944458, -122.4047851562)
Mixres	0667020	1525 PINE ST	No	PL FILED	05/09/2016 12:00:00 AM	15	15						2015-009955PRJ	Demolition of existing 1 story restaurant; construction of a new 7 story mixed-use commercial and residential building with two commercial spaces at ground floor.		1695	-25														1695	-25		0								D-Scheme Studio		4152520888	Nob Hill	NCD	Mixed Use	NCD-POLK	3	3 - Northeast		(37.7893218994, -122.4208297729)
Resident	2993088	287 CRESTA VISTA DR	Yes	CONSTRUCTION	04/21/2015 12:00:00 AM	1	1								ERECT 2-STORY, NO BASEMENT, TYPE 5, SINGLE FAMILY DWELLING BLDG.	0	0	0			0			0			0			0					0						JLOOK				West of Twin Peaks	RH-1(D)	Residential	RH-1(D)	7	13 - Ingleside		(37.7356491089, -122.45362854)
Resident	3511015	1532 HOWARD ST	Yes	BP ISSUED	12/22/2016 09:51:00 AM	15	15						2013.1305	Demolition of an existing one-story commercial building and the proposed new construction of a six-story residential building with 15 single room occupancy units.	ERECT 6-STORY, NO BASEMENT, TYPE 1, 15 DWELLING UNITS BUILDING. COMPLIANCE W/ ORDINANCE NO. 155-13 NOT REQUIRED.	0	-1599													1599	0	-1599									RSUCRE	Aidin Massoudi	Aidin Massoudi	922-0200x105	South of Market	WMUG	Mixed Use	WMUG	6	8 - Mission	Western SoMa (EN)	(37.772819519, -122.4162826538)
Resident	5478006	3299 - 3333 SAN BRUNO AV	No	PL FILED		15	15	15	15				2016-015876PRJ			0	0																												Visitacion Valley	RM-1	Residential	RM-1	10	12 - South Central		(37.7204284668, -122.4005355835)
Resident	3725068	475 MINNA ST	Yes	PL APPROVED	12/10/2015 12:00:00 AM	15	15	3	3	On-site BMR Project 	90% AMI; 	Ownership	2014.1442	Construct a 9-story residential apartment building with 25% open space in rear yard.		0	0	0			0			0			0			0				0	0						TCHANG	Stanton Architecture		4158659600	South of Market	C-3-S	Commercial	C-3-S	6	4 - Downtown	Downtown	(37.780921936, -122.4073944092)
Resident	0160014A	1326 POWELL ST	No	BP FILED	12/21/2016 12:00:00 AM	14	14						2017-000104PRJ	Proposed new construction of a six-story building at 1324-1326 Powell St. The proposed design includes one commercial space, 14 residential units & shared open space.	CONSTRUCT (N) (6) STORY 14 RESIDENTIAL UNIT, 1 BASEMENT MIXED USE BUILDING	0	0																	0							APERRY	Brandon Tan		4157169099	Chinatown	CRNC	Mixed Use	CRNC	3	3 - Northeast	Chinatown	(37.7968826294, -122.4098739624)
Resident	0503021	1463 LOMBARD ST	Yes	CONSTRUCTION	11/01/2017 12:00:00 AM	14	14	3	3	On-site BMR Project 	90% AMI; 	Ownership	2013.1022	Demolition of existing 2-unit residential structure, and construction of a new 4-story mixed use  building containing 13 dwelling units (including two below market rate/BMR units) above ground floor retail and parking garage.	TO ERECT 4 STORIES 14 DWELLING UNITS TYPE IIIA .	0	0	0			0			0			0			0					0						MWOODS				Marina	NC-3	Mixed Use	NC-3	2	2 - Marina		(37.8008575439, -122.4254989624)
Resident	0506036	1727 LOMBARD ST	No	BP FILED	01/23/2013 12:00:00 AM	14	14						2012.0095	Group housing for post-secondary educational institution (Academy of Art University).   Subject property contains 52 guest rooms and is currently a tourist motel.  Property features split-zoning, with front portion zoned NC-3 (group housing is principally	TO DUCUMENT CHANGE OF USE UNDER PLANNING CODE SECTION 182 (C). FROM HOTEL TO GROUP HOUSING.	0	-16000	0			0			0			0			0					0	0	-16000	14	0	-14	EWATTY	Elisa Stephens	Bob Passmore	415-567-9872	Marina	NC-3	Mixed Use	NC-3	2	2 - Marina		(37.8003196716, -122.4300308228)
Resident	7066036	5500 MISSION ST	No	BP FILED	12/28/2016 12:00:00 AM	14	14								ERECT A FOUR STORY TYPE 5A 14 RESIDENTIAL UNIT BUILDING.	0	0																	0											Outer Mission	NCD	Mixed Use	NCD-EXCELSIOR	11	12 - South Central		(37.7127189636, -122.4452056885)
Mixres	1084001B	1 STANYAN ST	Yes	CONSTRUCTION	10/25/2017 12:00:00 AM	13	13	0	0	Fee Payment 			2007.0113	The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height.	TO ERECT 4 STORIES, NO BASEMENT, 13 UNITS RESIDENTIAL WITH RETAIL & PARKING BUILDING.	1700	-5810													7510	1700	-5810			0						SVELLVE	John E. McInerney Esq.	Bruce Baumann	415 551-7884	Inner Richmond	NC-3	Mixed Use	NC-3	1	1 - Richmond		(37.7810707092, -122.4565200806)
Resident	3509026	17 GRACE ST	Yes	BP REINSTATED	01/19/2016 11:28:00 AM	13	13						2014-002016PRJ	The proposed project is to construct a five-story, 45-foot tall residential building on two adjacent lots that total 2,840 square feet. The proposed 10,249 gross square foot building would be accessed exclusively off Grace Street that includes thirteen dw	ERECT 5 STORIES OF 13 DWELLING UNIT (APARMENT) WITH TYPE 5 CONSTRUCTION. N/A FOR MAHER ORDINANCE NO 155-13.	0	0	0			0			0			0			0				0	0						DISALVOJ	D-Scheme Studio Architects		4152520888	South of Market	RED-MX	Mixed Use	RED-MX	6	4 - Downtown	Western SoMa (EN)	(37.7751579285, -122.41456604)
Mixres	0832026	300 OCTAVIA ST	Yes	PL APPROVED	06/23/2016 12:00:00 AM	12	12	2	2				2014-002330PRJ	The proposed project includes construction of two 5-story, approximately 55-foot-tall building with  a combined 24 residential units over ground floor commercial uses with bicycle parking.	TO ERECT 12 DWELLING UNITS WITH 5 STORIES NEW BLDG(CONDO AND RETAIL)	0	0	0			0			0			0			0				0	0						CGROB		City County of San Francisco Office	554-5395	Western Addition	NCT	Mixed Use	NCT-HAYES	5	5 - Western Addition	Market and Octavia; Market Octavia Living Alleys	(37.7755203247, -122.4241256714)
Mixres	0832025	300 OCTAVIA ST	Yes	PL APPROVED	06/23/2016 12:00:00 AM	12	12	1	1				2014-002330PRJ	The proposed project includes construction of two 5-story, approximately 55-foot-tall building with  a combined 24 residential units over ground floor commercial uses with bicycle parking.	TO ERECT 12 DWELLING UNIT WITH 5 STORIES NEW BLDG(CONDO AND RETAIL)	1606	1606	0			0			0			0			0	1606	1606		0	0						CGROB		City County of San Francisco Office	554-5395	Western Addition	NCT	Mixed Use	NCT-HAYES	5	5 - Western Addition	Market and Octavia; Market Octavia Living Alleys	(37.775100708, -122.424041748)
Resident	1901001	3601 LAWTON ST	No	PL FILED	07/24/2015 12:00:00 AM	12	12						2015-009053PRJ	Demolition of existing gas station and subdivision of lot into 4 parcels. Construction of 4 new building with 3-unit condominiums each and 4-stories high. Ground floor accommodates a common driveway to the parking areas and residential uses (townhouses) s		0	0	0			0			0			0			0				0	0						VBYRD	Ian Birchall and Associates		4155129660	Outer Sunset	NC-1	Mixed Use	NC-1	4	15 - Outer Sunset		(37.7566223145, -122.5016555786)
Mixres	2081001	3701 NORIEGA ST	Yes	BP APPROVED	03/15/2017 08:39:00 AM	12	12	0	0	Fee Payment 			2014-002414PRJ	Demolish automotive service station.  Construct mixed use building with ground floor retail (grocery) and 14 upper floor dwelling units.	"TO ERECT 3-STORY, 2 BASEMENT, 12 UNITS CONDO, TYPE IA, RETAIL, PARKING BUILDING.
** MAHER: DISTURBANCE OF AT LEAST 50 CU.YD.OF SOIL; ROUTE TO DPH **"	9635	8325	0			0			0			0			0	9635	8325		0	0						AHUISMAN	Farella, Braun + Martel		4159544902	Outer Sunset	NC-1	Mixed Use	NC-1	4	15 - Outer Sunset		(37.7528076172, -122.5035705566)
Resident	0304003	611 JONES ST	No	BP FILED	10/26/2016 12:00:00 AM	12	11						2015-016243PRJ	Demolition of existing single family house and construction of new 13 story, 17 unit residential building.	ERECT A 13 STORY 12 UNIT TYPE I CONSTRUCTION RESIDENTIAL BUILDING	0	0																	0							APERRY	Kotas / Pantaleoni		4154954051	Downtown/Civic Center	RC-4	Mixed Use	RC-4	3	4 - Downtown		(37.7870635986, -122.4135055542)
